date,ignore,open,high,low,close,volume
2015.10.12,00:00,1.47166,1.47218,1.47145,1.47169,1595
2015.10.12,00:30,1.47172,1.47209,1.47078,1.47141,3675
2015.10.12,01:00,1.47148,1.47169,1.47059,1.47098,5606
2015.10.12,01:30,1.47098,1.47187,1.47081,1.47118,1485
2015.10.12,02:00,1.47121,1.47182,1.47086,1.47145,1361
2015.10.12,02:30,1.47147,1.47266,1.47143,1.47229,860
2015.10.12,03:00,1.47226,1.47267,1.47166,1.47224,2142
2015.10.12,03:30,1.47225,1.47241,1.47085,1.47143,935
2015.10.12,04:00,1.47144,1.47144,1.47019,1.47026,1558
2015.10.12,04:30,1.47026,1.47041,1.46963,1.46978,903
2015.10.12,05:00,1.46978,1.4699,1.46884,1.46898,960
2015.10.12,05:30,1.46897,1.46985,1.46845,1.46974,1048
2015.10.12,06:00,1.46974,1.47013,1.4689,1.46902,878
2015.10.12,06:30,1.469,1.46948,1.46873,1.46932,809
2015.10.12,07:00,1.46932,1.46947,1.46905,1.46922,658
2015.10.12,07:30,1.4692,1.46943,1.46875,1.46897,796
2015.10.12,08:00,1.46897,1.46933,1.46858,1.46898,854
2015.10.12,08:30,1.46898,1.46918,1.46839,1.46845,1327
2015.10.12,09:00,1.4684,1.46865,1.46773,1.46798,1282
2015.10.12,09:30,1.46798,1.46912,1.46775,1.46792,2557
2015.10.12,10:00,1.46794,1.46898,1.46747,1.46822,4266
2015.10.12,10:30,1.46822,1.47002,1.46771,1.46938,4147
2015.10.12,11:00,1.46939,1.46978,1.46807,1.46866,3564
2015.10.12,11:30,1.46863,1.47067,1.46855,1.47057,3475
2015.10.12,12:00,1.47057,1.47269,1.46971,1.47242,3803
2015.10.12,12:30,1.47242,1.47311,1.47172,1.47179,3502
2015.10.12,13:00,1.47179,1.47283,1.47129,1.47219,2456
2015.10.12,13:30,1.47219,1.47302,1.47018,1.4708,3575
2015.10.12,14:00,1.47077,1.4715,1.46994,1.47138,3436
2015.10.12,14:30,1.47138,1.47153,1.47039,1.47067,2952
2015.10.12,15:00,1.47067,1.47125,1.46916,1.47062,4701
2015.10.12,15:30,1.47062,1.47134,1.46959,1.47117,4361
2015.10.12,16:00,1.47115,1.47187,1.46953,1.46982,5125
2015.10.12,16:30,1.4698,1.47458,1.4698,1.47419,6051
2015.10.12,17:00,1.47427,1.47523,1.47255,1.47432,5670
2015.10.12,17:30,1.47432,1.47482,1.47297,1.47367,5520
2015.10.12,18:00,1.47368,1.4738,1.47188,1.47345,4947
2015.10.12,18:30,1.47347,1.47381,1.47259,1.47317,3527
2015.10.12,19:00,1.47318,1.4745,1.47318,1.47401,3183
2015.10.12,19:30,1.47401,1.47532,1.4739,1.47519,2372
2015.10.12,20:00,1.47519,1.47779,1.47509,1.47778,2235
2015.10.12,20:30,1.47778,1.47819,1.47591,1.47692,2059
2015.10.12,21:00,1.47697,1.47767,1.47591,1.47753,3445
2015.10.12,21:30,1.47751,1.47836,1.47661,1.47805,2767
2015.10.12,22:00,1.47806,1.47898,1.47775,1.47835,1851
2015.10.12,22:30,1.47838,1.47858,1.47789,1.4779,1235
2015.10.12,23:00,1.47792,1.47817,1.47723,1.47778,1522
2015.10.12,23:30,1.47778,1.47778,1.47588,1.47589,2968
2015.10.13,00:00,1.47591,1.47687,1.47561,1.47635,693
2015.10.13,00:30,1.47626,1.47663,1.47613,1.47654,407
2015.10.13,01:00,1.47654,1.47663,1.47566,1.47588,586
2015.10.13,01:30,1.47587,1.47634,1.47582,1.47632,705
2015.10.13,02:00,1.47632,1.47705,1.47616,1.47648,703
2015.10.13,02:30,1.47648,1.47755,1.47642,1.47712,849
2015.10.13,03:00,1.47711,1.47765,1.47593,1.47722,1650
2015.10.13,03:30,1.47726,1.47919,1.47715,1.47894,1802
2015.10.13,04:00,1.47895,1.48024,1.47803,1.47928,1951
2015.10.13,04:30,1.47926,1.47963,1.47847,1.47888,1142
2015.10.13,05:00,1.47887,1.48285,1.47776,1.48239,2532
2015.10.13,05:30,1.48238,1.4834,1.48216,1.48332,1361
2015.10.13,06:00,1.48332,1.48352,1.48204,1.48287,1514
2015.10.13,06:30,1.48285,1.48299,1.48192,1.48265,809
2015.10.13,07:00,1.48265,1.48269,1.48218,1.48268,719
2015.10.13,07:30,1.48266,1.4837,1.48262,1.48299,816
2015.10.13,08:00,1.48296,1.4836,1.48242,1.48357,865
2015.10.13,08:30,1.48355,1.4847,1.48355,1.48454,1118
2015.10.13,09:00,1.48453,1.48521,1.4819,1.48234,2785
2015.10.13,09:30,1.48234,1.48238,1.48049,1.48161,2797
2015.10.13,10:00,1.48158,1.48443,1.48123,1.48439,5278
2015.10.13,10:30,1.4844,1.4873,1.48364,1.48521,5333
