names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['CHFJPY', 'EURAUD']",80.0,0.78,B
GBPUSD,10,"['EURUSD', 'EURGBP', 'GBPJPY']",80.0,1.0,B
EURUSD,10,['AUDNZD'],100.0,0.37233333333333335,B
USDJPY,10,"['CHFJPY', 'EURAUD']",80.0,0.88,B
AUDUSD,30,['GBPAUD'],100.0,-0.5830392107892108,S
EURCHF,10,['USDCAD'],100.0,0.48685714285714304,B
CHFJPY,20,['GBPAUD'],80.0,-0.8163773448773445,S
CADCHF,10,['EURUSD'],80.0,0.4333492063492066,B
EURGBP,20,"['EURUSD', 'NZDUSD']",80.0,-0.49008907758907777,S
GBPJPY,10,['EURUSD'],80.0,0.38896825396825413,B
GBPCAD,15,"['GBPAUD', 'NZDJPY']",80.0,-0.28685714285714287,S
GBPAUD,30,"['NZDJPY', 'CADJPY', 'EURCHF', 'GBPAUD', 'USDJPY', 'EURJPY']",80.0,-0.528,S
EURNZD,15,"['GBPCAD', 'GBPUSD']",100.0,1.0,B
CADJPY,15,"['EURUSD', 'GBPUSD', 'USDCHF']",80.0,0.32095238095238093,B
AUDJPY,15,"['GBPUSD', 'EURCAD']",80.0,0.5092857142857145,B
AUDCAD,20,"['EURCHF', 'EURNZD', 'GBPCHF', 'AUDCHF', 'NZDCHF']",100.0,0.9,B
NZDCAD,10,['NZDCAD'],80.0,0.9739999999999999,B
