date,ignore,open,high,low,close,volume
2016.11.21,00:00,77.518,77.675,77.518,77.61,709
2016.11.21,00:30,77.595,77.866,77.584,77.625,1793
2016.11.21,01:00,77.624,77.76,77.61,77.631,4395
2016.11.21,01:30,77.636,77.643,77.564,77.613,4216
2016.11.21,02:00,77.619,77.825,77.599,77.696,6909
2016.11.21,02:30,77.694,77.838,77.674,77.791,6655
2016.11.21,03:00,77.791,77.798,77.676,77.746,4532
2016.11.21,03:30,77.746,77.752,77.609,77.637,4809
2016.11.21,04:00,77.641,77.717,77.594,77.598,3218
2016.11.21,04:30,77.599,77.667,77.58,77.641,3166
2016.11.21,05:00,77.642,77.773,77.633,77.756,3491
2016.11.21,05:30,77.755,77.806,77.715,77.799,4181
2016.11.21,06:00,77.799,77.831,77.753,77.781,3052
2016.11.21,06:30,77.781,77.805,77.743,77.795,2419
2016.11.21,07:00,77.794,77.859,77.787,77.854,2066
2016.11.21,07:30,77.855,77.899,77.801,77.884,2835
2016.11.21,08:00,77.884,77.914,77.792,77.812,2204
2016.11.21,08:30,77.811,77.86,77.735,77.84,2555
2016.11.21,09:00,77.839,77.918,77.832,77.9,3644
2016.11.21,09:30,77.902,77.955,77.849,77.901,4722
2016.11.21,10:00,77.901,77.93,77.801,77.878,4009
2016.11.21,10:30,77.878,77.894,77.786,77.787,3317
2016.11.21,11:00,77.787,77.84,77.734,77.745,3991
2016.11.21,11:30,77.746,77.793,77.704,77.738,2965
2016.11.21,12:00,77.741,77.787,77.722,77.743,3506
2016.11.21,12:30,77.743,77.77,77.684,77.687,2924
2016.11.21,13:00,77.688,77.772,77.675,77.758,2493
2016.11.21,13:30,77.758,77.801,77.686,77.728,3769
2016.11.21,14:00,77.727,77.912,77.717,77.9,3358
2016.11.21,14:30,77.899,78.02,77.888,77.941,3507
2016.11.21,15:00,77.938,78.152,77.899,78.065,4979
2016.11.21,15:30,78.065,78.331,78.053,78.29,4804
2016.11.21,16:00,78.292,78.359,78.242,78.264,4349
2016.11.21,16:30,78.265,78.402,78.254,78.38,5252
2016.11.21,17:00,78.38,78.391,78.267,78.315,5483
2016.11.21,17:30,78.316,78.396,78.281,78.39,4561
2016.11.21,18:00,78.39,78.43,78.346,78.37,4082
2016.11.21,18:30,78.37,78.413,78.314,78.383,3295
2016.11.21,19:00,78.38,78.381,78.318,78.343,2288
2016.11.21,19:30,78.344,78.397,78.332,78.39,2436
2016.11.21,20:00,78.389,78.406,78.319,78.379,2946
2016.11.21,20:30,78.379,78.389,78.285,78.313,2659
2016.11.21,21:00,78.314,78.336,78.285,78.323,2209
2016.11.21,21:30,78.323,78.335,78.257,78.293,2223
2016.11.21,22:00,78.292,78.375,78.255,78.374,2294
2016.11.21,22:30,78.375,78.387,78.334,78.375,2404
2016.11.21,23:00,78.374,78.382,78.128,78.261,5771
2016.11.21,23:30,78.261,78.314,78.142,78.226,3918
2016.11.22,00:00,78.187,78.332,78.101,78.183,1267
2016.11.22,00:30,78.169,78.334,78.116,78.33,3703
2016.11.22,01:00,78.333,78.374,78.274,78.311,2713
2016.11.22,01:30,78.31,78.363,78.264,78.314,3404
2016.11.22,02:00,78.313,78.359,78.076,78.126,6148
2016.11.22,02:30,78.127,78.211,78.091,78.149,4774
2016.11.22,03:00,78.148,78.257,78.103,78.254,4501
2016.11.22,03:30,78.255,78.31,78.169,78.306,4621
2016.11.22,04:00,78.306,78.361,78.262,78.322,4331
2016.11.22,04:30,78.321,78.468,78.297,78.438,3451
2016.11.22,05:00,78.436,78.462,78.385,78.44,3385
2016.11.22,05:30,78.441,78.464,78.354,78.364,3206
2016.11.22,06:00,78.365,78.392,78.329,78.353,2610
2016.11.22,06:30,78.354,78.434,78.336,78.431,3059
2016.11.22,07:00,78.433,78.464,78.402,78.402,2293
2016.11.22,07:30,78.401,78.444,78.328,78.384,2507
2016.11.22,08:00,78.38,78.383,78.291,78.296,2364
2016.11.22,08:30,78.3,78.389,78.268,78.329,3620
2016.11.22,09:00,78.329,78.411,78.319,78.397,3661
2016.11.22,09:30,78.396,78.4,78.282,78.333,3700
2016.11.22,10:00,78.331,78.382,78.265,78.364,4676
2016.11.22,10:30,78.362,78.363,78.269,78.352,3978
2016.11.22,11:00,78.355,78.376,78.269,78.317,3929
2016.11.22,11:30,78.321,78.379,78.313,78.377,3473
2016.11.22,12:00,78.376,78.377,78.265,78.33,2811
2016.11.22,12:30,78.329,78.354,78.288,78.311,2766
2016.11.22,13:00,78.311,78.338,78.274,78.324,2493
2016.11.22,13:30,78.324,78.374,78.312,78.36,2680
2016.11.22,14:00,78.362,78.374,78.317,78.321,2428
2016.11.22,14:30,78.32,78.352,78.303,78.317,2879
2016.11.22,15:00,78.318,78.349,78.299,78.311,3667
2016.11.22,15:30,78.312,78.319,78.245,78.303,3820
2016.11.22,16:00,78.302,78.346,78.287,78.338,3521
2016.11.22,16:30,78.339,78.423,78.32,78.394,4522
2016.11.22,17:00,78.396,78.438,78.278,78.297,4999
2016.11.22,17:30,78.298,78.349,78.242,78.324,4405
2016.11.22,18:00,78.325,78.355,78.255,78.258,4415
2016.11.22,18:30,78.257,78.271,78.183,78.193,3227
2016.11.22,19:00,78.192,78.26,78.161,78.211,3061
2016.11.22,19:30,78.21,78.298,78.199,78.283,2127
2016.11.22,20:00,78.285,78.285,78.197,78.243,2895
2016.11.22,20:30,78.244,78.355,78.243,78.326,2309
2016.11.22,21:00,78.327,78.467,78.324,78.449,1685
2016.11.22,21:30,78.449,78.465,78.392,78.411,2273
2016.11.22,22:00,78.409,78.421,78.343,78.363,1393
2016.11.22,22:30,78.362,78.401,78.348,78.366,1960
2016.11.22,23:00,78.365,78.474,78.362,78.461,1573
2016.11.22,23:30,78.461,78.498,78.421,78.421,1552
2016.11.23,00:00,78.436,78.474,78.409,78.458,590
2016.11.23,00:30,78.452,78.495,78.414,78.453,932
2016.11.23,01:00,78.457,78.506,78.412,78.447,3076
2016.11.23,01:30,78.448,78.486,78.403,78.436,2355
2016.11.23,02:00,78.435,78.534,78.43,78.484,2224
2016.11.23,02:30,78.492,78.501,78.445,78.477,1806
2016.11.23,03:00,78.478,78.486,78.4,78.448,2338
2016.11.23,03:30,78.447,78.515,78.439,78.502,2112
2016.11.23,04:00,78.501,78.524,78.457,78.519,1704
2016.11.23,04:30,78.517,78.572,78.44,78.449,2079
2016.11.23,05:00,78.447,78.475,78.421,78.452,2174
2016.11.23,05:30,78.451,78.476,78.413,78.425,2050
2016.11.23,06:00,78.424,78.465,78.386,78.405,1314
2016.11.23,06:30,78.411,78.434,78.378,78.393,1406
2016.11.23,07:00,78.396,78.462,78.371,78.42,1992
