date,ignore,open,high,low,close,volume
2017.06.05,00:00,1.12699,1.12822,1.12674,1.12816,265
2017.06.05,00:30,1.12816,1.12817,1.12726,1.12778,394
2017.06.05,01:00,1.1278,1.12835,1.12742,1.12755,2509
2017.06.05,01:30,1.12756,1.12788,1.12728,1.12788,1144
2017.06.05,02:00,1.12788,1.12805,1.12756,1.12803,603
2017.06.05,02:30,1.12804,1.12807,1.1277,1.12771,908
2017.06.05,03:00,1.12773,1.1278,1.12696,1.12711,1292
2017.06.05,03:30,1.1271,1.12751,1.12687,1.12722,818
2017.06.05,04:00,1.12723,1.12768,1.12714,1.12731,849
2017.06.05,04:30,1.12729,1.12741,1.12683,1.12691,819
2017.06.05,05:00,1.12691,1.1273,1.1269,1.12703,780
2017.06.05,05:30,1.12703,1.12735,1.12646,1.12733,763
2017.06.05,06:00,1.12733,1.12745,1.12664,1.12672,751
2017.06.05,06:30,1.12672,1.12708,1.1267,1.12702,533
2017.06.05,07:00,1.12703,1.12707,1.12679,1.12691,335
2017.06.05,07:30,1.12689,1.12692,1.12629,1.1266,691
2017.06.05,08:00,1.12659,1.12666,1.12611,1.12652,850
2017.06.05,08:30,1.12651,1.12661,1.1261,1.12644,800
2017.06.05,09:00,1.12643,1.12686,1.12635,1.12669,1667
2017.06.05,09:30,1.12669,1.12697,1.1262,1.12631,1566
2017.06.05,10:00,1.12631,1.12785,1.12599,1.12717,2617
2017.06.05,10:30,1.12716,1.12746,1.12637,1.1265,2733
2017.06.05,11:00,1.12646,1.12692,1.12638,1.1265,2044
2017.06.05,11:30,1.12651,1.1272,1.12627,1.12717,2268
2017.06.05,12:00,1.12716,1.12716,1.12616,1.12636,2137
2017.06.05,12:30,1.12635,1.12663,1.12617,1.12645,1782
2017.06.05,13:00,1.12645,1.12668,1.12429,1.12441,2205
2017.06.05,13:30,1.1244,1.12479,1.12349,1.12426,2917
2017.06.05,14:00,1.12427,1.12458,1.12361,1.12453,1911
2017.06.05,14:30,1.12453,1.12471,1.12378,1.12465,1982
2017.06.05,15:00,1.12464,1.12512,1.12446,1.12462,2315
2017.06.05,15:30,1.12461,1.12497,1.12403,1.12416,2178
2017.06.05,16:00,1.12417,1.12542,1.12339,1.12528,2366
2017.06.05,16:30,1.1253,1.12553,1.12467,1.12491,2203
2017.06.05,17:00,1.12488,1.12531,1.12447,1.12505,2910
2017.06.05,17:30,1.12506,1.1255,1.12424,1.125,2878
2017.06.05,18:00,1.12503,1.12546,1.1247,1.12499,1978
2017.06.05,18:30,1.125,1.12537,1.12476,1.12495,1715
2017.06.05,19:00,1.12495,1.12517,1.12474,1.12499,1230
2017.06.05,19:30,1.12498,1.12546,1.12488,1.12525,1269
2017.06.05,20:00,1.12526,1.12608,1.12526,1.126,1524
2017.06.05,20:30,1.12601,1.12641,1.12565,1.12571,1140
2017.06.05,21:00,1.12571,1.12575,1.1252,1.12527,1083
2017.06.05,21:30,1.12526,1.12571,1.12506,1.12569,1363
2017.06.05,22:00,1.12569,1.12572,1.12524,1.12539,1120
2017.06.05,22:30,1.12537,1.12576,1.12534,1.12552,989
2017.06.05,23:00,1.12551,1.12587,1.12544,1.12556,713
2017.06.05,23:30,1.12559,1.12572,1.12533,1.12536,670
