,names,week,needed_features,accuracy
0,USDCHF,10,['CHFJPY'],80.0
1,GBPUSD,20,"['GBPUSD', 'GBPCHF', 'CADCHF', 'AUDNZD', 'NZDCAD', 'GBPAUD', 'AUDCAD', 'NZDUSD', 'EURNZD']",80.0
2,EURUSD,20,['USDCHF'],100.0
3,USDJPY,50,"['USDCAD', 'NZDUSD', 'GBPUSD']",80.0
4,AUDUSD,15,['AUDJPY'],100.0
5,GBPCHF,20,"['AUDNZD', 'CADCHF']",100.0
6,EURCHF,20,['AUDNZD'],100.0
7,CHFJPY,50,['AUDCAD'],80.0
8,EURGBP,10,"['USDCAD', 'AUDUSD']",80.0
9,GBPJPY,10,"['CADCHF', 'USDCAD', 'GBPCHF']",80.0
10,GBPCAD,10,"['EURCHF', 'CADJPY', 'GBPCAD']",80.0
11,GBPAUD,30,['EURUSD'],80.0
12,EURJPY,10,"['EURGBP', 'EURCAD', 'AUDNZD']",80.0
13,EURCAD,10,['USDCAD'],80.0
14,CADJPY,20,['AUDNZD'],80.0
15,AUDJPY,10,['EURGBP'],80.0
16,AUDCAD,10,['AUDCAD'],100.0
17,AUDNZD,15,"['EURUSD', 'USDJPY', 'GBPUSD', 'USDCAD']",80.0
