date,ignore,open,high,low,close,volume
2019.02.18,0:00,124.697,124.779,124.697,124.715,6979
2019.02.18,0:30,124.715,124.77,124.689,124.746,1202
2019.02.18,1:00,124.749,124.794,124.73,124.767,1007
2019.02.18,1:30,124.767,124.906,124.761,124.885,2246
2019.02.18,2:00,124.887,124.887,124.79,124.832,2984
2019.02.18,2:30,124.832,124.952,124.828,124.913,2444
2019.02.18,3:00,124.913,124.996,124.909,124.962,2138
2019.02.18,3:30,124.964,125.017,124.946,124.995,3228
2019.02.18,4:00,124.994,125.141,124.974,125.085,2870
2019.02.18,4:30,125.085,125.152,125.083,125.087,2314
2019.02.18,5:00,125.088,125.121,125.067,125.087,1787
2019.02.18,5:30,125.086,125.105,125.051,125.058,1614
2019.02.18,6:00,125.058,125.058,125.023,125.032,1110
2019.02.18,6:30,125.033,125.057,125.02,125.039,1421
2019.02.18,7:00,125.039,125.055,124.998,125.01,1580
2019.02.18,7:30,125.01,125.012,124.953,124.987,1487
2019.02.18,8:00,124.986,125.026,124.981,125.007,2482
2019.02.18,8:30,125.007,125.046,124.977,125.012,1528
2019.02.18,9:00,125.012,125.089,125.0,125.024,2469
2019.02.18,9:30,125.024,125.065,124.955,124.998,2088
2019.02.18,10:00,124.999,124.999,124.917,124.961,3247
2019.02.18,10:30,124.963,125.052,124.938,125.031,2303
2019.02.18,11:00,125.03,125.065,125.003,125.023,1453
2019.02.18,11:30,125.023,125.133,124.999,125.076,2293
2019.02.18,12:00,125.076,125.157,125.033,125.147,1992
2019.02.18,12:30,125.147,125.234,125.127,125.218,2176
2019.02.18,13:00,125.218,125.224,125.173,125.177,1839
2019.02.18,13:30,125.177,125.239,125.17,125.223,1391
2019.02.18,14:00,125.223,125.264,125.206,125.207,1520
2019.02.18,14:30,125.207,125.249,125.175,125.242,1787
2019.02.18,15:00,125.242,125.25,125.155,125.192,2142
2019.02.18,15:30,125.192,125.224,125.181,125.201,1635
2019.02.18,16:00,125.201,125.263,125.181,125.199,2149
2019.02.18,16:30,125.199,125.216,125.181,125.198,1381
2019.02.18,17:00,125.198,125.203,125.081,125.101,1707
2019.02.18,17:30,125.102,125.117,125.016,125.039,2140
2019.02.18,18:00,125.039,125.055,125.008,125.041,2445
2019.02.18,18:30,125.041,125.084,125.023,125.023,1131
2019.02.18,19:00,125.023,125.034,124.991,125.005,775
2019.02.18,19:30,125.005,125.062,124.994,125.049,1051
2019.02.18,20:00,125.05,125.097,125.044,125.089,895
2019.02.18,20:30,125.089,125.092,125.05,125.071,1585
2019.02.18,21:00,125.071,125.094,125.068,125.068,700
2019.02.18,21:30,125.068,125.097,125.068,125.087,2024
2019.02.18,22:00,125.088,125.11,125.079,125.101,4462
2019.02.18,22:30,125.101,125.125,125.094,125.112,3214
2019.02.18,23:00,125.112,125.123,125.096,125.113,525
2019.02.18,23:30,125.113,125.164,125.063,125.07,3812
2019.02.19,0:00,125.071,125.087,124.994,125.083,1023
2019.02.19,0:30,125.084,125.103,125.041,125.097,589
2019.02.19,1:00,125.1,125.1,125.07,125.076,778
2019.02.19,1:30,125.077,125.098,125.069,125.092,621
2019.02.19,2:00,125.092,125.112,125.037,125.073,1223
2019.02.19,2:30,125.073,125.141,124.919,124.958,3571
2019.02.19,3:00,124.958,124.998,124.922,124.941,2713
2019.02.19,3:30,124.941,124.948,124.845,124.921,2837
2019.02.19,4:00,124.922,124.939,124.861,124.909,1919
