date,ignore,open,high,low,close,volume
2019.07.08,00:00,1.30661,1.30758,1.30661,1.30743,90
2019.07.08,00:30,1.30743,1.30759,1.30698,1.3073,146
2019.07.08,01:00,1.30705,1.30782,1.30705,1.30746,106
2019.07.08,01:30,1.30747,1.30774,1.30725,1.30762,107
2019.07.08,02:00,1.30761,1.30762,1.30724,1.30726,115
2019.07.08,02:30,1.30729,1.30768,1.30721,1.30768,118
2019.07.08,03:00,1.30768,1.30799,1.30726,1.30731,96
2019.07.08,03:30,1.30731,1.30776,1.30707,1.30761,95
2019.07.08,04:00,1.30757,1.30766,1.30705,1.30729,92
2019.07.08,04:30,1.30729,1.30739,1.30702,1.30718,96
2019.07.08,05:00,1.30718,1.30748,1.30718,1.30733,108
2019.07.08,05:30,1.30744,1.30762,1.30727,1.30752,98
2019.07.08,06:00,1.30755,1.30755,1.30724,1.30728,99
2019.07.08,06:30,1.30728,1.30737,1.30711,1.30728,73
2019.07.08,07:00,1.30728,1.30737,1.307,1.30703,71
2019.07.08,07:30,1.3071,1.30713,1.30692,1.30692,89
2019.07.08,08:00,1.30694,1.30719,1.30679,1.30714,96
2019.07.08,08:30,1.3072,1.30762,1.30694,1.30746,74
2019.07.08,09:00,1.30746,1.30821,1.30746,1.30785,113
2019.07.08,09:30,1.30789,1.30813,1.30761,1.30771,83
2019.07.08,10:00,1.30771,1.30772,1.30628,1.3066,75
2019.07.08,10:30,1.30658,1.30716,1.30629,1.30647,80
2019.07.08,11:00,1.30647,1.30671,1.30605,1.30666,77
2019.07.08,11:30,1.30666,1.30722,1.30662,1.30695,73
2019.07.08,12:00,1.30695,1.30763,1.30676,1.30759,79
2019.07.08,12:30,1.30759,1.30781,1.30731,1.30741,85
2019.07.08,13:00,1.30741,1.30741,1.30709,1.30722,77
2019.07.08,13:30,1.30722,1.30768,1.30706,1.3073,200
2019.07.08,14:00,1.3073,1.30737,1.3064,1.30663,706
2019.07.08,14:30,1.30663,1.30688,1.30582,1.30591,522
2019.07.08,15:00,1.30589,1.30616,1.30492,1.30528,941
2019.07.08,15:30,1.30524,1.30623,1.30505,1.30549,910
2019.07.08,16:00,1.30549,1.30644,1.30528,1.30617,1039
2019.07.08,16:30,1.30617,1.30696,1.30617,1.30644,1171
2019.07.08,17:00,1.30644,1.30747,1.30618,1.30747,1084
2019.07.08,17:30,1.30747,1.30993,1.30747,1.30937,1628
2019.07.08,18:00,1.30937,1.30938,1.30815,1.3085,1019
2019.07.08,18:30,1.3085,1.30925,1.30844,1.3089,1005
2019.07.08,19:00,1.3089,1.30926,1.30882,1.30901,805
2019.07.08,19:30,1.30902,1.30902,1.30864,1.30874,743
2019.07.08,20:00,1.30874,1.30876,1.30842,1.30847,605
2019.07.08,20:30,1.30846,1.30915,1.3083,1.30907,573
2019.07.08,21:00,1.30907,1.30927,1.3088,1.30905,663
2019.07.08,21:30,1.30905,1.30971,1.30876,1.30957,808
2019.07.08,22:00,1.30955,1.31027,1.30955,1.31019,706
2019.07.08,22:30,1.31014,1.31027,1.30949,1.3096,775
2019.07.08,23:00,1.30958,1.30968,1.30933,1.30952,424
2019.07.08,23:30,1.30952,1.30973,1.30938,1.3096,317
2019.07.09,00:00,1.30942,1.3099,1.30898,1.30908,386
2019.07.09,00:30,1.3091,1.30972,1.30898,1.30958,471
2019.07.09,01:00,1.3096,1.30986,1.30943,1.30959,302
2019.07.09,01:30,1.30959,1.30984,1.30954,1.30978,584
2019.07.09,02:00,1.30978,1.31018,1.30978,1.31014,268
2019.07.09,02:30,1.31014,1.31038,1.31011,1.31033,373
2019.07.09,03:00,1.31035,1.31041,1.30992,1.30999,658
2019.07.09,03:30,1.30998,1.31018,1.30979,1.31003,454
2019.07.09,04:00,1.31003,1.3103,1.30977,1.31028,594
2019.07.09,04:30,1.31029,1.3107,1.31004,1.31005,619
2019.07.09,05:00,1.31006,1.31022,1.30985,1.3102,380
2019.07.09,05:30,1.3102,1.31033,1.31003,1.31018,257
2019.07.09,06:00,1.3102,1.31025,1.30995,1.30997,375
2019.07.09,06:30,1.30997,1.31046,1.30997,1.31044,280
2019.07.09,07:00,1.31044,1.31052,1.31017,1.31018,299
2019.07.09,07:30,1.31018,1.31023,1.3099,1.31005,392
2019.07.09,08:00,1.31005,1.31043,1.31004,1.31034,372
2019.07.09,08:30,1.31034,1.31045,1.3102,1.31042,329
2019.07.09,09:00,1.31042,1.31101,1.31034,1.31081,584
2019.07.09,09:30,1.31081,1.31143,1.31074,1.31142,837
2019.07.09,10:00,1.31141,1.31196,1.31129,1.31163,1059
2019.07.09,10:30,1.31163,1.31247,1.3113,1.31221,837
2019.07.09,11:00,1.31221,1.31295,1.31209,1.31264,891
2019.07.09,11:30,1.31264,1.31339,1.31264,1.31315,875
2019.07.09,12:00,1.31315,1.31318,1.31278,1.3129,638
2019.07.09,12:30,1.3129,1.31305,1.31264,1.31273,462
2019.07.09,13:00,1.31273,1.31298,1.3121,1.31215,816
2019.07.09,13:30,1.31215,1.31231,1.31164,1.3123,615
2019.07.09,14:00,1.31235,1.31259,1.31212,1.31218,635
2019.07.09,14:30,1.31218,1.31275,1.31212,1.31241,739
2019.07.09,15:00,1.3124,1.31276,1.3117,1.31177,783
2019.07.09,15:30,1.31177,1.31268,1.31133,1.31238,1100
2019.07.09,16:00,1.31238,1.31325,1.31237,1.31258,1104
2019.07.09,16:30,1.31258,1.31285,1.31197,1.31235,1379
2019.07.09,17:00,1.31237,1.31292,1.31199,1.31254,1031
