date,ignore,open,high,low,close,volume
2020.03.02,00:00,0.64695,0.64892,0.64695,0.64849,285
2020.03.02,00:30,0.64849,0.64855,0.64717,0.64779,428
2020.03.02,01:00,0.64779,0.65132,0.64779,0.65111,1367
2020.03.02,01:30,0.65112,0.65251,0.65084,0.6513,968
2020.03.02,02:00,0.6513,0.65169,0.64889,0.64926,1164
2020.03.02,02:30,0.6493,0.65133,0.6492,0.65034,856
2020.03.02,03:00,0.65034,0.6518,0.65034,0.65154,734
2020.03.02,03:30,0.65158,0.65284,0.65152,0.65164,1482
2020.03.02,04:00,0.65164,0.65305,0.65153,0.65304,1026
2020.03.02,04:30,0.65306,0.65462,0.65292,0.65364,1256
2020.03.02,05:00,0.65364,0.65385,0.65231,0.65353,862
2020.03.02,05:30,0.65353,0.65362,0.6522,0.65263,701
2020.03.02,06:00,0.65263,0.65265,0.65194,0.65219,570
2020.03.02,06:30,0.65221,0.65261,0.65192,0.65209,708
2020.03.02,07:00,0.65209,0.65217,0.65124,0.652,609
2020.03.02,07:30,0.652,0.65214,0.65161,0.65211,622
2020.03.02,08:00,0.65211,0.65309,0.652,0.65299,863
2020.03.02,08:30,0.65299,0.6531,0.65233,0.6524,615
2020.03.02,09:00,0.6524,0.65363,0.65233,0.65309,1247
2020.03.02,09:30,0.65309,0.6546,0.65304,0.65414,1463
2020.03.02,10:00,0.65414,0.65664,0.6537,0.65631,2116
2020.03.02,10:30,0.65631,0.65677,0.65549,0.65565,1440
2020.03.02,11:00,0.65565,0.65583,0.65479,0.65526,1402
2020.03.02,11:30,0.65526,0.65531,0.65428,0.65484,1568
2020.03.02,12:00,0.65484,0.65558,0.65457,0.65539,1270
2020.03.02,12:30,0.65539,0.65594,0.65414,0.65416,1148
2020.03.02,13:00,0.65416,0.65449,0.65305,0.65305,1386
2020.03.02,13:30,0.65306,0.6533,0.65253,0.65287,1425
2020.03.02,14:00,0.65286,0.65425,0.65286,0.65375,1798
2020.03.02,14:30,0.65374,0.65477,0.65317,0.65443,1487
2020.03.02,15:00,0.65444,0.65451,0.65347,0.6538,1294
2020.03.02,15:30,0.65381,0.65517,0.65374,0.65435,1982
2020.03.02,16:00,0.65435,0.65475,0.65393,0.65455,1617
2020.03.02,16:30,0.65459,0.65507,0.65352,0.65413,2202
2020.03.02,17:00,0.65413,0.65493,0.65353,0.65379,2024
2020.03.02,17:30,0.65379,0.65389,0.65134,0.65171,2026
2020.03.02,18:00,0.65175,0.65344,0.65119,0.65247,2403
2020.03.02,18:30,0.65247,0.65249,0.65123,0.65236,1556
2020.03.02,19:00,0.65237,0.65329,0.65208,0.65259,1232
2020.03.02,19:30,0.65259,0.65335,0.65249,0.65329,1154
2020.03.02,20:00,0.6533,0.65377,0.6531,0.65354,1032
2020.03.02,20:30,0.65354,0.65368,0.65305,0.65329,890
2020.03.02,21:00,0.65327,0.65348,0.65294,0.65346,798
2020.03.02,21:30,0.65346,0.6535,0.65299,0.65311,797
2020.03.02,22:00,0.6531,0.65352,0.65284,0.65293,991
2020.03.02,22:30,0.65294,0.65294,0.65204,0.65259,1289
2020.03.02,23:00,0.65259,0.65343,0.65234,0.65335,536
2020.03.02,23:30,0.65335,0.65464,0.65334,0.65369,561
2020.03.03,00:00,0.65367,0.65397,0.65285,0.65377,310
2020.03.03,00:30,0.65377,0.65384,0.65331,0.65334,246
2020.03.03,01:00,0.65334,0.65434,0.65334,0.65384,672
2020.03.03,01:30,0.65384,0.65489,0.65375,0.65485,632
2020.03.03,02:00,0.65485,0.65485,0.65349,0.65384,971
2020.03.03,02:30,0.65384,0.65385,0.65308,0.65345,723
2020.03.03,03:00,0.65345,0.6541,0.65276,0.65349,1055
2020.03.03,03:30,0.65349,0.65351,0.65095,0.65128,1399
2020.03.03,04:00,0.65129,0.65205,0.65124,0.65169,1125
2020.03.03,04:30,0.65169,0.65213,0.65134,0.65168,944
2020.03.03,05:00,0.65167,0.65307,0.65149,0.65277,816
2020.03.03,05:30,0.65277,0.65664,0.65131,0.65502,2161
2020.03.03,06:00,0.65504,0.65635,0.65434,0.65561,1303
2020.03.03,06:30,0.65561,0.65569,0.65434,0.6549,992
2020.03.03,07:00,0.6549,0.65553,0.65485,0.65527,816
2020.03.03,07:30,0.65527,0.65527,0.65397,0.65416,635
2020.03.03,08:00,0.65414,0.65474,0.65399,0.65463,677
2020.03.03,08:30,0.65463,0.65465,0.65397,0.65444,732
2020.03.03,09:00,0.65444,0.65534,0.65444,0.65477,1035
2020.03.03,09:30,0.65478,0.65552,0.65434,0.65502,802
2020.03.03,10:00,0.65502,0.65636,0.65472,0.656,1392
2020.03.03,10:30,0.656,0.65603,0.65494,0.65496,860
2020.03.03,11:00,0.65495,0.65528,0.65469,0.65514,749
2020.03.03,11:30,0.65514,0.65631,0.6551,0.65608,812
2020.03.03,12:00,0.65608,0.65655,0.6558,0.65607,700
2020.03.03,12:30,0.65607,0.65668,0.65602,0.65643,604
2020.03.03,13:00,0.65643,0.65648,0.65554,0.65583,923
2020.03.03,13:30,0.65583,0.65674,0.65574,0.65669,734
2020.03.03,14:00,0.65669,0.65678,0.65599,0.65603,761
2020.03.03,14:30,0.65603,0.65743,0.65603,0.65691,1654
2020.03.03,15:00,0.65692,0.65737,0.65652,0.65655,1308
2020.03.03,15:30,0.65655,0.65744,0.65613,0.65721,1042
2020.03.03,16:00,0.65721,0.65821,0.6571,0.65803,935
2020.03.03,16:30,0.65802,0.65842,0.65764,0.65839,1384
2020.03.03,17:00,0.65849,0.66381,0.65849,0.66245,4552
2020.03.03,17:30,0.66245,0.66452,0.66179,0.66218,3178
2020.03.03,18:00,0.6622,0.66253,0.65901,0.65915,2622
2020.03.03,18:30,0.65915,0.66158,0.6591,0.66158,1924
2020.03.03,19:00,0.66158,0.66159,0.66054,0.66102,1566
2020.03.03,19:30,0.66101,0.66107,0.66038,0.66088,1267
2020.03.03,20:00,0.66088,0.6612,0.6603,0.66061,1116
2020.03.03,20:30,0.66061,0.66067,0.65964,0.65977,1032
2020.03.03,21:00,0.65977,0.66006,0.65912,0.65996,1734
2020.03.03,21:30,0.65996,0.66011,0.65901,0.65967,1711
2020.03.03,22:00,0.65966,0.66023,0.65935,0.65993,1418
2020.03.03,22:30,0.65992,0.65992,0.65934,0.65973,1559
2020.03.03,23:00,0.65974,0.65982,0.65922,0.65932,419
2020.03.03,23:30,0.65932,0.65945,0.6581,0.65828,433
2020.03.04,00:00,0.6582,0.65857,0.65797,0.65853,161
2020.03.04,00:30,0.65853,0.65875,0.65823,0.65825,222
2020.03.04,01:00,0.65822,0.65885,0.65803,0.65833,693
2020.03.04,01:30,0.65833,0.6586,0.65769,0.65825,890
2020.03.04,02:00,0.65825,0.6595,0.65825,0.65882,990
2020.03.04,02:30,0.65882,0.66094,0.65882,0.66045,1485
2020.03.04,03:00,0.66045,0.66147,0.66029,0.66065,1106
2020.03.04,03:30,0.66066,0.66085,0.65907,0.65926,1191
2020.03.04,04:00,0.65926,0.6608,0.65926,0.66079,895
2020.03.04,04:30,0.66079,0.66146,0.66052,0.66094,882
2020.03.04,05:00,0.66094,0.66095,0.66028,0.66048,546
2020.03.04,05:30,0.66048,0.6608,0.66022,0.66048,539
2020.03.04,06:00,0.6605,0.66056,0.65937,0.65954,645
2020.03.04,06:30,0.65954,0.65959,0.65932,0.65935,412
2020.03.04,07:00,0.65935,0.66007,0.65923,0.66005,469
2020.03.04,07:30,0.66005,0.66009,0.65963,0.65969,488
2020.03.04,08:00,0.65968,0.66011,0.65905,0.65933,666
2020.03.04,08:30,0.65934,0.66018,0.65927,0.65974,601
2020.03.04,09:00,0.65974,0.66058,0.65973,0.66033,882
2020.03.04,09:30,0.66033,0.66082,0.66002,0.66038,735
2020.03.04,10:00,0.66038,0.66071,0.65973,0.6607,1156
2020.03.04,10:30,0.6607,0.66095,0.66024,0.66068,1044
2020.03.04,11:00,0.66068,0.66145,0.66047,0.6605,849
2020.03.04,11:30,0.6605,0.66127,0.66049,0.66119,834
2020.03.04,12:00,0.66119,0.66241,0.6611,0.66191,857
2020.03.04,12:30,0.66194,0.662,0.66116,0.66126,725
2020.03.04,13:00,0.66125,0.66247,0.66113,0.6623,548
2020.03.04,13:30,0.66234,0.66276,0.66207,0.66222,660
2020.03.04,14:00,0.66222,0.66268,0.66191,0.66207,686
2020.03.04,14:30,0.66207,0.66263,0.66187,0.66217,575
2020.03.04,15:00,0.66216,0.6626,0.6621,0.66244,785
2020.03.04,15:30,0.66244,0.66256,0.66145,0.66151,653
2020.03.04,16:00,0.66151,0.6623,0.66107,0.66169,934
2020.03.04,16:30,0.66169,0.66184,0.66082,0.66145,1443
2020.03.04,17:00,0.66135,0.66222,0.66064,0.66169,1644
2020.03.04,17:30,0.66169,0.66228,0.6612,0.66209,1141
2020.03.04,18:00,0.66211,0.66231,0.66099,0.66101,1221
2020.03.04,18:30,0.66101,0.66114,0.66028,0.66078,1078
2020.03.04,19:00,0.66078,0.6613,0.66074,0.6612,782
2020.03.04,19:30,0.6612,0.66128,0.66069,0.66091,594
2020.03.04,20:00,0.66091,0.66156,0.66091,0.66141,573
2020.03.04,20:30,0.66141,0.66163,0.66137,0.66152,442
2020.03.04,21:00,0.66152,0.6617,0.66136,0.66138,608
2020.03.04,21:30,0.66139,0.66168,0.6612,0.66134,726
2020.03.04,22:00,0.66134,0.66204,0.66131,0.66177,586
2020.03.04,22:30,0.66177,0.66244,0.66172,0.66223,860
2020.03.04,23:00,0.66222,0.66235,0.66197,0.66227,300
2020.03.04,23:30,0.66227,0.66267,0.66199,0.66257,275
2020.03.05,00:00,0.66257,0.66257,0.66188,0.66221,232
2020.03.05,00:30,0.66221,0.66251,0.66184,0.66195,421
