date,ignore,open,high,low,close,volume
2020.08.17,00:00,80.342,80.476,80.324,80.441,111
2020.08.17,00:30,80.476,80.503,80.338,80.356,139
2020.08.17,01:00,80.356,80.422,80.326,80.386,341
2020.08.17,01:30,80.391,80.401,80.377,80.382,232
2020.08.17,02:00,80.381,80.399,80.373,80.383,355
2020.08.17,02:30,80.382,80.395,80.364,80.386,338
2020.08.17,03:00,80.386,80.435,80.358,80.358,607
2020.08.17,03:30,80.358,80.381,80.296,80.34,757
2020.08.17,04:00,80.339,80.343,80.299,80.311,550
2020.08.17,04:30,80.311,80.331,80.28,80.311,540
2020.08.17,05:00,80.312,80.408,80.312,80.399,517
2020.08.17,05:30,80.399,80.424,80.39,80.41,363
2020.08.17,06:00,80.411,80.419,80.376,80.397,264
2020.08.17,06:30,80.397,80.4,80.331,80.358,288
2020.08.17,07:00,80.357,80.385,80.338,80.384,274
2020.08.17,07:30,80.386,80.447,80.386,80.409,388
2020.08.17,08:00,80.409,80.439,80.399,80.407,252
2020.08.17,08:30,80.407,80.421,80.386,80.417,275
2020.08.17,09:00,80.418,80.446,80.364,80.436,631
2020.08.17,09:30,80.436,80.477,80.412,80.443,676
2020.08.17,10:00,80.443,80.452,80.338,80.409,1037
2020.08.17,10:30,80.41,80.446,80.366,80.44,893
2020.08.17,11:00,80.439,80.447,80.349,80.364,1044
2020.08.17,11:30,80.362,80.442,80.356,80.419,821
2020.08.17,12:00,80.425,80.461,80.398,80.416,861
2020.08.17,12:30,80.418,80.421,80.34,80.406,1014
2020.08.17,13:00,80.405,80.415,80.366,80.371,609
2020.08.17,13:30,80.37,80.384,80.341,80.36,719
2020.08.17,14:00,80.361,80.376,80.329,80.339,833
2020.08.17,14:30,80.34,80.367,80.295,80.341,850
2020.08.17,15:00,80.341,80.341,80.281,80.3,938
2020.08.17,15:30,80.302,80.327,80.248,80.321,924
2020.08.17,16:00,80.323,80.335,80.283,80.295,824
2020.08.17,16:30,80.295,80.37,80.276,80.343,1457
2020.08.17,17:00,80.342,80.374,80.279,80.319,1143
2020.08.17,17:30,80.32,80.35,80.285,80.29,1532
2020.08.17,18:00,80.287,80.33,80.259,80.275,1082
2020.08.17,18:30,80.277,80.285,80.195,80.247,1052
2020.08.17,19:00,80.247,80.289,80.201,80.253,641
