date,ignore,open,high,low,close,volume
2021.01.04,00:00,1.20354,1.20727,1.20324,1.206,185
2021.01.04,00:30,1.20598,1.20693,1.20566,1.20691,480
2021.01.04,01:00,1.20694,1.20811,1.20636,1.20764,719
2021.01.04,01:30,1.20767,1.20852,1.20752,1.20812,1161
2021.01.04,02:00,1.20812,1.20858,1.2075,1.20762,1843
2021.01.04,02:30,1.20766,1.20884,1.20724,1.20823,1546
2021.01.04,03:00,1.20823,1.2096,1.20807,1.20959,1910
2021.01.04,03:30,1.20958,1.2099,1.20885,1.20892,2106
2021.01.04,04:00,1.20891,1.20968,1.20879,1.20926,1841
2021.01.04,04:30,1.20926,1.21007,1.20903,1.20967,1421
2021.01.04,05:00,1.20967,1.21035,1.20961,1.20998,1253
2021.01.04,05:30,1.20994,1.21076,1.20989,1.21023,1276
2021.01.04,06:00,1.21023,1.21091,1.20989,1.20993,892
2021.01.04,06:30,1.20993,1.21005,1.20922,1.20943,1075
2021.01.04,07:00,1.20947,1.20968,1.20889,1.20904,1021
2021.01.04,07:30,1.20904,1.20935,1.20869,1.20908,1242
2021.01.04,08:00,1.20907,1.20957,1.20896,1.20903,1589
2021.01.04,08:30,1.20904,1.20921,1.20821,1.20848,1173
2021.01.04,09:00,1.20853,1.20994,1.20853,1.20902,1634
2021.01.04,09:30,1.20901,1.20953,1.20814,1.20847,2085
2021.01.04,10:00,1.20845,1.20874,1.20432,1.2047,3092
2021.01.04,10:30,1.20471,1.20563,1.20405,1.20539,2362
2021.01.04,11:00,1.20535,1.2057,1.20265,1.20281,2258
2021.01.04,11:30,1.20282,1.2032,1.20219,1.20284,2489
2021.01.04,12:00,1.20281,1.20444,1.2026,1.20411,1896
2021.01.04,12:30,1.20413,1.20477,1.20336,1.20443,1761
2021.01.04,13:00,1.20442,1.20535,1.20268,1.20268,1683
2021.01.04,13:30,1.20271,1.20366,1.20222,1.20274,1837
2021.01.04,14:00,1.20272,1.20283,1.20052,1.20114,2342
2021.01.04,14:30,1.20114,1.2017,1.19949,1.1995,2083
2021.01.04,15:00,1.19951,1.20054,1.19711,1.198,2817
2021.01.04,15:30,1.198,1.19904,1.19789,1.19835,2693
2021.01.04,16:00,1.19835,1.1991,1.19753,1.19771,2617
2021.01.04,16:30,1.19771,1.19964,1.19744,1.19839,3815
2021.01.04,17:00,1.19836,1.19839,1.19631,1.19633,3658
2021.01.04,17:30,1.19635,1.19685,1.19379,1.19428,4053
2021.01.04,18:00,1.19428,1.19675,1.19385,1.19659,3389
2021.01.04,18:30,1.19658,1.19659,1.19382,1.194,2942
