date,ignore,open,high,low,close,volume
2021.01.25,00:00,1.07437,1.07489,1.07354,1.07462,179
2021.01.25,00:30,1.0746,1.07484,1.07399,1.07446,238
2021.01.25,01:00,1.07446,1.07509,1.07399,1.07465,1086
2021.01.25,01:30,1.07471,1.07483,1.07396,1.07415,670
2021.01.25,02:00,1.07415,1.07475,1.07398,1.07403,868
2021.01.25,02:30,1.07403,1.07404,1.07344,1.07351,467
2021.01.25,03:00,1.07351,1.07394,1.07306,1.07317,670
2021.01.25,03:30,1.07319,1.0734,1.07281,1.07308,670
2021.01.25,04:00,1.07308,1.07333,1.07278,1.07284,603
2021.01.25,04:30,1.07282,1.07322,1.07261,1.07308,585
2021.01.25,05:00,1.07308,1.07318,1.07279,1.07309,467
2021.01.25,05:30,1.07309,1.07312,1.07282,1.07301,365
2021.01.25,06:00,1.07301,1.07358,1.07297,1.07352,372
2021.01.25,06:30,1.07349,1.07372,1.07328,1.07368,492
2021.01.25,07:00,1.07372,1.07384,1.07346,1.07349,427
2021.01.25,07:30,1.07349,1.07368,1.07319,1.07349,651
2021.01.25,08:00,1.07348,1.07372,1.07337,1.07337,668
2021.01.25,08:30,1.07338,1.07345,1.07278,1.07311,618
2021.01.25,09:00,1.07311,1.07317,1.0726,1.073,891
2021.01.25,09:30,1.073,1.07327,1.07247,1.07277,1177
2021.01.25,10:00,1.07276,1.07294,1.07237,1.07242,1676
2021.01.25,10:30,1.07242,1.0725,1.07218,1.07236,719
2021.01.25,11:00,1.07237,1.07268,1.07188,1.072,1298
2021.01.25,11:30,1.072,1.07225,1.0714,1.0717,1077
2021.01.25,12:00,1.07171,1.07235,1.07137,1.0719,947
2021.01.25,12:30,1.07189,1.07216,1.07157,1.07203,838
2021.01.25,13:00,1.07203,1.0724,1.07196,1.07211,790
2021.01.25,13:30,1.07211,1.07227,1.07141,1.07157,1254
2021.01.25,14:00,1.07159,1.07162,1.07099,1.071,995
2021.01.25,14:30,1.071,1.0715,1.0708,1.07146,958
2021.01.25,15:00,1.07146,1.07178,1.07142,1.07168,1166
2021.01.25,15:30,1.07168,1.07222,1.07139,1.07206,1419
2021.01.25,16:00,1.07206,1.07229,1.07121,1.07199,1264
2021.01.25,16:30,1.07199,1.0721,1.07129,1.07134,2397
2021.01.25,17:00,1.07136,1.07222,1.07127,1.07191,2256
2021.01.25,17:30,1.07191,1.07225,1.07164,1.07188,2079
2021.01.25,18:00,1.07188,1.072,1.07085,1.07097,3382
2021.01.25,18:30,1.07097,1.07107,1.07055,1.07101,1815
2021.01.25,19:00,1.07101,1.07125,1.07056,1.07064,1404
2021.01.25,19:30,1.07064,1.07118,1.0705,1.07103,1643
2021.01.25,20:00,1.07078,1.07255,1.06888,1.07122,1031
2021.01.25,20:30,1.07123,1.07155,1.07108,1.07152,756
2021.01.25,21:00,1.07152,1.07172,1.07136,1.07169,998
2021.01.25,21:30,1.07169,1.07184,1.0714,1.07159,1452
2021.01.25,22:00,1.07159,1.07177,1.07126,1.07161,1298
2021.01.25,22:30,1.07163,1.07188,1.07136,1.07155,1262
2021.01.25,23:00,1.07156,1.0716,1.07132,1.07141,374
2021.01.25,23:30,1.07141,1.07164,1.07061,1.07061,290
2021.01.26,00:00,1.0699,1.07133,1.06869,1.07075,184
2021.01.26,00:30,1.0707,1.07163,1.07049,1.07162,253
2021.01.26,01:00,1.07158,1.0717,1.07108,1.07161,313
2021.01.26,01:30,1.0716,1.0716,1.07138,1.07148,210
2021.01.26,02:00,1.07148,1.07159,1.07133,1.0714,384
