date,ignore,open,high,low,close,volume
2021.06.21,0:00,1.37942,1.38136,1.37942,1.38136,196
2021.06.21,0:30,1.38049,1.38139,1.37951,1.37975,433
2021.06.21,1:00,1.37964,1.38148,1.37964,1.3808,827
2021.06.21,1:30,1.3808,1.38193,1.38066,1.38153,383
2021.06.21,2:00,1.38153,1.38223,1.38153,1.38218,668
2021.06.21,2:30,1.38218,1.38234,1.38155,1.38165,776
2021.06.21,3:00,1.38165,1.38242,1.38137,1.38209,1914
2021.06.21,3:30,1.38209,1.38292,1.38185,1.38279,1314
2021.06.21,4:00,1.38279,1.38293,1.38196,1.38225,1787
2021.06.21,4:30,1.38223,1.38273,1.38119,1.38122,1669
2021.06.21,5:00,1.38122,1.38226,1.38107,1.38161,2031
2021.06.21,5:30,1.38161,1.38181,1.38082,1.38142,1988
2021.06.21,6:00,1.38142,1.38147,1.3795,1.38001,2239
2021.06.21,6:30,1.38001,1.38006,1.37864,1.37943,1985
2021.06.21,7:00,1.37943,1.38027,1.37925,1.37943,1106
2021.06.21,7:30,1.37943,1.38015,1.37897,1.38006,1387
2021.06.21,8:00,1.38007,1.38028,1.37951,1.38006,1271
2021.06.21,8:30,1.38006,1.38096,1.37917,1.38096,1774
2021.06.21,9:00,1.38096,1.38174,1.38024,1.3813,2793
2021.06.21,9:30,1.3813,1.38281,1.38084,1.38196,3062
2021.06.21,10:00,1.38198,1.38238,1.38008,1.38054,3473
2021.06.21,10:30,1.38056,1.38348,1.38037,1.38333,3777
2021.06.21,11:00,1.38333,1.38402,1.38321,1.38344,2996
2021.06.21,11:30,1.38344,1.38453,1.38333,1.38413,2967
2021.06.21,12:00,1.38414,1.38696,1.38381,1.38691,2657
2021.06.21,12:30,1.38692,1.38777,1.38621,1.38711,2200
2021.06.21,13:00,1.38711,1.38728,1.38589,1.38673,2435
2021.06.21,13:30,1.38671,1.38876,1.38646,1.38777,2442
2021.06.21,14:00,1.38779,1.38859,1.38732,1.38824,2412
2021.06.21,14:30,1.38822,1.38875,1.38689,1.3877,2319
2021.06.21,15:00,1.38771,1.38804,1.38676,1.38724,2990
2021.06.21,15:30,1.3872,1.38742,1.38666,1.38742,2664
2021.06.21,16:00,1.38742,1.38948,1.38713,1.38939,2717
2021.06.21,16:30,1.38939,1.38987,1.38794,1.38983,4294
2021.06.21,17:00,1.38988,1.39189,1.38951,1.3915,3915
2021.06.21,17:30,1.3915,1.39189,1.39007,1.39041,3582
2021.06.21,18:00,1.39041,1.39177,1.39029,1.39159,2738
2021.06.21,18:30,1.3916,1.39179,1.39108,1.39134,2708
2021.06.21,19:00,1.39136,1.39219,1.39126,1.39213,1865
2021.06.21,19:30,1.39213,1.39321,1.39208,1.39278,1919
2021.06.21,20:00,1.39279,1.39322,1.39237,1.39283,1652
2021.06.21,20:30,1.39283,1.39344,1.39259,1.39292,1844
2021.06.21,21:00,1.3929,1.39343,1.39268,1.39331,1397
2021.06.21,21:30,1.39331,1.39351,1.39282,1.39282,1453
2021.06.21,22:00,1.39282,1.3937,1.39282,1.39345,1555
2021.06.21,22:30,1.39345,1.39351,1.39295,1.39318,1681
2021.06.21,23:00,1.39318,1.39319,1.39275,1.39281,1266
2021.06.21,23:30,1.39281,1.39352,1.39267,1.39335,999
2021.06.22,0:00,1.39325,1.39364,1.39308,1.39345,340
2021.06.22,0:30,1.39343,1.39362,1.39334,1.39357,303
2021.06.22,1:00,1.39357,1.39366,1.39318,1.39326,407
2021.06.22,1:30,1.39324,1.39332,1.39274,1.39293,511
2021.06.22,2:00,1.39293,1.393,1.39258,1.39294,726
2021.06.22,2:30,1.39293,1.39317,1.39236,1.39238,660
2021.06.22,3:00,1.39238,1.39254,1.39176,1.39179,1011
2021.06.22,3:30,1.39179,1.39187,1.39084,1.39138,1040
2021.06.22,4:00,1.39137,1.39143,1.39013,1.39045,1044
2021.06.22,4:30,1.39049,1.39097,1.39024,1.39096,1151
2021.06.22,5:00,1.39097,1.39142,1.39067,1.3914,1107
2021.06.22,5:30,1.39138,1.39198,1.39132,1.39141,1334
2021.06.22,6:00,1.39144,1.39203,1.39126,1.39202,378
2021.06.22,6:30,1.39202,1.39203,1.39131,1.39132,374
2021.06.22,7:00,1.39132,1.39168,1.39115,1.39116,193
2021.06.22,7:30,1.39116,1.39131,1.39092,1.39102,197
2021.06.22,8:00,1.39102,1.39107,1.38991,1.38991,346
2021.06.22,8:30,1.38997,1.39058,1.3892,1.38939,685
2021.06.22,9:00,1.38942,1.39089,1.38942,1.38998,1302
2021.06.22,9:30,1.38998,1.39103,1.38979,1.39022,1950
2021.06.22,10:00,1.39023,1.39067,1.38863,1.38905,3205
2021.06.22,10:30,1.38904,1.39,1.38782,1.38854,3007
