names,week,needed_features,accuracy
USDCHF,10,"['NZDCAD', 'AUDCAD', 'NZDUSD']",100.0
USDJPY,20,"['AUDJPY', 'EURCAD', 'CADJPY', 'NZDJPY', 'USDJPY', 'CADCHF']",100.0
USDCAD,20,"['USDJPY', 'EURCAD']",80.0
AUDUSD,50,"['EURNZD', 'EURGBP']",80.0
NZDUSD,10,['CHFJPY'],100.0
GBPCHF,30,"['EURGBP', 'NZDCHF']",80.0
EURCHF,10,['EURGBP'],80.0
CHFJPY,10,"['EURGBP', 'GBPJPY', 'EURAUD']",80.0
CADCHF,10,['USDCAD'],100.0
AUDCHF,10,['EURGBP'],80.0
EURGBP,50,"['AUDCAD', 'EURJPY', 'EURCAD']",80.0
GBPCAD,10,"['USDCAD', 'GBPUSD', 'EURUSD', 'EURJPY']",80.0
GBPAUD,30,['AUDCAD'],80.0
EURAUD,30,['AUDCAD'],80.0
EURNZD,10,"['CHFJPY', 'USDCHF', 'NZDCHF']",80.0
CADJPY,10,"['NZDCAD', 'AUDCAD', 'GBPCHF', 'CHFJPY']",80.0
AUDJPY,20,['AUDCAD'],80.0
NZDJPY,30,['USDCHF'],80.0
AUDCAD,10,['EURAUD'],100.0
NZDCAD,10,['EURAUD'],100.0
AUDNZD,20,"['AUDNZD', 'USDCHF']",80.0
