date,EURUSD,NZDUSD,EURGBP,empty,sum
2015.05.11,2.999999999997449,-261.99999999999557,-17.999999999995797,,-276.9999999999939
2015.05.11,-2.0000000000131024,-148.99999999999915,-22.999999999995246,,-174.0000000000075
2015.05.11,-15.00000000000945,-218.99999999999142,19.00000000000235,,-214.9999999999985
2015.05.11,-35.00000000000725,-314.99999999999864,23.00000000000635,,-326.99999999999955
2015.05.11,-81.00000000001995,-341.99999999999784,9.999999999998899,,-413.0000000000189
2015.05.11,-49.00000000001015,-305.99999999999517,31.000000000003247,,-324.0000000000021
2015.05.11,-3.0000000000196536,-322.9999999999955,30.000000000007798,,-296.0000000000074
2015.05.11,-342.00000000002007,-451.9999999999969,-96.99999999999153,,-891.0000000000084
2015.05.11,-396.00000000001853,-512.9999999999968,-142.99999999999312,,-1052.0000000000084
2015.05.11,-415.0000000000098,-451.9999999999969,-157.99999999999147,,-1024.9999999999982
2015.05.11,-352.000000000019,-488.999999999995,-134.0000000000008,,-975.0000000000148
2015.05.11,-438.00000000000506,-658.9999999999985,-157.99999999999147,,-1254.999999999995
2015.05.11,-612.0000000000125,-709.9999999999995,-212.99999999999653,,-1535.0000000000086
2015.05.11,-571.0000000000103,-712.9999999999969,-210.99999999999451,,-1495.0000000000018
2015.05.11,-565.0000000000155,-683.0000000000002,-214.99999999999852,,-1463.000000000014
2015.05.11,-512.0000000000014,-681.9999999999937,-174.99999999999181,,-1368.9999999999868
2015.05.11,-594.0000000000057,-680.9999999999983,-232.99999999999432,,-1507.9999999999984
2015.05.11,-552.0000000000191,-719.9999999999984,-186.99999999999272,,-1459.0000000000102
2015.05.11,-392.00000000001455,-596.9999999999919,-120.99999999999334,,-1109.9999999999998
2015.05.11,-89.00000000000574,-499.9999999999893,21.00000000000435,,-567.9999999999907
2015.05.11,-336.00000000000296,-685.9999999999977,-37.99999999999359,,-1059.9999999999943
2015.05.11,-435.0000000000076,-705.9999999999956,-168.99999999999693,,-1310.0
2015.05.11,-384.00000000000654,-714.999999999999,-73.99999999999629,,-1173.0000000000018
2015.05.11,-306.00000000000625,-675.9999999999989,-3.999999999992898,,-985.9999999999981
2015.05.11,-433.0000000000167,-709.9999999999995,-126.99999999999933,,-1270.0000000000157
2015.05.11,-396.00000000001853,-709.9999999999995,-241.00000000000233,,-1347.0000000000205
2015.05.11,-473.0000000000123,-696.999999999992,-309.99999999999915,,-1480.0000000000034
2015.05.11,-460.000000000016,-697.9999999999986,-481.9999999999935,,-1640.0000000000082
2015.05.11,-565.0000000000155,-726.9999999999999,-461.99999999999574,,-1754.0000000000111
2015.05.11,-592.0000000000148,-685.9999999999977,-522.0000000000002,,-1800.0000000000127
2015.05.11,-514.0000000000144,-742.9999999999936,-548.9999999999995,,-1806.0000000000077
2015.05.11,-584.0000000000067,-778.9999999999964,-675.9999999999989,,-2039.000000000002
2015.05.11,-610.0000000000216,-833.9999999999903,-641.9999999999982,,-2086.00000000001
2015.05.11,-468.00000000000176,-890.9999999999974,-793.9999999999947,,-2152.9999999999936
2015.05.11,-396.00000000001853,-1009.9999999999998,-746.0000000000023,,-2152.0000000000205
2015.05.11,-527.0000000000108,-927.0,-854.9999999999947,,-2309.0000000000055
2015.05.11,-485.0000000000021,-968.9999999999976,-913.9999999999926,,-2367.9999999999923
2015.05.11,-588.0000000000107,-1038.99999999999,-1039.0000000000011,,-2666.000000000002
2015.05.11,-508.00000000001955,-1061.9999999999964,-991.9999999999928,,-2562.0000000000086
2015.05.11,-426.9999999999996,-1033.9999999999905,-886.9999999999934,,-2347.9999999999836
2015.05.11,-464.00000000001995,-970.9999999999997,-995.0000000000015,,-2430.000000000021
2015.05.11,-397.0000000000029,-993.9999999999949,-936.999999999999,,-2327.999999999997
2015.05.11,-448.000000000004,-1005.0000000000003,-925.9999999999935,,-2378.9999999999977
2015.05.11,-453.0000000000145,-1017.9999999999967,-939.0000000000009,,-2410.000000000012
2015.05.11,-424.00000000000216,-1075.999999999999,-941.9999999999984,,-2442.0
2015.05.11,-495.000000000001,-1131.9999999999998,-969.9999999999931,,-2596.999999999994
2015.05.11,-474.0000000000189,-1069.9999999999932,-931.9999999999995,,-2476.000000000012
2015.05.11,-458.00000000000284,-1202.9999999999984,-931.9999999999995,,-2593.000000000001
2015.05.12,-443.0000000000156,-1098.9999999999943,-932.999999999995,,-2475.000000000005
2015.05.12,-492.0000000000035,-1109.9999999999998,-944.9999999999958,,-2546.999999999999
2015.05.12,-463.0000000000134,-1109.9999999999998,-907.0000000000023,,-2480.0000000000155
2015.05.12,-519.0000000000028,-1185.9999999999982,-917.9999999999966,,-2622.9999999999973
2015.05.12,-548.0000000000151,-1177.9999999999902,-927.9999999999955,,-2654.000000000001
2015.05.12,-549.0000000000217,-1103.9999999999939,-946.9999999999978,,-2600.000000000013
2015.05.12,-529.0000000000017,-1177.9999999999902,-918.999999999992,,-2625.9999999999836
2015.05.12,-606.0000000000176,-1204.9999999999893,-935.9999999999924,,-2746.999999999999
2015.05.12,-610.0000000000216,-1141.9999999999986,-962.9999999999916,,-2715.000000000012
2015.05.12,-530.0000000000082,-1054.9999999999948,-913.9999999999926,,-2498.9999999999955
2015.05.12,-514.0000000000144,-944.9999999999958,-895.0000000000014,,-2354.000000000012
2015.05.12,-390.0000000000015,-923.9999999999915,-829.0000000000019,,-2142.999999999995
2015.05.12,-393.0000000000211,-1012.9999999999973,-823.9999999999914,,-2230.00000000001
2015.05.12,-453.0000000000145,-1035.9999999999925,-851.0000000000017,,-2340.0000000000086
2015.05.12,-394.00000000000546,-940.9999999999918,-813.9999999999925,,-2148.99999999999
2015.05.12,-294.0000000000165,-921.9999999999895,-778.0000000000009,,-1994.0000000000068
2015.05.12,-235.00000000000742,-927.0,-751.0000000000017,,-1913.000000000009
2015.05.12,-247.00000000001944,-912.9999999999972,-732.9999999999948,,-1893.0000000000114
2015.05.12,-121.99999999999989,-915.9999999999945,-669.9999999999928,,-1707.9999999999873
2015.05.12,-171.00000000001003,-906.9999999999911,-709.9999999999995,,-1788.0000000000007
2015.05.12,186.99999999998164,-821.9999999999894,-530.9999999999926,,-1166.0000000000005
2015.05.12,251.99999999998556,-914.9999999999991,-341.99999999999784,,-1005.0000000000114
2015.05.12,453.99999999999886,-958.9999999999987,-288.9999999999948,,-793.9999999999948
2015.05.12,576.9999999999831,-866.9999999999956,-485.99999999999756,,-776.00000000001
2015.05.12,645.999999999991,-789.9999999999907,-635.9999999999922,,-779.9999999999918
2015.05.12,656.9999999999965,-744.0000000000002,-664.9999999999934,,-751.9999999999972
2015.05.12,605.9999999999955,-570.9999999999993,-712.9999999999969,,-678.0000000000008
2015.05.12,524.9999999999977,-707.9999999999975,-690.9999999999972,,-873.9999999999969
2015.05.12,406.9999999999796,-718.9999999999918,-786.9999999999933,,-1099.0000000000055
