date,GBPUSD,USDCAD,AUDUSD,NZDUSD,NZDJPY,empty,sum
2019.01.21,-122.99999999998423,-73.00000000001194,-4.999999999999449,-84.0000000000063,-132.99999999999557,,-417.9999999999975
2019.01.21,-123.99999999999079,-124.99999999999733,-37.00000000000925,-129.00000000000134,-128.99999999999068,,-543.9999999999894
2019.01.21,-86.99999999999264,-146.00000000000168,-48.99999999999905,-129.00000000000134,-131.9999999999908,,-542.9999999999854
2019.01.21,-244.9999999999841,-175.99999999999838,-29.000000000001247,-108.00000000000809,-144.99999999999602,,-702.9999999999878
2019.01.21,-244.9999999999841,-182.99999999999983,-34.000000000000696,-171.00000000001003,-243.99999999999977,,-876.9999999999944
2019.01.21,-170.00000000000347,-104.99999999999955,-26.999999999999247,-182.99999999999983,-244.99999999999034,,-729.9999999999925
2019.01.21,-153.9999999999875,-158.99999999999804,-143.00000000000423,-295.0000000000008,-468.9999999999941,,-1219.9999999999845
2019.01.21,-160.00000000000458,-117.00000000001154,-124.00000000000189,-269.00000000000813,-424.99999999999716,,-1095.0000000000232
2019.01.21,-133.00000000000534,-70.0000000000145,-118.00000000000699,-268.0000000000016,-444.0000000000026,,-1033.000000000031
2019.01.21,-146.00000000000168,-62.000000000006494,4.999999999999449,-193.00000000000983,-266.9999999999959,,-663.0000000000144
2019.01.21,-133.00000000000534,-78.00000000000028,0.999999999995449,-225.00000000000853,-277.9999999999916,,-713.0000000000102
2019.01.21,-131.99999999999878,-102.00000000000209,-2.000000000002,-268.0000000000016,-340.0000000000034,,-844.0000000000078
2019.01.21,-139.9999999999846,-139.00000000000023,-26.000000000003798,-334.00000000000097,-441.0000000000025,,-1079.999999999992
2019.01.21,-92.99999999998754,-79.00000000000685,-11.00000000000545,-346.0000000000019,-456.00000000000307,,-985.0000000000048
2019.01.21,-89.99999999999008,-36.999999999998145,10.999999999994348,-312.00000000000114,-427.99999999999727,,-855.9999999999923
2019.01.21,-53.999999999998494,-63.000000000013046,32.999999999994145,-295.0000000000008,-423.9999999999924,,-803.0000000000106
2019.01.21,-43.999999999999595,-63.000000000013046,30.999999999992145,-273.000000000001,-402.9999999999916,,-752.0000000000132
2019.01.21,-51.99999999998539,-55.000000000005045,80.99999999999774,-203.00000000000873,-322.9999999999933,,-551.9999999999948
2019.01.21,-60.99999999999994,-131.99999999999878,44.99999999999504,-209.00000000000364,-347.999999999999,,-705.0000000000064
2019.01.21,-78.00000000000028,-126.0000000000039,26.999999999999247,-207.00000000000162,-337.0000000000033,,-721.0000000000099
2019.01.21,-165.9999999999995,-187.00000000000384,15.999999999993797,-178.00000000000037,-256.9999999999908,,-772.0000000000007
2019.01.21,-272.00000000000557,-263.00000000001324,-26.000000000003798,-224.000000000002,-301.00000000000193,,-1086.0000000000264
2019.01.21,-351.99999999999676,-341.00000000001353,-124.00000000000189,-296.0000000000074,-376.99999999999534,,-1490.000000000015
2019.01.21,-417.0000000000007,-329.00000000000153,-113.00000000000753,-272.00000000000557,-340.999999999994,,-1472.0000000000095
2019.01.21,-411.0000000000058,-302.0000000000023,-108.00000000000809,-274.00000000000756,-326.9999999999982,,-1422.0000000000218
2019.01.21,-239.99999999999577,-306.00000000000625,-73.00000000000084,-254.00000000000978,-329.9999999999983,,-1203.000000000011
2019.01.21,-229.99999999999687,-350.00000000000585,-89.00000000000574,-231.0000000000034,-325.00000000000284,,-1225.0000000000146
2019.01.21,-65.99999999998829,-367.0000000000062,-104.99999999999955,-268.0000000000016,-385.9999999999957,,-1191.9999999999914
2019.01.21,-62.99999999999084,-358.00000000001387,-109.99999999999899,-262.00000000000665,-352.99999999999443,,-1146.000000000005
2019.01.21,-89.99999999999008,-409.0000000000149,-182.00000000000438,-301.0000000000068,-369.99999999999034,,-1352.0000000000064
2019.01.21,-85.99999999998609,-506.0000000000064,-220.00000000000907,-321.0000000000046,-367.999999999995,,-1501.0000000000011
