date,ignore,open,high,low,close,volume
2021.07.12,00:00,152.824,153.059,152.824,152.898,126
2021.07.12,00:30,152.894,153.004,152.87,152.896,241
2021.07.12,01:00,152.896,153.154,152.88,153.147,903
2021.07.12,01:30,153.147,153.212,153.111,153.155,1080
2021.07.12,02:00,153.154,153.169,153.067,153.151,586
2021.07.12,02:30,153.156,153.233,153.136,153.183,642
2021.07.12,03:00,153.18,153.252,153.03,153.056,1797
2021.07.12,03:30,153.056,153.119,153.017,153.067,1462
2021.07.12,04:00,153.065,153.134,152.981,153.017,1912
2021.07.12,04:30,153.015,153.096,152.948,153.09,1989
2021.07.12,05:00,153.09,153.154,153.074,153.081,1191
2021.07.12,05:30,153.08,153.122,153.034,153.085,1039
2021.07.12,06:00,153.086,153.112,152.997,153.004,725
2021.07.12,06:30,153.004,153.015,152.928,152.966,652
2021.07.12,07:00,152.964,152.965,152.892,152.958,817
2021.07.12,07:30,152.957,153.061,152.95,153.053,920
2021.07.12,08:00,153.053,153.06,152.965,152.979,567
2021.07.12,08:30,152.98,153.02,152.953,152.999,931
2021.07.12,09:00,153.0,153.07,152.963,152.963,1310
2021.07.12,09:30,152.963,153.046,152.955,153.036,1416
2021.07.12,10:00,153.033,153.151,152.922,152.922,3096
2021.07.12,10:30,152.922,152.97,152.602,152.697,2838
2021.07.12,11:00,152.695,152.764,152.565,152.704,2517
2021.07.12,11:30,152.704,152.769,152.574,152.589,2526
2021.07.12,12:00,152.591,152.687,152.57,152.687,1996
2021.07.12,12:30,152.688,152.708,152.552,152.606,2183
2021.07.12,13:00,152.602,152.677,152.452,152.46,2268
2021.07.12,13:30,152.456,152.624,152.407,152.606,2271
2021.07.12,14:00,152.607,152.807,152.607,152.626,2111
2021.07.12,14:30,152.626,152.786,152.527,152.57,2168
2021.07.12,15:00,152.569,152.642,152.47,152.478,3304
2021.07.12,15:30,152.477,152.704,152.475,152.597,2395
2021.07.12,16:00,152.595,152.772,152.544,152.74,2243
2021.07.12,16:30,152.739,153.196,152.691,153.137,4611
2021.07.12,17:00,153.138,153.268,153.102,153.242,3178
2021.07.12,17:30,153.244,153.342,153.175,153.218,3331
2021.07.12,18:00,153.219,153.237,153.121,153.233,2151
2021.07.12,18:30,153.233,153.242,153.127,153.238,1618
2021.07.12,19:00,153.238,153.249,153.185,153.205,1244
2021.07.12,19:30,153.205,153.235,153.189,153.222,1130
2021.07.12,20:00,153.222,153.249,153.147,153.167,1372
2021.07.12,20:30,153.166,153.185,153.106,153.138,905
2021.07.12,21:00,153.138,153.155,153.09,153.145,812
2021.07.12,21:30,153.146,153.161,153.05,153.054,1071
2021.07.12,22:00,153.053,153.16,153.053,153.159,759
2021.07.12,22:30,153.157,153.193,153.135,153.19,1110
2021.07.12,23:00,153.19,153.218,153.169,153.205,832
2021.07.12,23:30,153.202,153.224,153.177,153.185,1366
2021.07.13,00:00,153.189,153.242,153.154,153.227,217
2021.07.13,00:30,153.223,153.236,153.097,153.167,321
2021.07.13,01:00,153.165,153.231,153.165,153.212,638
2021.07.13,01:30,153.213,153.224,153.166,153.173,391
2021.07.13,02:00,153.18,153.224,153.17,153.197,914
2021.07.13,02:30,153.213,153.244,153.197,153.201,467
2021.07.13,03:00,153.202,153.259,153.171,153.24,1654
2021.07.13,03:30,153.241,153.382,153.227,153.35,1343
2021.07.13,04:00,153.35,153.358,153.226,153.232,1101
2021.07.13,04:30,153.232,153.31,153.221,153.304,1308
2021.07.13,05:00,153.305,153.412,153.303,153.327,1303
2021.07.13,05:30,153.325,153.454,153.321,153.45,957
2021.07.13,06:00,153.45,153.482,153.418,153.474,724
2021.07.13,06:30,153.474,153.485,153.378,153.405,787
2021.07.13,07:00,153.405,153.415,153.355,153.377,530
2021.07.13,07:30,153.377,153.449,153.366,153.413,742
2021.07.13,08:00,153.413,153.413,153.333,153.347,875
2021.07.13,08:30,153.347,153.38,153.208,153.222,1318
2021.07.13,09:00,153.221,153.282,153.196,153.198,1778
2021.07.13,09:30,153.196,153.313,153.144,153.154,1670
2021.07.13,10:00,153.153,153.232,152.978,153.188,2811
2021.07.13,10:30,153.188,153.197,152.993,153.013,2485
2021.07.13,11:00,153.01,153.028,152.859,152.986,2237
2021.07.13,11:30,152.986,153.034,152.892,152.951,1924
2021.07.13,12:00,152.951,152.981,152.818,152.854,1766
2021.07.13,12:30,152.855,152.894,152.713,152.735,1375
2021.07.13,13:00,152.734,152.812,152.733,152.765,1493
2021.07.13,13:30,152.765,152.799,152.734,152.739,1469
2021.07.13,14:00,152.739,152.748,152.548,152.613,1636
2021.07.13,14:30,152.61,152.7,152.595,152.642,1669
2021.07.13,15:00,152.642,152.759,152.586,152.745,2457
