date,ignore,open,high,low,close,volume
2021.03.15,00:00,0.71743,0.71832,0.71732,0.71748,442
2021.03.15,00:30,0.71747,0.71811,0.71735,0.71766,434
2021.03.15,01:00,0.71766,0.71879,0.71758,0.71844,546
2021.03.15,01:30,0.71837,0.71867,0.71821,0.71863,338
2021.03.15,02:00,0.71868,0.71938,0.71866,0.71903,852
2021.03.15,02:30,0.71903,0.71974,0.71893,0.71958,1029
2021.03.15,03:00,0.71958,0.72156,0.71944,0.72149,1407
2021.03.15,03:30,0.72148,0.72162,0.72053,0.72066,2125
2021.03.15,04:00,0.72067,0.72119,0.71977,0.71993,1507
2021.03.15,04:30,0.71988,0.72034,0.71979,0.71988,1657
2021.03.15,05:00,0.71987,0.72004,0.71958,0.71959,1283
2021.03.15,05:30,0.7196,0.72002,0.7195,0.71992,745
2021.03.15,06:00,0.71992,0.72014,0.71972,0.7201,756
2021.03.15,06:30,0.7201,0.72014,0.71991,0.72006,645
2021.03.15,07:00,0.72002,0.72014,0.71898,0.71906,1216
2021.03.15,07:30,0.71905,0.71915,0.71861,0.71868,1416
2021.03.15,08:00,0.71867,0.71909,0.7181,0.71906,1352
2021.03.15,08:30,0.71906,0.71999,0.71902,0.71961,1332
2021.03.15,09:00,0.71964,0.71983,0.71869,0.71883,1886
2021.03.15,09:30,0.71883,0.71979,0.71847,0.71885,2002
2021.03.15,10:00,0.71885,0.72048,0.71873,0.71971,2419
2021.03.15,10:30,0.71971,0.72072,0.71943,0.7206,1784
2021.03.15,11:00,0.7206,0.72112,0.7204,0.72072,1741
2021.03.15,11:30,0.72072,0.72072,0.71982,0.71984,1118
2021.03.15,12:00,0.71986,0.71999,0.71922,0.71923,1026
2021.03.15,12:30,0.71923,0.71988,0.71917,0.71951,1080
2021.03.15,13:00,0.71951,0.71959,0.71899,0.7191,1348
2021.03.15,13:30,0.7191,0.71915,0.71818,0.71842,1441
2021.03.15,14:00,0.71842,0.7193,0.71823,0.71852,1885
2021.03.15,14:30,0.71851,0.71918,0.71833,0.71894,1990
2021.03.15,15:00,0.71895,0.71911,0.71828,0.71863,2164
2021.03.15,15:30,0.71864,0.71946,0.71847,0.7187,3179
2021.03.15,16:00,0.71872,0.71902,0.71788,0.71833,2547
2021.03.15,16:30,0.71834,0.71889,0.71783,0.71866,2823
2021.03.15,17:00,0.71866,0.71901,0.71818,0.71824,1834
2021.03.15,17:30,0.71827,0.71839,0.71673,0.71803,2855
2021.03.15,18:00,0.71803,0.71981,0.71792,0.71943,1811
2021.03.15,18:30,0.71943,0.71969,0.71848,0.7186,1192
2021.03.15,19:00,0.71859,0.71959,0.71853,0.71945,1165
2021.03.15,19:30,0.71945,0.71987,0.71924,0.71971,771
2021.03.15,20:00,0.71971,0.7202,0.71967,0.71983,559
