date,ignore,open,high,low,close,volume
2015.01.12,00:00,1.18481,1.18551,1.1845,1.18543,976
2015.01.12,00:30,1.18542,1.18688,1.18541,1.18661,853
2015.01.12,01:00,1.1866,1.1866,1.18563,1.18641,1362
2015.01.12,01:30,1.1864,1.18692,1.18612,1.1869,834
2015.01.12,02:00,1.1869,1.1869,1.18603,1.18674,1070
2015.01.12,02:30,1.18675,1.1868,1.18634,1.18662,834
2015.01.12,03:00,1.18662,1.18665,1.18614,1.18653,947
2015.01.12,03:30,1.18652,1.18652,1.18501,1.18564,1192
2015.01.12,04:00,1.18564,1.18568,1.18514,1.18554,1087
2015.01.12,04:30,1.18555,1.18576,1.18461,1.1847,1273
2015.01.12,05:00,1.18469,1.18606,1.18447,1.18605,1175
2015.01.12,05:30,1.18605,1.18622,1.18533,1.18544,961
2015.01.12,06:00,1.18544,1.18563,1.18494,1.18495,760
2015.01.12,06:30,1.18494,1.18538,1.18492,1.18523,697
2015.01.12,07:00,1.18523,1.18575,1.18509,1.18544,870
2015.01.12,07:30,1.18544,1.18621,1.18523,1.18608,1054
2015.01.12,08:00,1.18609,1.18702,1.18599,1.18657,1650
2015.01.12,08:30,1.18658,1.18659,1.18554,1.18558,1313
2015.01.12,09:00,1.18558,1.1858,1.18493,1.18556,1329
2015.01.12,09:30,1.18556,1.18577,1.18509,1.18536,2036
2015.01.12,10:00,1.18536,1.18537,1.18227,1.18254,3216
2015.01.12,10:30,1.18254,1.18256,1.18094,1.18146,2819
2015.01.12,11:00,1.18147,1.18208,1.18046,1.18208,2497
2015.01.12,11:30,1.18209,1.18239,1.18088,1.18125,2667
2015.01.12,12:00,1.18126,1.18146,1.17947,1.17955,2668
2015.01.12,12:30,1.17954,1.18005,1.17924,1.17945,2295
2015.01.12,13:00,1.17942,1.18078,1.17877,1.18069,2245
2015.01.12,13:30,1.18068,1.18072,1.17972,1.17985,1876
2015.01.12,14:00,1.17987,1.18036,1.17923,1.17968,1964
2015.01.12,14:30,1.17967,1.17979,1.17856,1.17898,2209
2015.01.12,15:00,1.17897,1.18174,1.17886,1.18155,2806
2015.01.12,15:30,1.18153,1.18254,1.18095,1.1823,2290
2015.01.12,16:00,1.18231,1.18245,1.18146,1.18162,2276
2015.01.12,16:30,1.18162,1.18442,1.18096,1.18393,3431
2015.01.12,17:00,1.18391,1.18425,1.18235,1.18314,3298
2015.01.12,17:30,1.18315,1.18326,1.18158,1.18162,3032
2015.01.12,18:00,1.18161,1.18205,1.18084,1.18174,2386
2015.01.12,18:30,1.18173,1.18316,1.18131,1.18306,2165
2015.01.12,19:00,1.18306,1.18306,1.18166,1.18246,1843
2015.01.12,19:30,1.18244,1.18275,1.18186,1.18253,1632
2015.01.12,20:00,1.18254,1.18404,1.18247,1.18372,1840
2015.01.12,20:30,1.18373,1.18442,1.18347,1.18411,1806
2015.01.12,21:00,1.1841,1.1844,1.18369,1.18419,1239
2015.01.12,21:30,1.1842,1.18452,1.18386,1.18388,979
2015.01.12,22:00,1.18389,1.18397,1.18352,1.18387,904
2015.01.12,22:30,1.18387,1.18396,1.18325,1.18366,1024
2015.01.12,23:00,1.18365,1.18367,1.18326,1.18332,682
2015.01.12,23:30,1.18331,1.18343,1.18319,1.18325,629
2015.01.13,00:00,1.18324,1.18337,1.18307,1.18312,474
2015.01.13,00:30,1.18313,1.1833,1.1828,1.18286,922
2015.01.13,01:00,1.18286,1.18299,1.18259,1.18286,674
2015.01.13,01:30,1.18289,1.18311,1.18267,1.18311,810
2015.01.13,02:00,1.18313,1.18327,1.18225,1.18263,1238
2015.01.13,02:30,1.18263,1.18425,1.18248,1.18412,1504
2015.01.13,03:00,1.18414,1.18475,1.18385,1.18433,1755
2015.01.13,03:30,1.18432,1.1846,1.18348,1.18443,1380
2015.01.13,04:00,1.1844,1.18451,1.18376,1.18423,1389
2015.01.13,04:30,1.18423,1.18455,1.18399,1.18447,851
2015.01.13,05:00,1.18447,1.18589,1.18443,1.18564,1080
2015.01.13,05:30,1.18564,1.18575,1.18452,1.18453,1156
2015.01.13,06:00,1.18453,1.18473,1.18385,1.18419,1396
2015.01.13,06:30,1.1842,1.18422,1.18319,1.1836,1411
2015.01.13,07:00,1.18357,1.18376,1.18252,1.18283,1425
2015.01.13,07:30,1.18284,1.18297,1.1823,1.18271,1703
2015.01.13,08:00,1.1827,1.18332,1.1819,1.18314,1908
2015.01.13,08:30,1.18315,1.18345,1.18243,1.18296,1364
2015.01.13,09:00,1.18296,1.18426,1.18284,1.18383,1919
2015.01.13,09:30,1.18384,1.18515,1.18379,1.18496,2447
2015.01.13,10:00,1.18495,1.18498,1.18313,1.18359,2788
2015.01.13,10:30,1.18357,1.18362,1.18167,1.18206,2640
2015.01.13,11:00,1.18206,1.18256,1.18049,1.18115,2562
2015.01.13,11:30,1.18116,1.18136,1.17936,1.18077,3148
2015.01.13,12:00,1.18076,1.18103,1.17892,1.17993,2554
2015.01.13,12:30,1.17992,1.18041,1.17939,1.18015,2085
2015.01.13,13:00,1.18015,1.18093,1.17959,1.17962,2231
2015.01.13,13:30,1.17961,1.17977,1.17859,1.17923,2289
2015.01.13,14:00,1.17924,1.17978,1.17879,1.17898,2367
2015.01.13,14:30,1.17897,1.17919,1.17752,1.178,2639
2015.01.13,15:00,1.17801,1.17933,1.17756,1.17825,2604
2015.01.13,15:30,1.17824,1.17836,1.17665,1.17692,2659
2015.01.13,16:00,1.17691,1.17791,1.17658,1.17661,2652
2015.01.13,16:30,1.17661,1.17684,1.17556,1.17611,3189
2015.01.13,17:00,1.1761,1.1782,1.17529,1.17796,3240
2015.01.13,17:30,1.17796,1.17942,1.17727,1.17806,2946
2015.01.13,18:00,1.17807,1.17992,1.17717,1.17892,3164
2015.01.13,18:30,1.1789,1.17926,1.17721,1.17778,2430
2015.01.13,19:00,1.17778,1.17881,1.17729,1.17866,2080
2015.01.13,19:30,1.17866,1.17955,1.17829,1.17838,2157
