date,ignore,open,high,low,close,volume
2015.06.22,00:00,122.927,122.968,122.868,122.957,287
2015.06.22,00:30,122.955,122.96,122.901,122.933,537
2015.06.22,01:00,122.926,122.927,122.781,122.801,1813
2015.06.22,01:30,122.802,122.823,122.747,122.788,1821
2015.06.22,02:00,122.789,122.794,122.68,122.747,1721
2015.06.22,02:30,122.745,122.772,122.683,122.769,1462
2015.06.22,03:00,122.774,122.812,122.739,122.792,2202
2015.06.22,03:30,122.793,122.798,122.649,122.684,1951
2015.06.22,04:00,122.685,122.69,122.556,122.633,2418
2015.06.22,04:30,122.632,122.726,122.614,122.726,1815
2015.06.22,05:00,122.732,122.755,122.683,122.707,1202
2015.06.22,05:30,122.708,122.785,122.702,122.783,1184
2015.06.22,06:00,122.786,122.807,122.739,122.776,1153
2015.06.22,06:30,122.777,122.779,122.696,122.702,906
2015.06.22,07:00,122.702,122.728,122.676,122.692,980
2015.06.22,07:30,122.692,122.771,122.678,122.732,1291
2015.06.22,08:00,122.732,122.744,122.707,122.718,1242
2015.06.22,08:30,122.717,122.723,122.652,122.672,1377
2015.06.22,09:00,122.671,122.781,122.669,122.754,1832
2015.06.22,09:30,122.753,122.89,122.751,122.812,2149
2015.06.22,10:00,122.811,123.022,122.811,122.996,3261
2015.06.22,10:30,122.995,123.13,122.995,123.118,3166
2015.06.22,11:00,123.118,123.141,123.045,123.098,2353
2015.06.22,11:30,123.101,123.131,123.013,123.018,2042
2015.06.22,12:00,123.019,123.071,122.985,123.032,2130
2015.06.22,12:30,123.033,123.145,123.021,123.127,2245
2015.06.22,13:00,123.128,123.337,123.096,123.315,2755
2015.06.22,13:30,123.315,123.341,123.214,123.22,2412
2015.06.22,14:00,123.221,123.298,123.178,123.272,1998
2015.06.22,14:30,123.273,123.354,123.271,123.3,1801
2015.06.22,15:00,123.301,123.304,123.098,123.12,3174
2015.06.22,15:30,123.118,123.139,123.011,123.059,3373
2015.06.22,16:00,123.059,123.202,123.02,123.145,3815
2015.06.22,16:30,123.146,123.148,123.02,123.104,3563
2015.06.22,17:00,123.103,123.29,123.1,123.2,4282
2015.06.22,17:30,123.2,123.235,123.163,123.201,3437
2015.06.22,18:00,123.201,123.325,123.199,123.301,3553
2015.06.22,18:30,123.302,123.309,123.248,123.272,2464
2015.06.22,19:00,123.272,123.386,123.271,123.354,2862
2015.06.22,19:30,123.353,123.391,123.3,123.301,1900
2015.06.22,20:00,123.3,123.363,123.289,123.348,1373
2015.06.22,20:30,123.347,123.383,123.334,123.382,1438
2015.06.22,21:00,123.384,123.415,123.362,123.38,1354
2015.06.22,21:30,123.381,123.41,123.367,123.381,1127
2015.06.22,22:00,123.38,123.408,123.368,123.396,1266
2015.06.22,22:30,123.398,123.402,123.339,123.361,1709
2015.06.22,23:00,123.36,123.384,123.332,123.38,927
2015.06.22,23:30,123.379,123.382,123.322,123.349,1090
2015.06.23,00:00,123.346,123.386,123.341,123.359,458
2015.06.23,00:30,123.36,123.376,123.339,123.348,1829
2015.06.23,01:00,123.347,123.37,123.337,123.356,1235
2015.06.23,01:30,123.356,123.379,123.354,123.371,744
2015.06.23,02:00,123.37,123.397,123.353,123.379,650
2015.06.23,02:30,123.378,123.413,123.374,123.413,1042
2015.06.23,03:00,123.413,123.419,123.368,123.41,1374
2015.06.23,03:30,123.41,123.447,123.38,123.447,1669
2015.06.23,04:00,123.446,123.549,123.441,123.528,1720
2015.06.23,04:30,123.528,123.625,123.499,123.62,2043
2015.06.23,05:00,123.619,123.635,123.566,123.606,2224
2015.06.23,05:30,123.607,123.737,123.576,123.72,2284
2015.06.23,06:00,123.72,123.722,123.607,123.649,1512
2015.06.23,06:30,123.648,123.728,123.631,123.697,1483
2015.06.23,07:00,123.698,123.729,123.672,123.721,1200
2015.06.23,07:30,123.721,123.782,123.715,123.747,1418
2015.06.23,08:00,123.746,123.749,123.666,123.726,1415
2015.06.23,08:30,123.725,123.765,123.602,123.604,1780
2015.06.23,09:00,123.605,123.75,123.605,123.731,3116
2015.06.23,09:30,123.732,123.742,123.598,123.628,2135
2015.06.23,10:00,123.628,123.667,123.563,123.563,2813
2015.06.23,10:30,123.565,123.698,123.549,123.685,2677
2015.06.23,11:00,123.685,123.752,123.662,123.688,3077
2015.06.23,11:30,123.688,123.689,123.597,123.65,2356
2015.06.23,12:00,123.649,123.655,123.55,123.626,1824
2015.06.23,12:30,123.625,123.659,123.595,123.603,1682
2015.06.23,13:00,123.603,123.692,123.6,123.669,2058
2015.06.23,13:30,123.669,123.697,123.646,123.684,1676
2015.06.23,14:00,123.685,123.723,123.655,123.709,1812
2015.06.23,14:30,123.708,123.84,123.694,123.816,2414
2015.06.23,15:00,123.814,123.898,123.771,123.88,3117
2015.06.23,15:30,123.879,124.131,123.712,124.082,6268
2015.06.23,16:00,124.081,124.18,123.999,124.123,4219
2015.06.23,16:30,124.122,124.132,123.989,124.054,3440
2015.06.23,17:00,124.052,124.152,123.825,123.849,3974
2015.06.23,17:30,123.85,123.882,123.792,123.878,2834
2015.06.23,18:00,123.879,123.923,123.724,123.728,2928
2015.06.23,18:30,123.729,123.739,123.636,123.704,2449
2015.06.23,19:00,123.705,123.802,123.689,123.797,1695
2015.06.23,19:30,123.797,123.886,123.78,123.855,1533
2015.06.23,20:00,123.852,123.872,123.778,123.8,1461
2015.06.23,20:30,123.799,123.88,123.761,123.862,1486
2015.06.23,21:00,123.862,123.921,123.851,123.918,1228
2015.06.23,21:30,123.919,123.982,123.899,123.939,1449
2015.06.23,22:00,123.939,124.0,123.898,123.996,1717
2015.06.23,22:30,123.997,124.0,123.898,123.907,1387
2015.06.23,23:00,123.905,123.922,123.883,123.904,889
2015.06.23,23:30,123.904,123.938,123.867,123.934,1058
2015.06.24,00:00,123.929,123.941,123.912,123.925,616
2015.06.24,00:30,123.924,123.938,123.907,123.907,766
2015.06.24,01:00,123.909,123.923,123.901,123.913,2505
2015.06.24,01:30,123.912,123.929,123.907,123.909,955
2015.06.24,02:00,123.909,123.919,123.872,123.877,681
2015.06.24,02:30,123.876,123.888,123.835,123.87,925
2015.06.24,03:00,123.873,123.877,123.753,123.804,1672
2015.06.24,03:30,123.804,123.907,123.789,123.889,2891
2015.06.24,04:00,123.889,123.94,123.836,123.837,1604
2015.06.24,04:30,123.838,123.886,123.838,123.876,1468
2015.06.24,05:00,123.876,123.891,123.829,123.831,1110
2015.06.24,05:30,123.831,123.903,123.829,123.881,1396
2015.06.24,06:00,123.881,123.882,123.847,123.876,867
2015.06.24,06:30,123.875,123.932,123.867,123.911,1276
2015.06.24,07:00,123.912,123.928,123.89,123.901,949
2015.06.24,07:30,123.901,124.084,123.9,124.046,2376
2015.06.24,08:00,124.047,124.099,123.989,123.998,1869
2015.06.24,08:30,124.002,124.056,123.942,123.997,2069
2015.06.24,09:00,123.998,124.003,123.868,123.893,2467
2015.06.24,09:30,123.893,123.966,123.834,123.909,2767
2015.06.24,10:00,123.909,124.059,123.904,124.037,2879
2015.06.24,10:30,124.037,124.054,123.887,123.933,2664
2015.06.24,11:00,123.934,123.964,123.858,123.888,2401
2015.06.24,11:30,123.888,123.904,123.771,123.867,2572
2015.06.24,12:00,123.867,123.951,123.86,123.949,2000
2015.06.24,12:30,123.948,123.95,123.712,123.727,4643
2015.06.24,13:00,123.727,123.886,123.727,123.869,3450
2015.06.24,13:30,123.868,123.98,123.854,123.913,2866
2015.06.24,14:00,123.913,123.966,123.888,123.921,2222
2015.06.24,14:30,123.921,123.926,123.83,123.894,2196
2015.06.24,15:00,123.893,123.956,123.844,123.918,3049
2015.06.24,15:30,123.92,124.004,123.814,124.001,3856
2015.06.24,16:00,124.0,124.164,123.997,124.115,3184
2015.06.24,16:30,124.114,124.143,124.061,124.101,3415
2015.06.24,17:00,124.103,124.279,124.065,124.278,3615
2015.06.24,17:30,124.278,124.372,124.252,124.344,4050
2015.06.24,18:00,124.345,124.347,124.228,124.274,3247
2015.06.24,18:30,124.274,124.349,124.231,124.238,2934
2015.06.24,19:00,124.238,124.241,124.105,124.111,2236
2015.06.24,19:30,124.111,124.139,123.996,124.028,2357
2015.06.24,20:00,124.03,124.03,123.892,123.916,2409
2015.06.24,20:30,123.915,123.971,123.756,123.809,2634
2015.06.24,21:00,123.809,123.859,123.795,123.829,1860
2015.06.24,21:30,123.828,123.838,123.794,123.817,1512
2015.06.24,22:00,123.815,123.87,123.814,123.862,1398
2015.06.24,22:30,123.861,123.872,123.839,123.859,1153
2015.06.24,23:00,123.858,123.886,123.843,123.848,1199
2015.06.24,23:30,123.849,123.891,123.831,123.831,1962
2015.06.25,00:00,123.835,123.884,123.829,123.874,447
2015.06.25,00:30,123.874,123.901,123.868,123.894,1055
2015.06.25,01:00,123.895,123.93,123.878,123.889,1962
2015.06.25,01:30,123.889,123.893,123.849,123.857,558
2015.06.25,02:00,123.857,123.885,123.843,123.846,686
2015.06.25,02:30,123.846,123.883,123.826,123.858,1015
2015.06.25,03:00,123.857,123.906,123.828,123.866,1481
2015.06.25,03:30,123.866,123.899,123.839,123.861,1629
2015.06.25,04:00,123.859,123.908,123.84,123.891,1541
