date,ignore,open,high,low,close,volume
2015.11.23,00:00,120.449,120.546,120.443,120.524,700
2015.11.23,00:30,120.524,120.582,120.475,120.553,1836
2015.11.23,01:00,120.55,120.558,120.481,120.506,2886
2015.11.23,01:30,120.507,120.561,120.503,120.536,969
2015.11.23,02:00,120.535,120.61,120.53,120.545,1162
2015.11.23,02:30,120.548,120.635,120.547,120.623,1665
2015.11.23,03:00,120.624,120.628,120.576,120.603,1264
2015.11.23,03:30,120.606,120.656,120.566,120.595,2732
2015.11.23,04:00,120.589,120.674,120.57,120.672,3560
2015.11.23,04:30,120.673,120.679,120.597,120.645,2339
2015.11.23,05:00,120.644,120.689,120.634,120.678,1335
2015.11.23,05:30,120.678,120.695,120.647,120.681,1097
2015.11.23,06:00,120.681,120.694,120.656,120.681,576
2015.11.23,06:30,120.681,120.706,120.671,120.69,811
2015.11.23,07:00,120.69,120.744,120.686,120.716,684
2015.11.23,07:30,120.717,120.748,120.686,120.721,1185
2015.11.23,08:00,120.719,120.722,120.634,120.664,1144
2015.11.23,08:30,120.658,120.723,120.644,120.692,1270
2015.11.23,09:00,120.693,120.819,120.634,120.785,2766
2015.11.23,09:30,120.785,120.889,120.743,120.856,2364
2015.11.23,10:00,120.853,120.911,120.771,120.874,3914
2015.11.23,10:30,120.886,120.936,120.85,120.899,3387
2015.11.23,11:00,120.901,120.961,120.812,120.844,3268
2015.11.23,11:30,120.844,120.975,120.841,120.893,2812
2015.11.23,12:00,120.892,120.905,120.649,120.693,3165
2015.11.23,12:30,120.692,120.799,120.643,120.652,2475
2015.11.23,13:00,120.652,120.72,120.63,120.67,2440
2015.11.23,13:30,120.672,120.686,120.46,120.577,3351
2015.11.23,14:00,120.585,120.713,120.54,120.66,3373
2015.11.23,14:30,120.66,120.766,120.637,120.667,3584
2015.11.23,15:00,120.667,120.761,120.641,120.657,3411
2015.11.23,15:30,120.656,120.695,120.58,120.654,3644
2015.11.23,16:00,120.65,120.711,120.543,120.557,4004
2015.11.23,16:30,120.559,120.677,120.525,120.601,5528
2015.11.23,17:00,120.599,120.633,120.513,120.564,5053
2015.11.23,17:30,120.564,120.656,120.487,120.508,4712
2015.11.23,18:00,120.51,120.591,120.486,120.537,4563
2015.11.23,18:30,120.538,120.584,120.472,120.526,4267
2015.11.23,19:00,120.529,120.645,120.514,120.562,2445
2015.11.23,19:30,120.562,120.624,120.526,120.538,2112
2015.11.23,20:00,120.538,120.565,120.455,120.504,1967
2015.11.23,20:30,120.5,120.57,120.459,120.533,1893
2015.11.23,21:00,120.533,120.567,120.479,120.481,2341
2015.11.23,21:30,120.481,120.511,120.441,120.496,2393
2015.11.23,22:00,120.496,120.592,120.495,120.592,1639
2015.11.23,22:30,120.592,120.61,120.554,120.604,1353
2015.11.23,23:00,120.604,120.631,120.559,120.569,1051
2015.11.23,23:30,120.567,120.65,120.567,120.626,1155
2015.11.24,00:00,120.627,120.647,120.578,120.618,523
2015.11.24,00:30,120.619,120.663,120.599,120.656,2676
2015.11.24,01:00,120.634,120.676,120.59,120.672,1925
2015.11.24,01:30,120.672,120.722,120.639,120.696,1075
2015.11.24,02:00,120.694,120.713,120.614,120.681,2434
2015.11.24,02:30,120.681,120.741,120.668,120.676,1397
2015.11.24,03:00,120.673,120.678,120.614,120.675,1540
2015.11.24,03:30,120.675,120.675,120.547,120.594,2022
2015.11.24,04:00,120.594,120.629,120.551,120.562,1191
2015.11.24,04:30,120.562,120.591,120.533,120.588,1037
2015.11.24,05:00,120.587,120.605,120.566,120.583,1207
2015.11.24,05:30,120.582,120.582,120.511,120.581,975
2015.11.24,06:00,120.578,120.589,120.554,120.571,1001
2015.11.24,06:30,120.571,120.608,120.529,120.599,1301
2015.11.24,07:00,120.596,120.598,120.456,120.482,1309
2015.11.24,07:30,120.482,120.53,120.457,120.462,1514
2015.11.24,08:00,120.463,120.498,120.411,120.424,1655
2015.11.24,08:30,120.423,120.45,120.38,120.419,1406
2015.11.24,09:00,120.421,120.527,120.415,120.445,2735
2015.11.24,09:30,120.445,120.458,120.332,120.368,2724
2015.11.24,10:00,120.368,120.419,120.305,120.369,4467
2015.11.24,10:30,120.369,120.41,120.267,120.304,5095
2015.11.24,11:00,120.308,120.452,120.291,120.405,5218
2015.11.24,11:30,120.404,120.43,120.302,120.339,3387
2015.11.24,12:00,120.34,120.445,120.324,120.392,3891
2015.11.24,12:30,120.391,120.535,120.341,120.508,3309
2015.11.24,13:00,120.508,120.554,120.417,120.541,2789
2015.11.24,13:30,120.542,120.544,120.37,120.407,2712
2015.11.24,14:00,120.406,120.507,120.399,120.503,2792
2015.11.24,14:30,120.505,120.517,120.43,120.463,3676
2015.11.24,15:00,120.463,120.536,120.397,120.417,4888
2015.11.24,15:30,120.416,120.501,120.399,120.425,4459
2015.11.24,16:00,120.425,120.538,120.407,120.458,4799
2015.11.24,16:30,120.458,120.526,120.417,120.423,5328
2015.11.24,17:00,120.427,120.513,120.344,120.363,5625
2015.11.24,17:30,120.363,120.44,120.297,120.404,4947
2015.11.24,18:00,120.41,120.453,120.352,120.412,4678
2015.11.24,18:30,120.413,120.602,120.403,120.51,3795
2015.11.24,19:00,120.51,120.639,120.49,120.544,2795
2015.11.24,19:30,120.544,120.557,120.502,120.504,1937
2015.11.24,20:00,120.504,120.606,120.478,120.585,2474
2015.11.24,20:30,120.585,120.624,120.419,120.446,2723
2015.11.24,21:00,120.446,120.574,120.416,120.528,2653
2015.11.24,21:30,120.528,120.643,120.527,120.625,2222
2015.11.24,22:00,120.626,120.627,120.567,120.586,1856
2015.11.24,22:30,120.584,120.622,120.54,120.548,1942
2015.11.24,23:00,120.546,120.583,120.469,120.483,1454
2015.11.24,23:30,120.48,120.538,120.464,120.506,1380
2015.11.25,00:00,120.543,120.561,120.506,120.527,529
2015.11.25,00:30,120.527,120.532,120.439,120.48,2138
2015.11.25,01:00,120.491,120.507,120.445,120.475,1496
2015.11.25,01:30,120.475,120.489,120.425,120.443,769
2015.11.25,02:00,120.44,120.458,120.409,120.458,1945
2015.11.25,02:30,120.457,120.534,120.452,120.464,2223
2015.11.25,03:00,120.464,120.464,120.342,120.366,2371
2015.11.25,03:30,120.366,120.428,120.33,120.428,1971
2015.11.25,04:00,120.431,120.476,120.35,120.384,2725
2015.11.25,04:30,120.383,120.414,120.364,120.4,1562
2015.11.25,05:00,120.4,120.428,120.363,120.389,1612
2015.11.25,05:30,120.39,120.453,120.384,120.449,1373
2015.11.25,06:00,120.449,120.454,120.388,120.426,1421
2015.11.25,06:30,120.427,120.437,120.358,120.371,1780
2015.11.25,07:00,120.372,120.405,120.361,120.382,1409
2015.11.25,07:30,120.381,120.413,120.356,120.357,1898
2015.11.25,08:00,120.358,120.448,120.32,120.423,1942
2015.11.25,08:30,120.42,120.444,120.378,120.402,1474
2015.11.25,09:00,120.401,120.512,120.39,120.479,3066
2015.11.25,09:30,120.479,120.584,120.455,120.522,3450
2015.11.25,10:00,120.521,120.529,120.429,120.465,4115
2015.11.25,10:30,120.465,120.502,120.413,120.414,4185
2015.11.25,11:00,120.414,120.5,120.192,120.263,6110
2015.11.25,11:30,120.262,120.305,120.08,120.148,6400
2015.11.25,12:00,120.148,120.148,120.001,120.1,5170
2015.11.25,12:30,120.098,120.141,120.017,120.018,4882
2015.11.25,13:00,120.018,120.117,119.874,120.106,4947
2015.11.25,13:30,120.106,120.163,120.051,120.069,3971
2015.11.25,14:00,120.064,120.17,120.042,120.11,3616
2015.11.25,14:30,120.111,120.174,120.065,120.171,3205
2015.11.25,15:00,120.17,120.213,120.017,120.042,4798
2015.11.25,15:30,120.042,120.205,120.003,120.19,5679
2015.11.25,16:00,120.194,120.23,120.109,120.125,4131
2015.11.25,16:30,120.129,120.137,119.925,119.957,5838
2015.11.25,17:00,119.948,120.062,119.753,119.938,6556
2015.11.25,17:30,119.939,120.042,119.922,119.974,4300
2015.11.25,18:00,119.978,120.141,119.953,120.071,4877
2015.11.25,18:30,120.071,120.107,119.942,120.018,3560
2015.11.25,19:00,120.018,120.216,120.018,120.155,3696
2015.11.25,19:30,120.154,120.18,120.106,120.119,2347
2015.11.25,20:00,120.121,120.217,120.106,120.2,1685
2015.11.25,20:30,120.202,120.208,120.101,120.143,1628
2015.11.25,21:00,120.145,120.168,120.123,120.144,1692
2015.11.25,21:30,120.143,120.178,120.102,120.12,1704
2015.11.25,22:00,120.117,120.15,120.065,120.084,1504
2015.11.25,22:30,120.084,120.091,120.046,120.062,1102
2015.11.25,23:00,120.062,120.121,120.021,120.034,1179
2015.11.25,23:30,120.034,120.079,120.018,120.069,2055
2015.11.26,00:00,119.994,120.109,119.937,120.046,697
2015.11.26,00:30,120.052,120.108,120.03,120.088,2062
2015.11.26,01:00,120.088,120.1,120.055,120.079,1038
2015.11.26,01:30,120.079,120.094,120.039,120.04,303
2015.11.26,02:00,120.044,120.072,120.015,120.045,1090
2015.11.26,02:30,120.046,120.091,119.96,119.968,2729
2015.11.26,03:00,119.968,119.986,119.899,119.949,1763
2015.11.26,03:30,119.949,119.989,119.931,119.988,1143
2015.11.26,04:00,119.986,119.988,119.922,119.959,757
2015.11.26,04:30,119.959,119.981,119.892,119.898,754
2015.11.26,05:00,119.898,119.914,119.866,119.888,1118
2015.11.26,05:30,119.889,119.928,119.888,119.914,1254
2015.11.26,06:00,119.917,119.929,119.883,119.896,818
2015.11.26,06:30,119.896,119.924,119.836,119.866,804
2015.11.26,07:00,119.866,119.877,119.836,119.843,966
2015.11.26,07:30,119.839,119.912,119.835,119.891,1169
2015.11.26,08:00,119.895,119.925,119.886,119.92,979
2015.11.26,08:30,119.92,119.921,119.857,119.875,1457
2015.11.26,09:00,119.878,119.94,119.86,119.878,1896
2015.11.26,09:30,119.878,119.893,119.781,119.817,2767
2015.11.26,10:00,119.815,119.87,119.784,119.811,3082
2015.11.26,10:30,119.811,119.834,119.698,119.75,3950
2015.11.26,11:00,119.75,119.831,119.73,119.769,3289
2015.11.26,11:30,119.771,119.891,119.76,119.875,3320
2015.11.26,12:00,119.875,119.972,119.727,119.753,3187
2015.11.26,12:30,119.752,119.771,119.624,119.667,2600
2015.11.26,13:00,119.668,119.706,119.637,119.683,2167
2015.11.26,13:30,119.682,119.756,119.66,119.728,2281
2015.11.26,14:00,119.733,119.773,119.716,119.762,1637
2015.11.26,14:30,119.762,119.773,119.605,119.606,1973
2015.11.26,15:00,119.606,119.696,119.6,119.642,2209
2015.11.26,15:30,119.645,119.681,119.614,119.664,2034
2015.11.26,16:00,119.664,119.724,119.639,119.653,1957
2015.11.26,16:30,119.653,119.749,119.618,119.743,2258
2015.11.26,17:00,119.745,119.745,119.623,119.679,2470
2015.11.26,17:30,119.678,119.695,119.646,119.656,1958
2015.11.26,18:00,119.657,119.672,119.574,119.594,2386
2015.11.26,18:30,119.593,119.662,119.542,119.659,2016
2015.11.26,19:00,119.66,119.75,119.642,119.73,1089
2015.11.26,19:30,119.73,119.794,119.655,119.778,787
2015.11.26,20:00,119.78,119.811,119.671,119.723,2126
2015.11.26,20:30,119.719,119.765,119.645,119.73,3226
2015.11.26,21:00,119.732,119.745,119.682,119.697,1703
2015.11.26,21:30,119.698,119.717,119.669,119.708,1587
2015.11.26,22:00,119.707,119.749,119.699,119.729,1637
2015.11.26,22:30,119.729,119.734,119.701,119.709,2387
2015.11.26,23:00,119.709,119.764,119.707,119.752,2526
2015.11.26,23:30,119.752,119.794,119.731,119.734,6654
2015.11.27,00:00,119.733,119.786,119.676,119.763,370
2015.11.27,00:30,119.763,119.802,119.744,119.781,1776
2015.11.27,01:00,119.776,119.791,119.72,119.773,2635
2015.11.27,01:30,119.773,119.823,119.771,119.8,1287
2015.11.27,02:00,119.801,119.808,119.766,119.795,1860
2015.11.27,02:30,119.794,119.85,119.726,119.833,1384
2015.11.27,03:00,119.833,119.833,119.747,119.76,1056
2015.11.27,03:30,119.759,119.773,119.72,119.772,1213
2015.11.27,04:00,119.77,119.789,119.738,119.782,1053
2015.11.27,04:30,119.782,119.809,119.757,119.77,1352
2015.11.27,05:00,119.771,119.791,119.755,119.758,599
2015.11.27,05:30,119.758,119.787,119.735,119.736,1016
2015.11.27,06:00,119.738,119.783,119.727,119.747,1115
2015.11.27,06:30,119.746,119.748,119.698,119.718,739
2015.11.27,07:00,119.718,119.721,119.68,119.687,1151
2015.11.27,07:30,119.686,119.686,119.639,119.659,1493
2015.11.27,08:00,119.659,119.688,119.574,119.593,1761
2015.11.27,08:30,119.593,119.649,119.556,119.622,2092
2015.11.27,09:00,119.624,119.638,119.536,119.6,2700
2015.11.27,09:30,119.6,119.653,119.567,119.606,2942
2015.11.27,10:00,119.61,119.614,119.495,119.544,4211
2015.11.27,10:30,119.544,119.658,119.515,119.652,4060
2015.11.27,11:00,119.652,119.66,119.417,119.491,3974
2015.11.27,11:30,119.49,119.56,119.019,119.045,5692
2015.11.27,12:00,119.044,119.046,118.718,118.84,5703
2015.11.27,12:30,118.841,118.981,118.797,118.946,3575
2015.11.27,13:00,118.944,119.19,118.904,119.07,3218
2015.11.27,13:30,119.07,119.178,118.996,119.048,3112
2015.11.27,14:00,119.048,119.097,118.968,119.03,3202
2015.11.27,14:30,119.031,119.101,118.978,119.061,3388
2015.11.27,15:00,119.058,119.071,118.989,119.021,3924
2015.11.27,15:30,119.019,119.1,118.999,119.035,2985
2015.11.27,16:00,119.035,119.138,118.965,119.119,3644
2015.11.27,16:30,119.119,119.189,119.06,119.061,4941
2015.11.27,17:00,119.06,119.133,119.046,119.062,3824
2015.11.27,17:30,119.061,119.207,118.997,119.204,3835
2015.11.27,18:00,119.204,119.215,119.119,119.186,3710
2015.11.27,18:30,119.186,119.202,119.134,119.182,2682
2015.11.27,19:00,119.181,119.212,119.133,119.197,1996
2015.11.27,19:30,119.198,119.334,119.18,119.296,1834
2015.11.27,20:00,119.295,119.327,119.268,119.311,1905
2015.11.27,20:30,119.311,119.371,119.268,119.331,1191
2015.11.27,21:00,119.33,119.331,119.269,119.283,1199
2015.11.27,21:30,119.285,119.313,119.26,119.271,892
2015.11.27,22:00,119.272,119.31,119.27,119.299,924
2015.11.27,22:30,119.3,119.34,119.297,119.332,956
2015.11.27,23:00,119.331,119.339,119.283,119.327,1374
2015.11.27,23:30,119.328,119.346,119.08,119.161,1853
