date,ignore,open,high,low,close,volume
2015.11.30,0:00,130.042,130.099,130.024,130.031,872
2015.11.30,0:30,130.027,130.037,129.978,130.026,1367
2015.11.30,1:00,130.022,130.077,130.001,130.011,4170
2015.11.30,1:30,130.011,130.074,129.952,129.99,3022
2015.11.30,2:00,129.99,130.039,129.904,129.912,3426
2015.11.30,2:30,129.912,129.938,129.847,129.859,2698
2015.11.30,3:00,129.858,129.955,129.817,129.821,2860
2015.11.30,3:30,129.821,129.895,129.81,129.871,2618
2015.11.30,4:00,129.872,129.932,129.831,129.852,2191
2015.11.30,4:30,129.852,129.898,129.841,129.898,1825
2015.11.30,5:00,129.898,129.898,129.845,129.867,1891
2015.11.30,5:30,129.87,129.917,129.864,129.901,1704
2015.11.30,6:00,129.901,129.919,129.883,129.914,1665
2015.11.30,6:30,129.913,129.969,129.885,129.905,1820
2015.11.30,7:00,129.904,129.976,129.894,129.961,2152
2015.11.30,7:30,129.96,129.961,129.92,129.93,1799
2015.11.30,8:00,129.932,129.938,129.873,129.905,2277
2015.11.30,8:30,129.904,129.946,129.868,129.945,1993
2015.11.30,9:00,129.945,130.058,129.923,129.996,2858
2015.11.30,9:30,129.996,130.089,129.976,129.989,3661
2015.11.30,10:00,129.988,130.079,129.96,130.067,4123
2015.11.30,10:30,130.067,130.141,130.012,130.027,4808
2015.11.30,11:00,130.026,130.157,130.006,130.155,5396
2015.11.30,11:30,130.156,130.271,130.13,130.221,5302
2015.11.30,12:00,130.221,130.24,130.074,130.087,3946
2015.11.30,12:30,130.088,130.16,130.072,130.1,3828
2015.11.30,13:00,130.103,130.148,130.045,130.101,4334
2015.11.30,13:30,130.099,130.161,130.045,130.131,3749
2015.11.30,14:00,130.133,130.185,130.106,130.18,3444
2015.11.30,14:30,130.178,130.238,130.123,130.201,4799
2015.11.30,15:00,130.201,130.273,130.195,130.237,4764
2015.11.30,15:30,130.237,130.292,130.112,130.131,3859
2015.11.30,16:00,130.133,130.283,130.117,130.24,4278
2015.11.30,16:30,130.24,130.269,130.14,130.2,5725
2015.11.30,17:00,130.201,130.255,130.138,130.16,5733
2015.11.30,17:30,130.161,130.25,130.142,130.205,6193
2015.11.30,18:00,130.204,130.293,130.15,130.175,6405
2015.11.30,18:30,130.176,130.242,130.132,130.134,4025
