date,ignore,open,high,low,close,volume
2017.07.17,00:00,0.70686,0.70784,0.70634,0.70757,147
2017.07.17,00:30,0.70754,0.70796,0.70678,0.70736,201
2017.07.17,01:00,0.70762,0.70802,0.70739,0.70774,910
2017.07.17,01:30,0.70776,0.70837,0.70763,0.70831,984
2017.07.17,02:00,0.70829,0.70891,0.70814,0.70869,692
2017.07.17,02:30,0.70869,0.70882,0.70833,0.70848,530
2017.07.17,03:00,0.70849,0.70863,0.70809,0.70862,672
2017.07.17,03:30,0.70862,0.70864,0.70759,0.70766,759
2017.07.17,04:00,0.70765,0.70769,0.70705,0.70745,834
2017.07.17,04:30,0.70746,0.70793,0.7055,0.70645,1121
2017.07.17,05:00,0.70654,0.70723,0.70605,0.70628,1097
2017.07.17,05:30,0.70626,0.7064,0.7056,0.70569,865
2017.07.17,06:00,0.70571,0.70656,0.70571,0.70629,730
2017.07.17,06:30,0.70631,0.70689,0.70606,0.70675,697
2017.07.17,07:00,0.70677,0.70689,0.70645,0.70685,588
2017.07.17,07:30,0.70685,0.7069,0.70639,0.70657,416
2017.07.17,08:00,0.70657,0.7068,0.70638,0.70672,506
2017.07.17,08:30,0.70671,0.70704,0.70644,0.70657,536
2017.07.17,09:00,0.70654,0.70735,0.70645,0.70715,1351
2017.07.17,09:30,0.70715,0.70742,0.70673,0.70682,1236
2017.07.17,10:00,0.70682,0.70739,0.70669,0.7071,1707
2017.07.17,10:30,0.70709,0.70737,0.7057,0.7057,1511
2017.07.17,11:00,0.70571,0.7058,0.70505,0.70532,1199
2017.07.17,11:30,0.70532,0.70575,0.705,0.7054,1074
2017.07.17,12:00,0.70537,0.70579,0.70503,0.70545,1121
2017.07.17,12:30,0.70541,0.70585,0.70464,0.70533,1122
2017.07.17,13:00,0.70535,0.70587,0.70533,0.70545,1060
2017.07.17,13:30,0.70543,0.70639,0.70527,0.7053,1110
2017.07.17,14:00,0.70533,0.70567,0.70481,0.70493,791
2017.07.17,14:30,0.70501,0.70506,0.7039,0.70454,970
2017.07.17,15:00,0.70453,0.705,0.70415,0.70492,1004
2017.07.17,15:30,0.70497,0.70527,0.70467,0.70511,1365
2017.07.17,16:00,0.70514,0.7057,0.70493,0.70493,1317
2017.07.17,16:30,0.7049,0.70589,0.7044,0.70582,1768
2017.07.17,17:00,0.7058,0.70669,0.70546,0.70553,1651
2017.07.17,17:30,0.70555,0.70555,0.7049,0.7054,1892
2017.07.17,18:00,0.70541,0.70573,0.70478,0.70527,1356
2017.07.17,18:30,0.70526,0.70526,0.70434,0.70455,1097
2017.07.17,19:00,0.70458,0.70509,0.70455,0.705,756
2017.07.17,19:30,0.70498,0.7053,0.70469,0.70474,595
2017.07.17,20:00,0.70475,0.7048,0.70411,0.7042,688
2017.07.17,20:30,0.70419,0.70429,0.70397,0.70415,627
2017.07.17,21:00,0.70417,0.70456,0.70378,0.70382,719
2017.07.17,21:30,0.70381,0.70419,0.70372,0.70409,652
2017.07.17,22:00,0.70407,0.70407,0.70324,0.70354,386
2017.07.17,22:30,0.7035,0.7039,0.70337,0.70387,398
2017.07.17,23:00,0.70387,0.70409,0.70355,0.70398,449
2017.07.17,23:30,0.7039,0.70429,0.70371,0.70371,314
2017.07.18,00:00,0.70391,0.7042,0.70376,0.70387,274
2017.07.18,00:30,0.70396,0.70474,0.70365,0.70439,984
2017.07.18,01:00,0.70437,0.70486,0.70427,0.70474,1163
2017.07.18,01:30,0.70475,0.70539,0.69889,0.69966,1310
2017.07.18,02:00,0.69972,0.7004,0.69956,0.70011,688
2017.07.18,02:30,0.70009,0.70081,0.69997,0.70079,434
2017.07.18,03:00,0.7008,0.70101,0.70029,0.70094,758
2017.07.18,03:30,0.70096,0.70124,0.69966,0.69966,1074
2017.07.18,04:00,0.69966,0.69984,0.69864,0.69897,1692
2017.07.18,04:30,0.69892,0.70136,0.69892,0.70125,1847
2017.07.18,05:00,0.70122,0.70319,0.70098,0.70299,1552
2017.07.18,05:30,0.703,0.70463,0.703,0.70374,1292
2017.07.18,06:00,0.70371,0.70434,0.70253,0.70366,1222
2017.07.18,06:30,0.70367,0.70403,0.7031,0.70323,872
2017.07.18,07:00,0.70324,0.70397,0.7032,0.70368,672
2017.07.18,07:30,0.70367,0.7044,0.70339,0.7043,697
2017.07.18,08:00,0.70431,0.70464,0.70401,0.70459,756
2017.07.18,08:30,0.70458,0.70512,0.70426,0.70447,1020
2017.07.18,09:00,0.70449,0.70629,0.7042,0.70558,1587
2017.07.18,09:30,0.70559,0.70623,0.70518,0.70599,1464
2017.07.18,10:00,0.70598,0.70628,0.70497,0.70521,1611
2017.07.18,10:30,0.7052,0.70557,0.70319,0.70331,1395
2017.07.18,11:00,0.70332,0.70339,0.70262,0.70298,1138
2017.07.18,11:30,0.70297,0.70356,0.70277,0.70329,1479
2017.07.18,12:00,0.7033,0.70361,0.70135,0.702,1397
2017.07.18,12:30,0.70199,0.70235,0.70151,0.70177,1434
2017.07.18,13:00,0.70178,0.70208,0.70123,0.70128,1177
2017.07.18,13:30,0.70129,0.70167,0.70112,0.70153,1190
2017.07.18,14:00,0.70151,0.70188,0.7012,0.70172,1175
2017.07.18,14:30,0.70178,0.7021,0.70128,0.7015,1086
2017.07.18,15:00,0.70151,0.70182,0.70109,0.70109,1064
2017.07.18,15:30,0.7011,0.70208,0.70098,0.70141,1979
2017.07.18,16:00,0.70139,0.70171,0.70099,0.70146,1396
