date,ignore,open,high,low,close,volume
2018.04.23,00:00,1.1964,1.19799,1.19637,1.19696,120
2018.04.23,00:30,1.19696,1.19779,1.19645,1.19754,2364
2018.04.23,01:00,1.19753,1.19812,1.19714,1.19803,2838
2018.04.23,01:30,1.19803,1.19821,1.1977,1.1979,519
2018.04.23,02:00,1.1979,1.19807,1.19788,1.19801,134
2018.04.23,02:30,1.19801,1.19833,1.1978,1.19786,514
2018.04.23,03:00,1.19786,1.19795,1.19771,1.19776,794
2018.04.23,03:30,1.19776,1.19788,1.19716,1.19738,720
2018.04.23,04:00,1.19738,1.19771,1.19725,1.19755,614
2018.04.23,04:30,1.19755,1.1978,1.1975,1.19765,739
2018.04.23,05:00,1.19765,1.19769,1.1974,1.19745,486
2018.04.23,05:30,1.19745,1.19752,1.19725,1.19745,551
2018.04.23,06:00,1.19745,1.19755,1.19726,1.19731,480
2018.04.23,06:30,1.19731,1.19731,1.19705,1.19705,246
2018.04.23,07:00,1.19705,1.1971,1.19673,1.197,403
2018.04.23,07:30,1.197,1.19735,1.19695,1.19722,490
2018.04.23,08:00,1.19721,1.19738,1.19707,1.19719,410
2018.04.23,08:30,1.19719,1.19724,1.19687,1.19701,634
2018.04.23,09:00,1.19704,1.19749,1.19682,1.19728,1414
2018.04.23,09:30,1.19729,1.19738,1.19681,1.19692,1590
2018.04.23,10:00,1.19692,1.19813,1.1969,1.19783,3272
2018.04.23,10:30,1.19783,1.19826,1.19698,1.1972,2420
2018.04.23,11:00,1.19721,1.19742,1.19638,1.19668,2886
2018.04.23,11:30,1.19668,1.19719,1.19599,1.19601,1910
2018.04.23,12:00,1.19601,1.19639,1.19537,1.19554,1887
2018.04.23,12:30,1.19553,1.19553,1.19443,1.19451,2610
2018.04.23,13:00,1.19451,1.19504,1.19357,1.19427,1744
2018.04.23,13:30,1.19427,1.19435,1.19279,1.19318,2240
2018.04.23,14:00,1.19318,1.19362,1.19259,1.19358,1696
2018.04.23,14:30,1.19359,1.19416,1.19339,1.19405,960
2018.04.23,15:00,1.19405,1.19424,1.19382,1.19395,1610
2018.04.23,15:30,1.19395,1.19427,1.19348,1.19424,1537
2018.04.23,16:00,1.19424,1.19455,1.19384,1.19453,1475
2018.04.23,16:30,1.19453,1.19454,1.19377,1.19402,2322
2018.04.23,17:00,1.19402,1.19451,1.19352,1.19451,2098
2018.04.23,17:30,1.19451,1.19463,1.19419,1.19437,1992
2018.04.23,18:00,1.19437,1.19457,1.19374,1.19406,2077
2018.04.23,18:30,1.19404,1.19433,1.19343,1.19432,1603
2018.04.23,19:00,1.19432,1.19454,1.19386,1.19452,1131
2018.04.23,19:30,1.19452,1.19499,1.19449,1.19496,989
2018.04.23,20:00,1.19497,1.19501,1.19475,1.19478,661
2018.04.23,20:30,1.19478,1.19494,1.19412,1.19416,610
2018.04.23,21:00,1.19416,1.19435,1.19395,1.19416,739
2018.04.23,21:30,1.19416,1.19448,1.19405,1.19421,714
2018.04.23,22:00,1.19422,1.19435,1.19389,1.19423,1114
2018.04.23,22:30,1.19423,1.19483,1.19419,1.19458,1077
2018.04.23,23:00,1.19457,1.19461,1.19433,1.19452,293
2018.04.23,23:30,1.19452,1.19452,1.19395,1.19405,581
2018.04.24,00:00,1.19409,1.19425,1.19391,1.19403,538
2018.04.24,00:30,1.19403,1.19426,1.19376,1.19414,453
2018.04.24,01:00,1.19411,1.19439,1.19399,1.19403,534
2018.04.24,01:30,1.19403,1.19427,1.19403,1.19422,171
2018.04.24,02:00,1.19422,1.19425,1.19407,1.19418,244
2018.04.24,02:30,1.19418,1.19433,1.19408,1.19422,321
2018.04.24,03:00,1.19422,1.19429,1.19386,1.19402,814
2018.04.24,03:30,1.19402,1.19418,1.19376,1.19389,713
2018.04.24,04:00,1.19389,1.19403,1.19278,1.19355,1634
2018.04.24,04:30,1.19355,1.19406,1.19312,1.1939,1628
2018.04.24,05:00,1.1939,1.19441,1.19382,1.19434,1150
2018.04.24,05:30,1.19434,1.19448,1.19413,1.19419,752
2018.04.24,06:00,1.1942,1.19443,1.19418,1.19441,819
2018.04.24,06:30,1.19441,1.19453,1.19431,1.19439,652
2018.04.24,07:00,1.19438,1.19447,1.19418,1.19426,339
2018.04.24,07:30,1.19426,1.19454,1.19421,1.19454,398
2018.04.24,08:00,1.19454,1.19488,1.1945,1.19478,750
2018.04.24,08:30,1.19478,1.19479,1.19421,1.19427,392
2018.04.24,09:00,1.19427,1.1945,1.19396,1.19408,2017
2018.04.24,09:30,1.19408,1.19423,1.19374,1.19393,1771
2018.04.24,10:00,1.19394,1.19437,1.19334,1.19363,2382
2018.04.24,10:30,1.19362,1.19367,1.19255,1.19325,2138
2018.04.24,11:00,1.19325,1.19337,1.19247,1.19322,2930
2018.04.24,11:30,1.19322,1.19407,1.19317,1.19392,1486
2018.04.24,12:00,1.19394,1.19407,1.19289,1.19331,1702
2018.04.24,12:30,1.19332,1.19373,1.19296,1.19358,1133
