date,ignore,open,high,low,close,volume
2021.10.04,00:00,76.738,77.008,76.738,76.973,190
2021.10.04,00:30,76.923,77.03,76.872,76.9,282
2021.10.04,01:00,76.9,77.137,76.867,77.114,497
2021.10.04,01:30,77.114,77.12,77.054,77.077,499
2021.10.04,02:00,77.077,77.095,77.049,77.09,485
2021.10.04,02:30,77.093,77.104,76.999,77.004,403
2021.10.04,03:00,77.005,77.079,76.954,76.954,890
2021.10.04,03:30,76.955,76.976,76.861,76.927,1000
2021.10.04,04:00,76.924,77.011,76.89,77.006,880
2021.10.04,04:30,77.007,77.03,76.877,76.926,1188
2021.10.04,05:00,76.925,77.022,76.884,77.015,948
2021.10.04,05:30,77.015,77.08,77.015,77.033,873
2021.10.04,06:00,77.032,77.07,77.001,77.022,665
2021.10.04,06:30,77.022,77.032,76.994,77.015,729
2021.10.04,07:00,77.013,77.123,77.013,77.092,847
2021.10.04,07:30,77.092,77.124,77.081,77.105,657
2021.10.04,08:00,77.105,77.165,77.102,77.137,691
2021.10.04,08:30,77.137,77.143,77.062,77.084,695
2021.10.04,09:00,77.084,77.103,76.944,77.026,1174
2021.10.04,09:30,77.025,77.118,77.022,77.039,1039
2021.10.04,10:00,77.042,77.132,76.971,77.106,1962
2021.10.04,10:30,77.104,77.236,77.047,77.228,1453
2021.10.04,11:00,77.227,77.29,77.166,77.166,1074
2021.10.04,11:30,77.166,77.302,77.146,77.283,1163
2021.10.04,12:00,77.284,77.445,77.274,77.402,1271
2021.10.04,12:30,77.401,77.433,77.34,77.416,837
2021.10.04,13:00,77.416,77.513,77.4,77.481,889
2021.10.04,13:30,77.482,77.538,77.443,77.523,905
2021.10.04,14:00,77.522,77.523,77.44,77.502,1008
2021.10.04,14:30,77.502,77.515,77.397,77.449,897
2021.10.04,15:00,77.451,77.484,77.366,77.404,1091
2021.10.04,15:30,77.403,77.497,77.321,77.47,1263
2021.10.04,16:00,77.471,77.527,77.425,77.527,1082
2021.10.04,16:30,77.527,77.611,77.497,77.542,1872
2021.10.04,17:00,77.537,77.565,77.283,77.309,2092
2021.10.04,17:30,77.308,77.334,77.135,77.18,2260
2021.10.04,18:00,77.18,77.237,77.092,77.208,1763
2021.10.04,18:30,77.208,77.253,77.121,77.231,1387
2021.10.04,19:00,77.23,77.249,77.197,77.22,1084
2021.10.04,19:30,77.222,77.237,77.154,77.202,957
2021.10.04,20:00,77.202,77.261,77.179,77.225,837
2021.10.04,20:30,77.225,77.261,77.212,77.212,821
2021.10.04,21:00,77.204,77.278,77.163,77.177,1007
2021.10.04,21:30,77.178,77.257,77.161,77.237,881
2021.10.04,22:00,77.234,77.341,77.218,77.246,991
2021.10.04,22:30,77.246,77.277,77.205,77.228,1101
2021.10.04,23:00,77.234,77.247,77.217,77.244,284
2021.10.04,23:30,77.244,77.265,77.209,77.254,1010
2021.10.05,00:00,77.254,77.287,77.13,77.2,316
