date,USDCAD,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2016.02.15,-22.0000000000109,-194.99999999998963,-206.00000000000307,-237.99999999999378,-17.000000000000348,-222.0000000000084,-229.99999999999687,-118.99999999999977,-84.00000000000318,-40.00000000000625,-118.00000000000921,,-1491.0000000000214
2016.02.15,68.99999999998573,-183.99999999998417,-341.99999999999875,-281.99999999999335,-28.999999999990145,-463.99999999999864,48.99999999996574,-222.99999999999898,-226.99999999998965,-231.00000000000875,-262.00000000000045,,-2126.000000000011
2016.02.15,-51.000000000001044,-203.99999999998198,-442.99999999999784,-437.999999999994,-117.00000000000044,-783.9999999999918,30.999999999981043,-269.00000000000546,-381.0000000000002,-380.00000000000966,-475.9999999999991,,-3512.0000000000005
2016.02.15,-119.00000000000244,-104.99999999999955,-421.99999999999704,-451.0000000000014,-148.99999999999915,-834.0000000000032,152.99999999998093,-243.0000000000092,-435.0000000000023,-385.0000000000051,-501.0000000000048,,-3491.0000000000427
2016.02.15,-162.00000000001768,-139.9999999999846,-397.00000000000557,-496.99999999999187,-156.99999999999602,-796.999999999997,-89.00000000000574,-212.0000000000033,-409.9999999999966,-397.00000000000557,-513.0000000000052,,-3771.000000000009
2016.02.15,-161.00000000001114,-133.99999999998968,-284.9999999999966,-414.9999999999987,-62.99999999999084,-516.9999999999959,-171.00000000001003,-124.00000000000944,-348.99999999998954,-341.99999999999875,-358.0000000000041,,-2918.9999999999945
2016.02.15,-260.0000000000158,-137.9999999999937,-320.99999999999795,-517.9999999999962,-39.00000000000014,-515.0000000000148,-476.0000000000098,-169.00000000001114,-393.99999999999125,-460.9999999999985,-500.0,,-3791.000000000029
2016.02.15,-313.00000000000773,-143.99999999998857,-426.9999999999925,-520.9999999999936,-121.99999999999989,-765.9999999999911,-401.00000000000693,-287.00000000000614,-503.9999999999907,-564.0000000000072,-547.0000000000113,,-4595.999999999995
2016.02.15,-274.00000000001864,-164.99999999999292,-391.00000000000534,-531.9999999999991,-119.99999999999788,-774.0000000000009,-385.0000000000353,-250.0,-527.000000000001,-572.0000000000027,-560.0000000000023,,-4550.000000000056
2016.02.15,-356.00000000000074,-203.99999999998198,-426.9999999999925,-600.999999999996,-135.99999999999167,-968.9999999999941,-677.0000000000387,-347.0000000000084,-649.9999999999915,-794.0000000000111,-666.000000000011,,-5827.000000000018
2016.02.15,-394.00000000000546,-183.99999999998417,-454.9999999999983,-693.9999999999947,-176.99999999999383,-1069.9999999999932,-808.0000000000088,-350.0000000000085,-718.9999999999941,-884.0000000000003,-767.0000000000101,,-6501.999999999992
2016.02.15,-457.00000000001853,-173.00000000000094,-527.000000000001,-763.9999999999981,-205.99999999999508,-1237.9999999999995,-1070.9999999999998,-419.00000000001114,-817.9999999999978,-1087.0000000000032,-921.0000000000065,,-7681.000000000032
2016.02.15,-457.00000000001853,-208.99999999999253,-527.000000000001,-778.9999999999964,-224.9999999999974,-1307.9999999999927,-1033.0000000000173,-440.00000000001194,-823.9999999999981,-1094.0000000000082,-920.0000000000017,,-7816.000000000036
2016.02.15,-429.00000000001273,-291.9999999999812,-513.0000000000052,-778.9999999999964,-222.99999999999542,-1318.9999999999884,-1029.0000000000355,-451.9999999999982,-828.9999999999935,-1105.000000000004,-923.0000000000018,,-7893.000000000013
2016.02.15,-421.0000000000047,-314.99999999999864,-483.99999999999466,-802.9999999999982,-203.99999999999307,-1334.0000000000032,-1050.0000000000398,-527.000000000001,-817.9999999999978,-1127.0000000000095,-945.0000000000074,,-8028.000000000049
