date,ignore,open,high,low,close,volume
2016.06.20,00:00,1.28901,1.28901,1.28366,1.28443,107
2016.06.20,00:30,1.2845,1.28462,1.28442,1.28456,120
2016.06.20,01:00,1.28471,1.28603,1.2844,1.28529,1143
2016.06.20,01:30,1.28534,1.28558,1.28428,1.2844,887
2016.06.20,02:00,1.28444,1.28565,1.28429,1.28537,1351
2016.06.20,02:30,1.28535,1.28585,1.28379,1.28494,2098
2016.06.20,03:00,1.28495,1.28578,1.28476,1.28514,2647
2016.06.20,03:30,1.28515,1.28538,1.28417,1.28441,1901
2016.06.20,04:00,1.2844,1.28469,1.28408,1.28421,1797
2016.06.20,04:30,1.28419,1.2844,1.28394,1.28399,1700
2016.06.20,05:00,1.28398,1.28405,1.28349,1.2836,1186
2016.06.20,05:30,1.28357,1.28408,1.28353,1.28386,1616
2016.06.20,06:00,1.28388,1.28392,1.28351,1.28374,1167
2016.06.20,06:30,1.28375,1.28391,1.28339,1.28377,1171
2016.06.20,07:00,1.28377,1.28377,1.28326,1.28332,681
2016.06.20,07:30,1.28335,1.28341,1.28308,1.28321,1383
2016.06.20,08:00,1.2832,1.28353,1.28316,1.28324,1408
2016.06.20,08:30,1.28324,1.28377,1.28306,1.28376,2410
2016.06.20,09:00,1.28374,1.28469,1.28355,1.28436,2581
2016.06.20,09:30,1.28436,1.2849,1.28331,1.28378,2740
2016.06.20,10:00,1.28378,1.28396,1.28294,1.28325,3229
2016.06.20,10:30,1.28326,1.28393,1.28251,1.28372,3487
2016.06.20,11:00,1.28365,1.28394,1.28272,1.28305,4114
2016.06.20,11:30,1.28304,1.28325,1.28112,1.28125,3348
2016.06.20,12:00,1.28125,1.28256,1.28125,1.28237,3165
2016.06.20,12:30,1.28237,1.28302,1.2815,1.28153,2740
2016.06.20,13:00,1.28153,1.28177,1.28047,1.28122,3282
2016.06.20,13:30,1.28122,1.28204,1.28085,1.28175,2613
2016.06.20,14:00,1.28175,1.28222,1.28119,1.28155,3033
2016.06.20,14:30,1.28154,1.28267,1.28132,1.28264,3014
2016.06.20,15:00,1.28264,1.28307,1.28017,1.28073,3667
2016.06.20,15:30,1.28074,1.28178,1.27977,1.28015,3705
2016.06.20,16:00,1.28015,1.28027,1.27764,1.27799,3980
2016.06.20,16:30,1.27797,1.27883,1.27737,1.27814,5111
2016.06.20,17:00,1.27813,1.27917,1.27721,1.27911,4592
2016.06.20,17:30,1.2791,1.2798,1.278,1.27951,4296
2016.06.20,18:00,1.2795,1.28067,1.27887,1.28027,5036
2016.06.20,18:30,1.28026,1.28166,1.28006,1.28068,3903
2016.06.20,19:00,1.28067,1.28159,1.28011,1.28147,2483
2016.06.20,19:30,1.28146,1.28153,1.28023,1.28056,2500
