date,EURUSD,GBPCHF,EURCHF,GBPCAD,AUDCAD,empty,sum
2019.07.15,-62.99999999999084,-384.00000000000654,-117.00000000001154,-324.9999999999975,-73.00000000000084,,-962.0000000000072
2019.07.15,-64.99999999998174,-473.99999999999665,-163.00000000000205,-492.0000000000035,-124.99999999999733,,-1318.9999999999814
2019.07.15,-89.99999999999008,-441.0000000000025,-150.00000000000568,-503.99999999999335,-131.00000000000333,,-1315.999999999995
2019.07.15,-82.99999999998863,-405.9999999999952,-145.00000000001734,-463.0000000000134,-109.00000000000354,,-1206.0000000000182
2019.07.15,-68.00000000000139,-407.99999999998613,-160.00000000000458,-446.9999999999974,-117.00000000000044,,-1199.99999999999
2019.07.15,-66.99999999999484,-404.0000000000044,-158.0000000000137,-468.00000000000176,-116.00000000000499,,-1213.0000000000198
2019.07.15,-66.99999999999484,-374.999999999992,-136.00000000000279,-480.99999999999807,-155.00000000000514,,-1213.999999999993
2019.07.15,-90.99999999999665,-340.9999999999913,-135.00000000001845,-448.000000000004,-143.00000000000423,,-1158.0000000000146
2019.07.15,-87.99999999999919,-333.0000000000055,-143.00000000000423,-472.00000000000574,-131.00000000000333,,-1167.0000000000182
2019.07.15,-76.99999999999375,-329.99999999998585,-148.00000000001478,-486.999999999993,-162.0000000000066,,-1203.9999999999939
2019.07.15,-60.99999999999994,-375.9999999999986,-180.0000000000024,-439.99999999999596,-280.9999999999979,,-1337.9999999999948
2019.07.15,-51.99999999998539,-419.9999999999982,-207.00000000000162,-434.000000000001,-302.0000000000023,,-1414.9999999999886
2019.07.15,-66.99999999999484,-402.9999999999978,-187.00000000000384,-431.0000000000036,-311.00000000000574,,-1399.0000000000057
2019.07.15,-78.00000000000028,-392.9999999999989,-192.00000000001438,-387.000000000004,-289.0000000000059,,-1339.0000000000236
2019.07.15,-89.99999999999008,-365.99999999999966,-167.00000000000603,-367.0000000000062,-280.00000000000244,,-1270.0000000000045
2019.07.15,-81.9999999999821,-358.9999999999982,-159.00000000002024,-344.99999999999534,-280.00000000000244,,-1224.9999999999982
2019.07.15,-68.00000000000139,-350.00000000000585,-160.00000000000458,-365.99999999999966,-272.00000000000557,,-1216.000000000017
2019.07.15,-86.99999999999264,-424.99999999998647,-190.00000000000128,-446.9999999999974,-287.9999999999994,,-1436.999999999977
2019.07.15,-83.9999999999952,-415.99999999999415,-185.00000000001293,-435.0000000000076,-277.000000000005,,-1397.000000000015
2019.07.15,-126.99999999998823,-367.0000000000062,-152.0000000000188,-395.99999999999636,-275.000000000003,,-1317.0000000000125
2019.07.15,-169.99999999998127,-272.00000000000557,-112.000000000001,-398.00000000000944,-290.00000000000136,,-1241.9999999999986
2019.07.15,-182.99999999999983,-194.99999999998963,-123.00000000000644,-347.0000000000084,-260.00000000000466,,-1108.000000000009
2019.07.15,-149.9999999999835,-143.00000000000423,-88.0000000000214,-239.00000000001143,-245.0000000000063,,-865.0000000000268
2019.07.15,-93.99999999999409,-168.99999999999693,-78.00000000000028,-238.0000000000049,-221.00000000000452,,-800.0000000000007
2019.07.15,-91.99999999998099,-53.999999999998494,1.999999999990898,-197.00000000000273,-204.99999999999963,,-545.9999999999909
2019.07.15,-159.99999999998238,-39.999999999995595,-4.000000000004,-255.00000000000523,-282.0000000000045,,-740.9999999999917
2019.07.15,-174.99999999999181,-65.99999999998829,-4.000000000004,-252.99999999999213,-292.00000000000335,,-789.9999999999795
2019.07.15,-183.99999999998417,-14.999999999987246,-19.00000000001345,-242.99999999999324,-280.00000000000244,,-740.9999999999804
2019.07.15,-123.99999999999079,106.00000000000608,28.999999999990145,-214.00000000000307,-297.00000000000284,,-500.00000000000045
2019.07.15,-119.99999999998678,154.99999999999403,70.99999999999883,-157.00000000000713,-262.00000000000665,,-313.00000000000773
2019.07.15,-78.99999999998464,168.0000000000126,89.99999999999008,-86.0000000000083,-287.0000000000039,,-193.9999999999942
2019.07.15,-57.99999999998029,200.00000000000017,80.99999999999774,65.00000000000395,-322.00000000000006,,-33.999999999978456
2019.07.15,-40.99999999997994,117.99999999999588,16.999999999978144,123.99999999999079,-245.0000000000063,,-27.00000000002143
2019.07.15,-56.99999999999594,63.99999999999739,-18.0000000000069,24.999999999986144,-268.0000000000016,,-254.0000000000209
2019.07.15,-20.999999999982144,32.0000000000098,-11.00000000000545,-28.000000000005798,-295.99999999999625,,-323.9999999999798
2019.07.15,18.0000000000069,9.999999999998899,-99.00000000000463,-21.00000000000435,-324.00000000000205,,-416.00000000000523
2019.07.15,30.0000000000189,100.99999999999554,-68.00000000000139,24.000000000001798,-385.99999999999744,,-298.9999999999826
2019.07.15,64.0000000000196,39.999999999995595,-55.000000000005045,21.999999999988695,-387.99999999999943,,-317.00000000000057
2019.07.15,26.999999999999247,73.00000000001194,-52.000000000007596,52.99999999999194,-380.00000000000256,,-279.00000000000705
2019.07.15,17.000000000000348,90.00000000001229,-66.00000000001049,85.99999999998609,-385.000000000002,,-258.00000000001376
2019.07.15,58.000000000002494,137.9999999999937,-56.000000000011596,182.99999999999983,-392.9999999999989,,-70.0000000000145
2019.07.15,65.00000000000395,58.000000000002494,-86.0000000000083,97.9999999999981,-424.9999999999976,,-290.00000000000136
2019.07.15,62.000000000006494,63.99999999999739,-88.0000000000214,55.99999999998939,-460.00000000000483,,-366.00000000003297
2019.07.15,53.00000000001415,87.99999999999919,-73.00000000001194,38.99999999998904,-448.9999999999994,,-342.0000000000089
2019.07.15,63.000000000013046,85.00000000000173,-60.000000000015596,35.999999999991594,-465.0000000000043,,-341.00000000001353
2019.07.15,67.00000000001705,137.9999999999937,-16.000000000016,-2.0000000000131024,-506.0000000000064,,-319.0000000000248
2019.07.15,65.00000000000395,148.99999999999915,-9.000000000014552,18.999999999991246,-507.0000000000019,,-283.00000000002206
2019.07.15,65.00000000000395,154.0000000000097,-13.000000000018552,5.999999999994898,-495.000000000001,,-283.000000000011
2019.07.16,51.000000000001044,154.99999999999403,-37.00000000002035,62.000000000006494,-472.00000000000574,,-241.0000000000245
2019.07.16,43.00000000001525,131.99999999999878,-48.000000000003595,92.00000000000318,-470.9999999999992,,-251.99999999998556
2019.07.16,34.000000000000696,178.99999999999582,-11.00000000000545,48.000000000003595,-477.0000000000052,,-227.00000000001052
2019.07.16,23.00000000001745,178.00000000001148,-16.000000000016,52.000000000007596,-522.0000000000002,,-284.9999999999797
2019.07.16,31.000000000003247,173.00000000000094,-13.000000000018552,24.999999999986144,-507.9999999999973,,-292.0000000000256
2019.07.16,34.000000000000696,164.99999999999292,-31.000000000003247,35.999999999991594,-504.9999999999999,,-301.0000000000179
2019.07.16,32.0000000000098,130.0000000000079,-74.0000000000185,29.999999999996696,-529.0000000000017,,-411.0000000000058
2019.07.16,24.000000000001798,113.00000000000753,-80.00000000001339,-43.999999999999595,-544.0,,-531.0000000000036
