date,ignore,open,high,low,close,volume
2020.01.06,0:00,1.88407,1.8848,1.88108,1.88174,579
2020.01.06,0:30,1.88174,1.88437,1.881,1.88336,637
2020.01.06,1:00,1.88343,1.88566,1.88232,1.88478,1099
2020.01.06,1:30,1.88478,1.88526,1.88294,1.88308,1182
2020.01.06,2:00,1.88308,1.8835,1.8817,1.88181,1160
2020.01.06,2:30,1.88181,1.88266,1.88053,1.88101,1035
2020.01.06,3:00,1.88102,1.88229,1.8806,1.88141,1095
2020.01.06,3:30,1.8814,1.88538,1.88136,1.88436,984
2020.01.06,4:00,1.88436,1.88503,1.88342,1.88369,792
2020.01.06,4:30,1.88369,1.88431,1.88299,1.88382,669
2020.01.06,5:00,1.88382,1.88424,1.8832,1.88424,717
2020.01.06,5:30,1.88425,1.88482,1.88407,1.88415,671
2020.01.06,6:00,1.88415,1.8848,1.88386,1.8841,645
2020.01.06,6:30,1.8841,1.88464,1.88375,1.88377,631
2020.01.06,7:00,1.88377,1.88536,1.88369,1.88517,614
2020.01.06,7:30,1.88517,1.8856,1.88486,1.8854,652
2020.01.06,8:00,1.88541,1.88579,1.88432,1.88548,891
2020.01.06,8:30,1.88545,1.88565,1.88471,1.88495,915
2020.01.06,9:00,1.88496,1.8853,1.88363,1.88456,1713
2020.01.06,9:30,1.88459,1.8847,1.88112,1.88197,1657
2020.01.06,10:00,1.88197,1.88276,1.88013,1.88234,2230
2020.01.06,10:30,1.88234,1.88696,1.88219,1.88664,2006
2020.01.06,11:00,1.88669,1.88878,1.88591,1.88832,1968
2020.01.06,11:30,1.88826,1.89054,1.88691,1.88956,2463
2020.01.06,12:00,1.88956,1.89233,1.88863,1.89173,2180
2020.01.06,12:30,1.89173,1.89384,1.89124,1.89134,1788
2020.01.06,13:00,1.89134,1.8951,1.89134,1.89374,1652
2020.01.06,13:30,1.89374,1.89486,1.89277,1.89355,1337
2020.01.06,14:00,1.89357,1.89357,1.89021,1.89052,1272
2020.01.06,14:30,1.89056,1.89246,1.89024,1.89042,1380
2020.01.06,15:00,1.89048,1.8925,1.89023,1.89223,1610
2020.01.06,15:30,1.89227,1.89277,1.89153,1.89201,1547
2020.01.06,16:00,1.89201,1.89565,1.89114,1.89526,1470
2020.01.06,16:30,1.89528,1.89752,1.89523,1.89598,2016
2020.01.06,17:00,1.89598,1.89778,1.89564,1.89653,1692
2020.01.06,17:30,1.89653,1.89846,1.8952,1.89782,1992
2020.01.06,18:00,1.89772,1.89955,1.89664,1.89906,1463
2020.01.06,18:30,1.89897,1.89988,1.89851,1.89888,1319
2020.01.06,19:00,1.89888,1.89991,1.89819,1.89906,1248
2020.01.06,19:30,1.89906,1.89921,1.89707,1.89725,1196
2020.01.06,20:00,1.89724,1.89806,1.8972,1.89761,1102
2020.01.06,20:30,1.89761,1.89786,1.89695,1.89698,861
2020.01.06,21:00,1.89698,1.89776,1.89668,1.89774,1174
2020.01.06,21:30,1.89772,1.8984,1.8974,1.89823,966
2020.01.06,22:00,1.89818,1.89826,1.8969,1.89712,585
2020.01.06,22:30,1.89712,1.89759,1.89681,1.89699,628
2020.01.06,23:00,1.89693,1.8972,1.89629,1.89713,682
2020.01.06,23:30,1.89713,1.89749,1.89644,1.89644,520
2020.01.07,0:00,1.89646,1.89882,1.89618,1.8986,378
2020.01.07,0:30,1.8986,1.89932,1.89677,1.89861,373
2020.01.07,1:00,1.89861,1.89922,1.89825,1.89911,458
2020.01.07,1:30,1.89911,1.89939,1.89808,1.89842,597
2020.01.07,2:00,1.89842,1.89901,1.89764,1.89837,769
2020.01.07,2:30,1.89836,1.90149,1.89836,1.901,944
2020.01.07,3:00,1.901,1.90106,1.89976,1.90047,717
2020.01.07,3:30,1.90047,1.90056,1.89849,1.89985,771
2020.01.07,4:00,1.89985,1.90031,1.89904,1.89985,573
2020.01.07,4:30,1.89985,1.90088,1.89959,1.89992,479
2020.01.07,5:00,1.89992,1.90014,1.89838,1.89887,666
2020.01.07,5:30,1.89883,1.8991,1.89823,1.89894,417
2020.01.07,6:00,1.89894,1.89973,1.89889,1.8995,641
2020.01.07,6:30,1.8995,1.90114,1.89924,1.901,616
2020.01.07,7:00,1.901,1.90108,1.90017,1.90032,480
2020.01.07,7:30,1.90032,1.90286,1.89849,1.90265,1018
2020.01.07,8:00,1.90265,1.9043,1.90127,1.90285,1687
2020.01.07,8:30,1.90285,1.90289,1.9015,1.90263,1014
2020.01.07,9:00,1.90263,1.9035,1.90161,1.90322,1366
2020.01.07,9:30,1.90322,1.90528,1.90264,1.9046,1798
2020.01.07,10:00,1.90462,1.90961,1.90421,1.90878,2405
2020.01.07,10:30,1.90878,1.91134,1.90861,1.90955,2383
2020.01.07,11:00,1.90955,1.91287,1.90869,1.91265,1917
2020.01.07,11:30,1.91265,1.91369,1.91039,1.91055,1576
2020.01.07,12:00,1.91057,1.91211,1.90961,1.91043,1888
2020.01.07,12:30,1.91047,1.91292,1.91022,1.91283,1727
2020.01.07,13:00,1.91283,1.91537,1.9123,1.9148,1307
2020.01.07,13:30,1.91479,1.91488,1.9117,1.91172,1558
2020.01.07,14:00,1.91173,1.91185,1.90537,1.90641,1829
2020.01.07,14:30,1.90641,1.90864,1.90613,1.90809,1691
2020.01.07,15:00,1.90809,1.90819,1.90503,1.90681,2145
2020.01.07,15:30,1.90681,1.91052,1.90681,1.91028,1675
2020.01.07,16:00,1.91024,1.91267,1.90957,1.91187,1553
2020.01.07,16:30,1.91184,1.91202,1.90736,1.90736,1890
2020.01.07,17:00,1.90736,1.91047,1.90668,1.91,2054
2020.01.07,17:30,1.91001,1.91078,1.90847,1.91012,2002
2020.01.07,18:00,1.91019,1.91075,1.90874,1.91065,1559
2020.01.07,18:30,1.91066,1.91388,1.91034,1.91319,1460
2020.01.07,19:00,1.91319,1.91355,1.91147,1.91198,1399
2020.01.07,19:30,1.91198,1.91224,1.91108,1.91108,1261
2020.01.07,20:00,1.91109,1.9121,1.91107,1.91159,1593
2020.01.07,20:30,1.91159,1.91205,1.91111,1.91117,1199
2020.01.07,21:00,1.91117,1.91151,1.91063,1.91104,1690
2020.01.07,21:30,1.91104,1.91125,1.91002,1.91002,1121
2020.01.07,22:00,1.91002,1.9103,1.9095,1.90993,1218
2020.01.07,22:30,1.90993,1.91058,1.90967,1.90983,788
2020.01.07,23:00,1.90983,1.91035,1.90931,1.90988,602
2020.01.07,23:30,1.90987,1.91146,1.90907,1.90908,986
2020.01.08,0:00,1.90911,1.91144,1.90822,1.90865,342
2020.01.08,0:30,1.90869,1.90976,1.90728,1.90904,771
2020.01.08,1:00,1.90904,1.91255,1.90852,1.9114,950
2020.01.08,1:30,1.9114,1.91379,1.90993,1.91149,1360
2020.01.08,2:00,1.91149,1.91442,1.91026,1.91353,2803
2020.01.08,2:30,1.91347,1.91385,1.91124,1.91136,1606
