date,ignore,open,high,low,close,volume
2016.05.09,00:00,107.07,107.162,107.068,107.125,271
2016.05.09,00:30,107.122,107.283,107.108,107.213,576
2016.05.09,01:00,107.209,107.228,107.143,107.217,1136
2016.05.09,01:30,107.217,107.294,107.19,107.249,1439
2016.05.09,02:00,107.249,107.365,107.217,107.344,1454
2016.05.09,02:30,107.344,107.386,107.322,107.357,1937
2016.05.09,03:00,107.358,107.591,107.294,107.58,3574
2016.05.09,03:30,107.58,107.625,107.443,107.468,3074
2016.05.09,04:00,107.468,107.537,107.406,107.413,2846
2016.05.09,04:30,107.415,107.42,107.229,107.274,3172
2016.05.09,05:00,107.273,107.363,107.263,107.326,2532
2016.05.09,05:30,107.325,107.344,107.242,107.299,2254
2016.05.09,06:00,107.299,107.384,107.263,107.326,2044
2016.05.09,06:30,107.327,107.362,107.262,107.313,2197
2016.05.09,07:00,107.309,107.351,107.283,107.304,1750
2016.05.09,07:30,107.304,107.4,107.303,107.39,2293
2016.05.09,08:00,107.389,107.542,107.387,107.542,2201
2016.05.09,08:30,107.542,107.684,107.516,107.568,3174
2016.05.09,09:00,107.568,107.617,107.497,107.523,2847
2016.05.09,09:30,107.524,107.698,107.515,107.564,2858
2016.05.09,10:00,107.563,107.591,107.385,107.409,3833
2016.05.09,10:30,107.41,107.659,107.396,107.649,3876
2016.05.09,11:00,107.651,107.818,107.504,107.773,3874
2016.05.09,11:30,107.774,107.866,107.743,107.855,4227
2016.05.09,12:00,107.855,107.943,107.802,107.871,3460
2016.05.09,12:30,107.87,107.897,107.838,107.873,2788
2016.05.09,13:00,107.873,108.089,107.855,108.013,3425
2016.05.09,13:30,108.014,108.056,107.993,107.998,2230
2016.05.09,14:00,107.999,108.326,107.999,108.315,3891
2016.05.09,14:30,108.316,108.371,108.25,108.321,3234
2016.05.09,15:00,108.32,108.343,108.203,108.261,4074
2016.05.09,15:30,108.264,108.313,108.162,108.305,3108
2016.05.09,16:00,108.305,108.402,108.205,108.37,3433
2016.05.09,16:30,108.369,108.601,108.296,108.59,4268
2016.05.09,17:00,108.588,108.596,108.373,108.384,4638
2016.05.09,17:30,108.383,108.46,108.304,108.333,4484
2016.05.09,18:00,108.334,108.447,108.302,108.302,3939
2016.05.09,18:30,108.303,108.394,108.264,108.385,2699
2016.05.09,19:00,108.383,108.408,108.357,108.392,2462
2016.05.09,19:30,108.391,108.409,108.34,108.404,1559
2016.05.09,20:00,108.404,108.447,108.373,108.442,1333
2016.05.09,20:30,108.441,108.467,108.382,108.394,1525
2016.05.09,21:00,108.394,108.499,108.394,108.472,1770
2016.05.09,21:30,108.472,108.498,108.435,108.455,1417
2016.05.09,22:00,108.455,108.472,108.412,108.443,1010
2016.05.09,22:30,108.443,108.443,108.375,108.378,1526
2016.05.09,23:00,108.379,108.39,108.33,108.342,888
2016.05.09,23:30,108.343,108.354,108.31,108.318,945
2016.05.10,00:00,108.309,108.417,108.305,108.4,643
2016.05.10,00:30,108.397,108.477,108.374,108.476,876
2016.05.10,01:00,108.474,108.48,108.365,108.371,1704
2016.05.10,01:30,108.375,108.427,108.354,108.385,1396
2016.05.10,02:00,108.382,108.419,108.334,108.411,1337
2016.05.10,02:30,108.408,108.408,108.27,108.358,1719
2016.05.10,03:00,108.357,108.447,108.352,108.403,3608
2016.05.10,03:30,108.404,108.615,108.382,108.441,3666
2016.05.10,04:00,108.441,108.46,108.291,108.368,3126
2016.05.10,04:30,108.368,108.767,108.353,108.668,4486
2016.05.10,05:00,108.668,108.827,108.653,108.705,3282
2016.05.10,05:30,108.705,108.778,108.565,108.582,2435
2016.05.10,06:00,108.583,108.64,108.527,108.592,2218
2016.05.10,06:30,108.593,108.78,108.592,108.723,2692
2016.05.10,07:00,108.723,108.854,108.669,108.764,2583
2016.05.10,07:30,108.763,108.876,108.759,108.867,2724
2016.05.10,08:00,108.867,108.878,108.732,108.798,2234
2016.05.10,08:30,108.798,108.886,108.748,108.769,2752
2016.05.10,09:00,108.769,108.809,108.687,108.708,2596
2016.05.10,09:30,108.708,108.848,108.687,108.723,3031
2016.05.10,10:00,108.721,108.833,108.682,108.783,4171
2016.05.10,10:30,108.783,108.947,108.782,108.88,4410
2016.05.10,11:00,108.88,108.951,108.848,108.924,3161
2016.05.10,11:30,108.925,109.057,108.915,108.969,3344
2016.05.10,12:00,108.972,109.138,108.955,109.112,3407
2016.05.10,12:30,109.112,109.254,109.11,109.232,3775
2016.05.10,13:00,109.231,109.27,109.143,109.212,3372
2016.05.10,13:30,109.211,109.234,109.11,109.168,2719
2016.05.10,14:00,109.167,109.167,108.96,109.036,3977
2016.05.10,14:30,109.037,109.274,109.022,109.191,3753
2016.05.10,15:00,109.19,109.203,109.052,109.13,4006
2016.05.10,15:30,109.129,109.148,109.024,109.132,3872
2016.05.10,16:00,109.131,109.168,109.012,109.026,2816
2016.05.10,16:30,109.027,109.049,108.957,109.022,4571
2016.05.10,17:00,109.02,109.106,108.967,109.092,4799
2016.05.10,17:30,109.093,109.133,109.012,109.069,4152
2016.05.10,18:00,109.067,109.126,109.009,109.098,2858
2016.05.10,18:30,109.099,109.222,109.098,109.217,2152
2016.05.10,19:00,109.217,109.249,109.157,109.184,1706
2016.05.10,19:30,109.184,109.289,109.178,109.277,1693
2016.05.10,20:00,109.277,109.346,109.268,109.269,2014
2016.05.10,20:30,109.268,109.339,109.237,109.301,1831
2016.05.10,21:00,109.302,109.315,109.232,109.296,1976
2016.05.10,21:30,109.296,109.328,109.231,109.288,1613
2016.05.10,22:00,109.288,109.31,109.241,109.301,1136
2016.05.10,22:30,109.301,109.31,109.27,109.286,1180
2016.05.10,23:00,109.288,109.322,109.256,109.272,1115
2016.05.10,23:30,109.272,109.277,109.244,109.256,657
2016.05.11,00:00,109.244,109.312,109.222,109.312,557
2016.05.11,00:30,109.312,109.369,109.284,109.342,966
2016.05.11,01:00,109.342,109.342,109.259,109.269,1341
2016.05.11,01:30,109.269,109.313,109.259,109.275,1162
2016.05.11,02:00,109.276,109.284,109.239,109.242,1080
2016.05.11,02:30,109.239,109.261,109.186,109.212,1814
2016.05.11,03:00,109.212,109.216,109.042,109.045,3091
2016.05.11,03:30,109.046,109.155,109.046,109.146,2944
2016.05.11,04:00,109.146,109.213,109.104,109.129,2514
2016.05.11,04:30,109.13,109.162,108.706,108.764,5077
2016.05.11,05:00,108.764,108.81,108.609,108.735,4104
2016.05.11,05:30,108.735,108.772,108.69,108.716,2557
2016.05.11,06:00,108.716,108.87,108.713,108.811,2299
2016.05.11,06:30,108.822,108.91,108.779,108.79,2241
2016.05.11,07:00,108.79,108.889,108.742,108.812,2248
2016.05.11,07:30,108.812,108.844,108.754,108.793,1778
2016.05.11,08:00,108.793,108.847,108.782,108.827,1901
2016.05.11,08:30,108.827,108.829,108.619,108.69,2795
2016.05.11,09:00,108.69,108.721,108.559,108.706,2941
2016.05.11,09:30,108.709,108.754,108.652,108.71,2298
2016.05.11,10:00,108.709,108.798,108.558,108.662,4092
2016.05.11,10:30,108.662,108.708,108.538,108.608,4515
2016.05.11,11:00,108.607,108.667,108.51,108.64,3543
2016.05.11,11:30,108.639,108.724,108.616,108.672,2963
2016.05.11,12:00,108.672,108.691,108.581,108.597,2273
2016.05.11,12:30,108.597,108.663,108.581,108.657,1983
2016.05.11,13:00,108.657,108.689,108.602,108.63,1960
2016.05.11,13:30,108.63,108.778,108.625,108.754,2168
2016.05.11,14:00,108.755,108.778,108.711,108.743,2677
2016.05.11,14:30,108.745,108.751,108.643,108.708,1957
2016.05.11,15:00,108.709,108.823,108.685,108.778,3833
2016.05.11,15:30,108.778,108.788,108.702,108.74,2667
2016.05.11,16:00,108.74,108.782,108.618,108.645,2791
2016.05.11,16:30,108.644,108.644,108.436,108.443,4173
2016.05.11,17:00,108.442,108.569,108.441,108.558,3214
2016.05.11,17:30,108.568,108.664,108.509,108.634,5027
2016.05.11,18:00,108.634,108.659,108.511,108.592,4295
2016.05.11,18:30,108.591,108.666,108.479,108.48,2793
2016.05.11,19:00,108.48,108.572,108.465,108.565,1990
2016.05.11,19:30,108.566,108.612,108.46,108.515,2017
2016.05.11,20:00,108.515,108.528,108.411,108.471,2024
2016.05.11,20:30,108.474,108.547,108.397,108.398,1934
2016.05.11,21:00,108.4,108.459,108.364,108.444,1804
2016.05.11,21:30,108.444,108.5,108.39,108.47,1740
2016.05.11,22:00,108.471,108.499,108.443,108.469,1525
2016.05.11,22:30,108.473,108.507,108.387,108.462,2375
2016.05.11,23:00,108.468,108.485,108.422,108.426,1111
2016.05.11,23:30,108.426,108.47,108.393,108.394,1068
2016.05.12,00:00,108.391,108.471,108.37,108.418,770
2016.05.12,00:30,108.422,108.485,108.413,108.457,820
2016.05.12,01:00,108.458,108.486,108.441,108.483,1491
2016.05.12,01:30,108.482,108.502,108.424,108.436,1386
