date,ignore,open,high,low,close,volume
2016.09.19,00:00,1.48994,1.49058,1.48935,1.49004,278
2016.09.19,00:30,1.48996,1.49094,1.48948,1.48964,284
2016.09.19,01:00,1.48974,1.48988,1.48913,1.48945,2407
2016.09.19,01:30,1.48965,1.48995,1.48885,1.48904,1728
2016.09.19,02:00,1.48904,1.48904,1.48654,1.48763,1700
2016.09.19,02:30,1.48762,1.48772,1.48623,1.48726,2380
2016.09.19,03:00,1.48727,1.48736,1.48576,1.4861,3067
2016.09.19,03:30,1.48611,1.48681,1.48537,1.48577,2388
2016.09.19,04:00,1.48576,1.48671,1.48399,1.48498,2645
2016.09.19,04:30,1.485,1.48518,1.48257,1.4833,2736
2016.09.19,05:00,1.4833,1.4833,1.48237,1.48259,2299
2016.09.19,05:30,1.4826,1.48267,1.48098,1.48234,2746
2016.09.19,06:00,1.48234,1.4827,1.48177,1.48226,2309
2016.09.19,06:30,1.48225,1.48264,1.48183,1.48187,1394
2016.09.19,07:00,1.48186,1.48211,1.48157,1.48199,1946
2016.09.19,07:30,1.48197,1.48271,1.4818,1.48257,1428
2016.09.19,08:00,1.48257,1.48292,1.48204,1.48228,1527
2016.09.19,08:30,1.48225,1.48225,1.48029,1.48071,2476
2016.09.19,09:00,1.48071,1.48099,1.47992,1.4805,3036
2016.09.19,09:30,1.48052,1.48155,1.48026,1.48135,2686
2016.09.19,10:00,1.48136,1.48162,1.48014,1.48038,4048
2016.09.19,10:30,1.48038,1.48128,1.47933,1.48081,3818
2016.09.19,11:00,1.48084,1.48085,1.47869,1.47877,3945
2016.09.19,11:30,1.47876,1.48001,1.47744,1.47985,3755
2016.09.19,12:00,1.47985,1.48089,1.47978,1.48045,2911
2016.09.19,12:30,1.48046,1.48052,1.47953,1.48008,2413
2016.09.19,13:00,1.48009,1.48011,1.47881,1.47898,2375
2016.09.19,13:30,1.47898,1.47991,1.47811,1.47953,2533
2016.09.19,14:00,1.47953,1.47986,1.47929,1.47975,2546
2016.09.19,14:30,1.47975,1.48018,1.47849,1.47888,2560
2016.09.19,15:00,1.47888,1.4795,1.47837,1.47886,3389
2016.09.19,15:30,1.47886,1.47932,1.47836,1.47927,3542
2016.09.19,16:00,1.47928,1.48049,1.47881,1.47916,3678
2016.09.19,16:30,1.47918,1.47927,1.47657,1.47701,5087
2016.09.19,17:00,1.47697,1.47854,1.47697,1.47833,4728
2016.09.19,17:30,1.47835,1.47991,1.47781,1.47909,4812
2016.09.19,18:00,1.47908,1.48019,1.47867,1.47922,4426
2016.09.19,18:30,1.47922,1.47933,1.47808,1.47869,3659
2016.09.19,19:00,1.47871,1.48018,1.47806,1.47888,3327
2016.09.19,19:30,1.47893,1.48038,1.47889,1.48025,2751
2016.09.19,20:00,1.48025,1.48066,1.47949,1.48059,2692
