date,ignore,open,high,low,close,volume
2016.09.26,0:00,1.70037,1.70236,1.70009,1.70141,429
2016.09.26,0:30,1.70134,1.70184,1.69918,1.70175,967
2016.09.26,1:00,1.70183,1.70305,1.70146,1.70282,1228
2016.09.26,1:30,1.70289,1.70304,1.70254,1.70269,1432
2016.09.26,2:00,1.7027,1.70543,1.70266,1.70528,2112
2016.09.26,2:30,1.70528,1.7054,1.70376,1.70411,1373
2016.09.26,3:00,1.70411,1.70449,1.70132,1.70185,1705
2016.09.26,3:30,1.70188,1.7026,1.70062,1.7026,1894
2016.09.26,4:00,1.7026,1.70373,1.70245,1.7035,1567
2016.09.26,4:30,1.70359,1.70621,1.70343,1.70583,2023
2016.09.26,5:00,1.70583,1.70587,1.70472,1.70515,1780
2016.09.26,5:30,1.70516,1.70604,1.70451,1.70529,2044
2016.09.26,6:00,1.70529,1.70553,1.70376,1.70472,1618
2016.09.26,6:30,1.70473,1.70547,1.70307,1.7033,1714
2016.09.26,7:00,1.70333,1.70399,1.70269,1.70381,1662
2016.09.26,7:30,1.70381,1.70484,1.70373,1.70462,1452
2016.09.26,8:00,1.70461,1.70474,1.70218,1.70247,1589
2016.09.26,8:30,1.70246,1.70264,1.70087,1.70185,2061
2016.09.26,9:00,1.70194,1.70227,1.69977,1.7001,2226
2016.09.26,9:30,1.70009,1.70032,1.69794,1.69935,2642
2016.09.26,10:00,1.69937,1.70043,1.69788,1.69894,4773
2016.09.26,10:30,1.69896,1.70011,1.6981,1.69942,5204
2016.09.26,11:00,1.69942,1.70024,1.69791,1.69846,5356
2016.09.26,11:30,1.69848,1.70024,1.69831,1.69936,3596
2016.09.26,12:00,1.69936,1.69967,1.69664,1.69711,3588
2016.09.26,12:30,1.69713,1.69837,1.69712,1.69738,3258
2016.09.26,13:00,1.69737,1.69829,1.6972,1.69729,3792
2016.09.26,13:30,1.69732,1.69805,1.69594,1.69595,3595
2016.09.26,14:00,1.69595,1.69618,1.69481,1.6949,3595
2016.09.26,14:30,1.6949,1.6954,1.69354,1.69435,4022
2016.09.26,15:00,1.69433,1.69447,1.6925,1.69317,5077
2016.09.26,15:30,1.69317,1.69505,1.69295,1.69373,4620
2016.09.26,16:00,1.69375,1.69531,1.69365,1.69435,3985
2016.09.26,16:30,1.69435,1.69585,1.69413,1.69529,5043
2016.09.26,17:00,1.69522,1.69571,1.69383,1.69459,5474
2016.09.26,17:30,1.69462,1.69859,1.69444,1.69803,4803
2016.09.26,18:00,1.69804,1.69804,1.69599,1.69719,5168
2016.09.26,18:30,1.69719,1.69873,1.6963,1.69805,4215
2016.09.26,19:00,1.69802,1.69847,1.69647,1.69684,4003
2016.09.26,19:30,1.69684,1.69875,1.69658,1.69867,3455
2016.09.26,20:00,1.69866,1.69883,1.69699,1.69706,2680
2016.09.26,20:30,1.69705,1.69786,1.69653,1.69776,2620
2016.09.26,21:00,1.69778,1.698,1.69733,1.69752,2147
2016.09.26,21:30,1.69752,1.69819,1.69713,1.69753,2266
2016.09.26,22:00,1.69745,1.69944,1.69738,1.6985,2243
2016.09.26,22:30,1.6985,1.69934,1.69789,1.69841,3163
2016.09.26,23:00,1.69842,1.69924,1.69823,1.69841,1739
2016.09.26,23:30,1.69841,1.69939,1.69817,1.69869,731
2016.09.27,0:00,1.69894,1.69904,1.69461,1.69896,207
2016.09.27,0:30,1.69875,1.69906,1.69824,1.69865,272
2016.09.27,1:00,1.69865,1.69875,1.69813,1.69857,624
2016.09.27,1:30,1.69856,1.69895,1.69813,1.69882,1299
2016.09.27,2:00,1.69883,1.69884,1.69802,1.69832,1290
2016.09.27,2:30,1.6983,1.69923,1.69793,1.69907,1476
2016.09.27,3:00,1.69911,1.70189,1.69859,1.70093,3509
2016.09.27,3:30,1.70093,1.70104,1.6983,1.69846,2157
2016.09.27,4:00,1.69846,1.69961,1.69734,1.69856,3355
2016.09.27,4:30,1.69855,1.69889,1.69638,1.69864,4113
2016.09.27,5:00,1.69866,1.69928,1.69676,1.69676,2833
2016.09.27,5:30,1.69677,1.69727,1.69403,1.69409,3170
2016.09.27,6:00,1.6941,1.69427,1.69254,1.69285,2235
2016.09.27,6:30,1.69287,1.69378,1.69244,1.69342,2615
2016.09.27,7:00,1.6935,1.69393,1.69311,1.69318,1897
2016.09.27,7:30,1.69316,1.69337,1.69209,1.69254,2204
2016.09.27,8:00,1.69255,1.69383,1.69221,1.69262,1807
2016.09.27,8:30,1.69262,1.69395,1.69176,1.69286,2424
2016.09.27,9:00,1.69283,1.69414,1.69163,1.69371,4759
2016.09.27,9:30,1.69371,1.69458,1.69024,1.69033,3980
2016.09.27,10:00,1.69033,1.69214,1.68866,1.68948,6401
2016.09.27,10:30,1.68945,1.68986,1.68768,1.6885,5773
2016.09.27,11:00,1.68852,1.68963,1.68701,1.68771,5525
2016.09.27,11:30,1.6877,1.69041,1.68751,1.6904,5038
2016.09.27,12:00,1.69038,1.6915,1.68915,1.68981,5856
2016.09.27,12:30,1.68979,1.6903,1.68846,1.68884,4340
2016.09.27,13:00,1.68883,1.68981,1.68824,1.68944,3325
2016.09.27,13:30,1.68945,1.69052,1.68862,1.68882,3671
2016.09.27,14:00,1.68882,1.69305,1.68872,1.69294,3956
2016.09.27,14:30,1.69293,1.69647,1.69229,1.69585,4388
2016.09.27,15:00,1.69582,1.69736,1.69413,1.69688,5901
2016.09.27,15:30,1.69688,1.69834,1.69415,1.69494,5630
2016.09.27,16:00,1.69495,1.69635,1.69369,1.69407,5891
2016.09.27,16:30,1.69407,1.69476,1.69228,1.69411,7039
2016.09.27,17:00,1.69404,1.69639,1.69337,1.6951,5865
2016.09.27,17:30,1.69504,1.69623,1.6946,1.69581,4634
2016.09.27,18:00,1.69584,1.69699,1.69523,1.69673,5095
2016.09.27,18:30,1.69675,1.69859,1.69633,1.6979,4610
2016.09.27,19:00,1.69791,1.70022,1.69724,1.69894,4919
2016.09.27,19:30,1.69894,1.70059,1.69877,1.69912,3709
2016.09.27,20:00,1.69911,1.69949,1.6976,1.69793,3810
2016.09.27,20:30,1.69798,1.69882,1.69767,1.69853,3281
2016.09.27,21:00,1.69855,1.6991,1.69801,1.69801,2933
2016.09.27,21:30,1.69801,1.69909,1.6972,1.69881,2538
2016.09.27,22:00,1.69878,1.69881,1.69733,1.69749,2283
2016.09.27,22:30,1.69749,1.69841,1.69694,1.6973,2155
2016.09.27,23:00,1.69733,1.6975,1.69691,1.69729,1261
2016.09.27,23:30,1.69725,1.69832,1.69672,1.69748,1696
2016.09.28,0:00,1.6982,1.69831,1.69685,1.69742,569
2016.09.28,0:30,1.69726,1.69871,1.69708,1.69771,1217
2016.09.28,1:00,1.69769,1.69831,1.69742,1.69794,1505
2016.09.28,1:30,1.69797,1.69821,1.69733,1.69741,1881
2016.09.28,2:00,1.69739,1.69819,1.69739,1.69775,1586
2016.09.28,2:30,1.69776,1.69794,1.69588,1.69623,1967
2016.09.28,3:00,1.69623,1.69629,1.69505,1.69554,3386
2016.09.28,3:30,1.69554,1.69554,1.69301,1.69361,3152
2016.09.28,4:00,1.69359,1.69537,1.69345,1.69486,3191
2016.09.28,4:30,1.69485,1.69546,1.6941,1.69467,2999
2016.09.28,5:00,1.69466,1.6953,1.69383,1.69429,2130
2016.09.28,5:30,1.6943,1.69527,1.69387,1.69507,2474
2016.09.28,6:00,1.69505,1.69545,1.69372,1.69503,2419
2016.09.28,6:30,1.69501,1.69541,1.69434,1.69541,1807
2016.09.28,7:00,1.69541,1.69541,1.69399,1.69405,1699
2016.09.28,7:30,1.69405,1.69449,1.69373,1.69376,2142
2016.09.28,8:00,1.69374,1.69429,1.69312,1.69354,1724
2016.09.28,8:30,1.69355,1.69497,1.69303,1.69339,2173
2016.09.28,9:00,1.69337,1.69661,1.69335,1.69577,3686
2016.09.28,9:30,1.69578,1.69603,1.69387,1.69422,3951
2016.09.28,10:00,1.69425,1.69579,1.69346,1.69416,5883
2016.09.28,10:30,1.69416,1.69629,1.69291,1.69436,4564
2016.09.28,11:00,1.69433,1.69495,1.6913,1.69345,5097
2016.09.28,11:30,1.69345,1.69407,1.69245,1.69383,4875
2016.09.28,12:00,1.69383,1.69427,1.69246,1.69347,4240
2016.09.28,12:30,1.6935,1.69523,1.69287,1.69521,3770
2016.09.28,13:00,1.6952,1.69636,1.69456,1.69569,3485
2016.09.28,13:30,1.69575,1.69877,1.6952,1.69793,4465
2016.09.28,14:00,1.69795,1.6991,1.69711,1.69907,3984
2016.09.28,14:30,1.69908,1.69981,1.69763,1.69779,3910
2016.09.28,15:00,1.69779,1.69861,1.6954,1.6954,4847
2016.09.28,15:30,1.69543,1.70064,1.6954,1.6997,5640
2016.09.28,16:00,1.69971,1.70015,1.6978,1.69788,4964
2016.09.28,16:30,1.69789,1.69795,1.69417,1.6947,5858
2016.09.28,17:00,1.69472,1.69619,1.69397,1.6951,6093
2016.09.28,17:30,1.6951,1.69843,1.69449,1.69734,7731
2016.09.28,18:00,1.69732,1.69859,1.6963,1.69703,6362
2016.09.28,18:30,1.69702,1.69829,1.69661,1.69673,4581
2016.09.28,19:00,1.69674,1.69904,1.6966,1.69815,5194
2016.09.28,19:30,1.69815,1.69851,1.69678,1.69756,3910
2016.09.28,20:00,1.69756,1.69781,1.69671,1.69676,3385
2016.09.28,20:30,1.69676,1.69681,1.69512,1.69559,3682
2016.09.28,21:00,1.69558,1.69616,1.69339,1.69356,6887
2016.09.28,21:30,1.69356,1.69457,1.6925,1.69366,6677
2016.09.28,22:00,1.6937,1.69494,1.6931,1.69428,3718
2016.09.28,22:30,1.69429,1.6947,1.69331,1.69362,3583
2016.09.28,23:00,1.6936,1.69371,1.69248,1.69251,1829
2016.09.28,23:30,1.69252,1.69347,1.69167,1.69171,1713
2016.09.29,0:00,1.69125,1.69276,1.69119,1.69271,195
2016.09.29,0:30,1.69271,1.69336,1.69264,1.69297,1812
2016.09.29,1:00,1.69303,1.69329,1.69195,1.69217,2195
2016.09.29,1:30,1.69221,1.69302,1.69155,1.6922,1819
2016.09.29,2:00,1.69217,1.69688,1.69184,1.69482,3012
2016.09.29,2:30,1.69487,1.69528,1.69416,1.69424,2945
2016.09.29,3:00,1.69421,1.69537,1.69421,1.69473,2722
2016.09.29,3:30,1.69473,1.69613,1.69423,1.69476,3205
2016.09.29,4:00,1.69476,1.69498,1.69088,1.69129,4950
2016.09.29,4:30,1.69126,1.69346,1.69059,1.69196,4508
2016.09.29,5:00,1.69206,1.69241,1.69126,1.69229,3356
2016.09.29,5:30,1.69228,1.69312,1.69194,1.69267,2088
2016.09.29,6:00,1.69269,1.69325,1.69168,1.69175,2012
2016.09.29,6:30,1.69175,1.69193,1.69095,1.69138,2065
2016.09.29,7:00,1.69138,1.69357,1.69109,1.69357,2726
2016.09.29,7:30,1.69354,1.69464,1.69316,1.69383,3113
2016.09.29,8:00,1.69385,1.6946,1.69341,1.69348,2208
2016.09.29,8:30,1.69349,1.69425,1.69298,1.69414,2451
2016.09.29,9:00,1.69418,1.69649,1.69326,1.69623,4130
2016.09.29,9:30,1.69623,1.6998,1.69535,1.69905,4837
