date,ignore,open,high,low,close,volume
2017.03.13,00:00,0.75455,0.75466,0.75426,0.75427,543
2017.03.13,00:30,0.75426,0.75436,0.75367,0.75373,1712
2017.03.13,01:00,0.75374,0.75398,0.75349,0.75391,963
2017.03.13,01:30,0.7539,0.75433,0.75381,0.75409,1786
2017.03.13,02:00,0.75409,0.75433,0.75341,0.75382,2242
2017.03.13,02:30,0.75382,0.75421,0.75344,0.75346,2166
2017.03.13,03:00,0.75346,0.75445,0.75334,0.75437,2095
2017.03.13,03:30,0.75436,0.75512,0.75436,0.75478,2033
2017.03.13,04:00,0.75478,0.75588,0.75467,0.75557,2169
2017.03.13,04:30,0.75559,0.75672,0.75553,0.75662,1794
2017.03.13,05:00,0.75661,0.75753,0.75658,0.75716,2115
2017.03.13,05:30,0.75716,0.75751,0.75686,0.7569,1752
2017.03.13,06:00,0.75688,0.75718,0.75653,0.75664,1395
2017.03.13,06:30,0.75664,0.75679,0.75631,0.75654,1265
2017.03.13,07:00,0.75655,0.75699,0.75636,0.75686,1640
2017.03.13,07:30,0.75688,0.75702,0.75647,0.75702,2036
2017.03.13,08:00,0.75701,0.75725,0.75641,0.75658,1775
2017.03.13,08:30,0.75659,0.75857,0.75647,0.75849,2983
2017.03.13,09:00,0.75849,0.75881,0.75755,0.75755,2987
2017.03.13,09:30,0.75756,0.75771,0.75687,0.75728,1961
2017.03.13,10:00,0.75728,0.75785,0.75722,0.75763,3187
2017.03.13,10:30,0.75763,0.75791,0.75716,0.75728,2898
2017.03.13,11:00,0.75727,0.75786,0.75716,0.75781,2807
2017.03.13,11:30,0.75779,0.75831,0.75768,0.75778,2471
2017.03.13,12:00,0.75776,0.75805,0.75718,0.75729,2041
2017.03.13,12:30,0.75728,0.75771,0.75706,0.75767,2217
2017.03.13,13:00,0.75767,0.7577,0.75702,0.75736,2182
2017.03.13,13:30,0.75736,0.75768,0.75669,0.75689,2297
2017.03.13,14:00,0.75688,0.75736,0.75644,0.75679,2272
2017.03.13,14:30,0.75679,0.75709,0.75653,0.75656,1975
2017.03.13,15:00,0.75657,0.75748,0.75656,0.75718,2025
2017.03.13,15:30,0.75717,0.75811,0.75716,0.75787,2663
2017.03.13,16:00,0.75788,0.75833,0.75765,0.75786,2393
2017.03.13,16:30,0.75787,0.75836,0.75763,0.7582,2426
2017.03.13,17:00,0.75819,0.75881,0.75788,0.75857,2740
2017.03.13,17:30,0.75859,0.75919,0.75797,0.75804,2899
2017.03.13,18:00,0.75799,0.75851,0.75777,0.7579,2744
2017.03.13,18:30,0.7579,0.75827,0.75775,0.75805,2051
2017.03.13,19:00,0.75805,0.75819,0.75779,0.75817,1914
2017.03.13,19:30,0.75818,0.75848,0.75802,0.75806,1294
2017.03.13,20:00,0.75806,0.75811,0.75743,0.75787,1255
2017.03.13,20:30,0.75787,0.75817,0.75778,0.75801,992
2017.03.13,21:00,0.75805,0.75807,0.75744,0.75747,1237
2017.03.13,21:30,0.75747,0.75767,0.75728,0.75749,2005
2017.03.13,22:00,0.75749,0.75754,0.75726,0.75727,977
2017.03.13,22:30,0.75727,0.75733,0.75695,0.75705,1350
2017.03.13,23:00,0.7569,0.75735,0.75681,0.75716,324
2017.03.13,23:30,0.75713,0.75717,0.75669,0.75702,884
2017.03.14,00:00,0.75702,0.75718,0.75692,0.75701,1003
2017.03.14,00:30,0.75701,0.75704,0.75651,0.75651,1116
2017.03.14,01:00,0.7565,0.75677,0.75649,0.75657,1608
2017.03.14,01:30,0.75657,0.75672,0.75625,0.75655,1048
2017.03.14,02:00,0.75655,0.75687,0.75643,0.75663,1988
2017.03.14,02:30,0.75664,0.75668,0.75495,0.75537,2678
2017.03.14,03:00,0.75536,0.75557,0.75501,0.75536,1828
2017.03.14,03:30,0.75537,0.75606,0.75537,0.75593,1786
2017.03.14,04:00,0.75593,0.75617,0.75532,0.75604,1829
2017.03.14,04:30,0.75604,0.75609,0.75555,0.75589,1564
2017.03.14,05:00,0.75587,0.75629,0.75556,0.75602,1264
2017.03.14,05:30,0.75603,0.75609,0.75569,0.75576,1164
2017.03.14,06:00,0.75576,0.75622,0.75575,0.75607,976
2017.03.14,06:30,0.75606,0.75626,0.75603,0.75618,1044
2017.03.14,07:00,0.75618,0.75639,0.75603,0.75635,1368
2017.03.14,07:30,0.75634,0.75638,0.75595,0.75629,1035
2017.03.14,08:00,0.75629,0.7563,0.75534,0.75558,2180
2017.03.14,08:30,0.75558,0.7559,0.75533,0.75571,1653
2017.03.14,09:00,0.75573,0.75576,0.75456,0.755,2619
2017.03.14,09:30,0.75499,0.75513,0.75431,0.75449,2643
2017.03.14,10:00,0.75449,0.75481,0.75398,0.7548,2752
2017.03.14,10:30,0.75478,0.75544,0.75459,0.75533,1875
2017.03.14,11:00,0.75533,0.75542,0.75478,0.75528,2041
2017.03.14,11:30,0.75528,0.75578,0.75507,0.75544,2231
2017.03.14,12:00,0.75548,0.75596,0.75526,0.75585,1981
2017.03.14,12:30,0.75586,0.75607,0.75556,0.75581,2031
2017.03.14,13:00,0.75581,0.75643,0.75533,0.75625,2260
2017.03.14,13:30,0.75623,0.75664,0.75539,0.75542,2355
2017.03.14,14:00,0.75543,0.75585,0.75521,0.75561,2842
2017.03.14,14:30,0.7556,0.75575,0.75517,0.75542,2844
2017.03.14,15:00,0.75541,0.75583,0.75508,0.75532,2277
2017.03.14,15:30,0.75532,0.75566,0.7548,0.75524,3267
2017.03.14,16:00,0.75524,0.75615,0.75519,0.75614,3054
2017.03.14,16:30,0.75619,0.75673,0.75598,0.75623,2301
2017.03.14,17:00,0.75623,0.75682,0.756,0.7564,3039
2017.03.14,17:30,0.75634,0.75792,0.75632,0.75739,2839
2017.03.14,18:00,0.75738,0.75775,0.75677,0.75686,2892
2017.03.14,18:30,0.75686,0.75693,0.75654,0.75663,1347
2017.03.14,19:00,0.75664,0.75699,0.75627,0.75679,1947
2017.03.14,19:30,0.75678,0.7568,0.75634,0.75651,1557
2017.03.14,20:00,0.75651,0.7569,0.75627,0.75668,1563
2017.03.14,20:30,0.75668,0.75699,0.7564,0.75654,1624
2017.03.14,21:00,0.75653,0.75656,0.75585,0.75647,1769
2017.03.14,21:30,0.75646,0.75666,0.75609,0.75632,2133
2017.03.14,22:00,0.75632,0.75635,0.75567,0.7558,1032
2017.03.14,22:30,0.7558,0.75601,0.75568,0.7559,702
2017.03.14,23:00,0.75576,0.75601,0.75548,0.75574,437
2017.03.14,23:30,0.75573,0.75598,0.75568,0.75592,575
2017.03.15,00:00,0.75592,0.75599,0.75566,0.75566,584
2017.03.15,00:30,0.75568,0.75597,0.75568,0.7558,997
2017.03.15,01:00,0.75578,0.75642,0.75576,0.75629,1110
2017.03.15,01:30,0.75628,0.75664,0.75613,0.75648,1310
2017.03.15,02:00,0.75648,0.75664,0.75593,0.75618,1446
2017.03.15,02:30,0.75617,0.75617,0.75547,0.75571,2042
2017.03.15,03:00,0.75573,0.7562,0.75573,0.75588,1948
2017.03.15,03:30,0.75589,0.7566,0.75555,0.75642,2143
2017.03.15,04:00,0.75642,0.75725,0.75637,0.75698,2091
2017.03.15,04:30,0.75698,0.75719,0.75665,0.75677,1421
2017.03.15,05:00,0.75677,0.75697,0.75644,0.75691,1246
2017.03.15,05:30,0.7569,0.75693,0.7566,0.75689,1114
2017.03.15,06:00,0.75688,0.75744,0.75678,0.7573,1321
2017.03.15,06:30,0.75732,0.7577,0.75718,0.75731,1795
2017.03.15,07:00,0.75731,0.75733,0.75695,0.75717,937
2017.03.15,07:30,0.75717,0.75734,0.75697,0.75713,998
2017.03.15,08:00,0.75713,0.75833,0.75687,0.75788,2643
2017.03.15,08:30,0.75787,0.75835,0.75786,0.758,1736
2017.03.15,09:00,0.75801,0.75825,0.75738,0.75746,2118
2017.03.15,09:30,0.75746,0.75826,0.75746,0.75814,1822
