date,ignore,open,high,low,close,volume
2017.06.05,00:00,1.23817,1.23972,1.23655,1.23897,256
2017.06.05,00:30,1.23873,1.23935,1.2384,1.2391,1037
2017.06.05,01:00,1.23904,1.24003,1.23869,1.23974,2759
2017.06.05,01:30,1.23972,1.23998,1.2391,1.23924,1965
2017.06.05,02:00,1.23926,1.2399,1.23913,1.23916,1489
2017.06.05,02:30,1.23917,1.23945,1.23891,1.23913,1386
2017.06.05,03:00,1.23912,1.23991,1.23884,1.23981,1662
2017.06.05,03:30,1.23982,1.23994,1.23938,1.23939,879
2017.06.05,04:00,1.23941,1.23991,1.23928,1.23956,1225
2017.06.05,04:30,1.23957,1.24006,1.23941,1.23992,1303
2017.06.05,05:00,1.23999,1.2403,1.23962,1.23989,1039
2017.06.05,05:30,1.23989,1.24018,1.23946,1.23965,1122
2017.06.05,06:00,1.23964,1.24015,1.23906,1.24007,1031
2017.06.05,06:30,1.24008,1.24017,1.23986,1.23994,1336
2017.06.05,07:00,1.23993,1.24027,1.23985,1.24002,821
2017.06.05,07:30,1.24002,1.24094,1.23996,1.24079,862
2017.06.05,08:00,1.24078,1.24132,1.24073,1.2409,1541
2017.06.05,08:30,1.2409,1.24134,1.24064,1.24122,1126
2017.06.05,09:00,1.24125,1.2417,1.24065,1.24159,1866
2017.06.05,09:30,1.24161,1.24163,1.23991,1.24029,2027
2017.06.05,10:00,1.24032,1.24127,1.23996,1.24056,3092
2017.06.05,10:30,1.24056,1.24223,1.2399,1.24209,2717
2017.06.05,11:00,1.24211,1.24234,1.24115,1.24159,2411
2017.06.05,11:30,1.2412,1.24193,1.24005,1.24179,3430
2017.06.05,12:00,1.24179,1.24417,1.24128,1.24315,3434
2017.06.05,12:30,1.24318,1.24463,1.24266,1.24382,2646
2017.06.05,13:00,1.24382,1.24556,1.24356,1.2453,2852
2017.06.05,13:30,1.24523,1.24623,1.24478,1.24525,3385
2017.06.05,14:00,1.24526,1.24645,1.24519,1.24542,2599
2017.06.05,14:30,1.24542,1.24694,1.24521,1.2464,2930
2017.06.05,15:00,1.2464,1.24676,1.24539,1.24555,2555
2017.06.05,15:30,1.24554,1.24628,1.2452,1.24563,2308
2017.06.05,16:00,1.2457,1.24846,1.24502,1.24783,3617
2017.06.05,16:30,1.24784,1.24856,1.24683,1.24799,3479
2017.06.05,17:00,1.24802,1.24852,1.2463,1.24668,3588
2017.06.05,17:30,1.24667,1.24797,1.24666,1.24712,3321
2017.06.05,18:00,1.2472,1.24748,1.24659,1.24705,2607
2017.06.05,18:30,1.24708,1.24785,1.24705,1.2472,2051
2017.06.05,19:00,1.24718,1.24787,1.24689,1.24764,1756
2017.06.05,19:30,1.24765,1.2479,1.24706,1.24753,1531
2017.06.05,20:00,1.24752,1.24772,1.24642,1.24652,1638
2017.06.05,20:30,1.24652,1.24657,1.24601,1.24615,1173
2017.06.05,21:00,1.24614,1.24623,1.24563,1.24565,1100
2017.06.05,21:30,1.24566,1.24592,1.24513,1.24516,1503
2017.06.05,22:00,1.24517,1.24608,1.24516,1.24602,1094
2017.06.05,22:30,1.24603,1.24604,1.24546,1.24587,1205
2017.06.05,23:00,1.24589,1.24591,1.24492,1.24497,796
2017.06.05,23:30,1.24497,1.24536,1.24484,1.24536,585
2017.06.06,00:00,1.24485,1.24521,1.24483,1.24511,157
2017.06.06,00:30,1.24511,1.24564,1.24416,1.24474,2196
2017.06.06,01:00,1.24474,1.24535,1.24443,1.24482,1121
2017.06.06,01:30,1.24482,1.24527,1.24477,1.24515,612
2017.06.06,02:00,1.24514,1.24548,1.24498,1.24521,818
2017.06.06,02:30,1.24522,1.24549,1.24501,1.24518,853
2017.06.06,03:00,1.24522,1.2455,1.24503,1.24508,1252
