date,ignore,open,high,low,close,volume
2017.06.26,00:00,1.08393,1.08438,1.08367,1.08407,249
2017.06.26,00:30,1.08407,1.08525,1.084,1.08469,277
2017.06.26,01:00,1.08472,1.08529,1.08461,1.08521,1353
2017.06.26,01:30,1.08522,1.0853,1.08515,1.08519,369
2017.06.26,02:00,1.08515,1.08526,1.08509,1.08526,143
2017.06.26,02:30,1.08526,1.08539,1.08518,1.08532,245
2017.06.26,03:00,1.08533,1.08538,1.0851,1.08532,716
2017.06.26,03:30,1.08531,1.08537,1.08524,1.08527,470
2017.06.26,04:00,1.08527,1.0857,1.08522,1.08548,1153
2017.06.26,04:30,1.08548,1.08548,1.0853,1.08535,766
2017.06.26,05:00,1.08535,1.08545,1.08526,1.08531,556
2017.06.26,05:30,1.08531,1.08533,1.08522,1.08523,785
2017.06.26,06:00,1.08523,1.0854,1.08521,1.08538,586
2017.06.26,06:30,1.08539,1.08569,1.08538,1.0856,626
2017.06.26,07:00,1.0856,1.08567,1.08551,1.08558,375
2017.06.26,07:30,1.08558,1.08562,1.08545,1.0855,445
2017.06.26,08:00,1.0855,1.08571,1.08541,1.08555,622
2017.06.26,08:30,1.08555,1.08555,1.08529,1.08531,356
2017.06.26,09:00,1.08531,1.08544,1.0852,1.08523,1029
2017.06.26,09:30,1.08523,1.08579,1.0851,1.08576,1264
2017.06.26,10:00,1.08575,1.08612,1.08554,1.08575,1951
2017.06.26,10:30,1.08574,1.086,1.08542,1.08548,1985
2017.06.26,11:00,1.08552,1.08606,1.08552,1.08589,2846
2017.06.26,11:30,1.0859,1.08645,1.08582,1.08618,1953
2017.06.26,12:00,1.08617,1.08686,1.0859,1.08672,1731
2017.06.26,12:30,1.08671,1.088,1.08662,1.08781,2074
2017.06.26,13:00,1.08781,1.08816,1.08762,1.08778,1806
2017.06.26,13:30,1.08777,1.08808,1.08771,1.08793,1338
2017.06.26,14:00,1.08793,1.088,1.08765,1.08784,1452
2017.06.26,14:30,1.08784,1.08802,1.08761,1.08801,1341
2017.06.26,15:00,1.088,1.08822,1.08776,1.08785,1848
2017.06.26,15:30,1.08786,1.08866,1.08771,1.08799,4606
2017.06.26,16:00,1.08799,1.08824,1.08731,1.08759,3130
2017.06.26,16:30,1.08758,1.08764,1.08721,1.08728,2378
2017.06.26,17:00,1.08728,1.08755,1.08709,1.0873,2270
2017.06.26,17:30,1.0873,1.08756,1.08693,1.08706,2915
2017.06.26,18:00,1.08707,1.08746,1.08677,1.08707,2239
2017.06.26,18:30,1.08707,1.08711,1.08665,1.08665,2418
2017.06.26,19:00,1.08666,1.08714,1.08647,1.08674,1641
2017.06.26,19:30,1.08673,1.08715,1.08649,1.0871,1479
2017.06.26,20:00,1.0871,1.08718,1.08672,1.08697,1091
2017.06.26,20:30,1.08697,1.08721,1.08667,1.08683,977
2017.06.26,21:00,1.08682,1.08703,1.08672,1.08683,1086
2017.06.26,21:30,1.08683,1.08733,1.0867,1.08718,1537
2017.06.26,22:00,1.08718,1.08728,1.08708,1.08712,721
2017.06.26,22:30,1.08714,1.08726,1.08699,1.08703,735
2017.06.26,23:00,1.08704,1.08724,1.08691,1.08717,609
2017.06.26,23:30,1.08718,1.08735,1.0869,1.08703,838
2017.06.27,00:00,1.08632,1.08738,1.08632,1.08669,654
2017.06.27,00:30,1.08673,1.08716,1.08633,1.08653,490
2017.06.27,01:00,1.08662,1.08738,1.08662,1.08715,1018
2017.06.27,01:30,1.08715,1.08732,1.08712,1.08717,301
2017.06.27,02:00,1.08717,1.08723,1.0871,1.08718,173
2017.06.27,02:30,1.08717,1.08744,1.08715,1.08738,267
2017.06.27,03:00,1.08741,1.08741,1.0871,1.08714,702
2017.06.27,03:30,1.08715,1.08722,1.08703,1.08718,614
2017.06.27,04:00,1.08717,1.08733,1.08705,1.08726,787
2017.06.27,04:30,1.08726,1.08739,1.08716,1.08735,748
2017.06.27,05:00,1.08736,1.08748,1.08728,1.08746,501
2017.06.27,05:30,1.08745,1.0875,1.08724,1.08736,538
2017.06.27,06:00,1.08735,1.08766,1.08732,1.08748,1053
2017.06.27,06:30,1.08748,1.08757,1.08738,1.08749,490
2017.06.27,07:00,1.08749,1.08758,1.08725,1.08746,580
2017.06.27,07:30,1.08746,1.08759,1.08737,1.08751,320
2017.06.27,08:00,1.08751,1.08762,1.08739,1.08762,529
2017.06.27,08:30,1.08761,1.08826,1.08759,1.08822,548
2017.06.27,09:00,1.08821,1.08874,1.08805,1.08868,1308
2017.06.27,09:30,1.08867,1.08894,1.08841,1.08851,1752
2017.06.27,10:00,1.0885,1.08897,1.08834,1.08894,1869
2017.06.27,10:30,1.08893,1.08893,1.08805,1.08811,2134
2017.06.27,11:00,1.08812,1.08943,1.08793,1.08816,6203
2017.06.27,11:30,1.08818,1.08847,1.08756,1.08774,4253
2017.06.27,12:00,1.08773,1.08798,1.08725,1.08727,2815
2017.06.27,12:30,1.08726,1.08812,1.08726,1.0877,2892
2017.06.27,13:00,1.08769,1.08817,1.08754,1.08807,2209
2017.06.27,13:30,1.08807,1.08822,1.08741,1.08771,2430
2017.06.27,14:00,1.08773,1.08834,1.08747,1.08784,2423
2017.06.27,14:30,1.08785,1.08838,1.08765,1.08819,2361
2017.06.27,15:00,1.08819,1.0885,1.08805,1.08834,2858
2017.06.27,15:30,1.08834,1.08905,1.08828,1.08892,2291
2017.06.27,16:00,1.08891,1.08913,1.08855,1.08892,2352
2017.06.27,16:30,1.08892,1.08924,1.08781,1.08816,3676
2017.06.27,17:00,1.08813,1.0889,1.08797,1.08846,3346
2017.06.27,17:30,1.08847,1.08921,1.08828,1.08899,2597
2017.06.27,18:00,1.08899,1.08921,1.08865,1.08866,3185
2017.06.27,18:30,1.08865,1.08943,1.08865,1.0893,2955
2017.06.27,19:00,1.08929,1.08945,1.08855,1.08858,3096
2017.06.27,19:30,1.08857,1.08871,1.08831,1.08868,2194
2017.06.27,20:00,1.08868,1.08935,1.08859,1.08914,3001
2017.06.27,20:30,1.08914,1.08922,1.0887,1.08874,2365
2017.06.27,21:00,1.08874,1.089,1.08856,1.08862,2158
2017.06.27,21:30,1.08862,1.08895,1.08856,1.08887,1700
2017.06.27,22:00,1.08887,1.089,1.08847,1.08854,1432
2017.06.27,22:30,1.08857,1.08899,1.08846,1.0889,1375
2017.06.27,23:00,1.0889,1.089,1.08875,1.08887,984
2017.06.27,23:30,1.08885,1.0891,1.08872,1.08886,1479
2017.06.28,00:00,1.08852,1.08871,1.08813,1.0882,220
2017.06.28,00:30,1.08818,1.08887,1.08808,1.08848,395
2017.06.28,01:00,1.08848,1.08893,1.08826,1.08887,852
2017.06.28,01:30,1.08885,1.08907,1.08858,1.0888,1004
2017.06.28,02:00,1.0888,1.08888,1.08861,1.08875,524
2017.06.28,02:30,1.08875,1.08894,1.08864,1.0889,550
2017.06.28,03:00,1.0889,1.08903,1.08871,1.08898,1183
2017.06.28,03:30,1.08898,1.08919,1.08889,1.08914,1250
2017.06.28,04:00,1.08913,1.08915,1.08895,1.08912,1001
2017.06.28,04:30,1.08911,1.08934,1.08884,1.0892,1836
2017.06.28,05:00,1.08921,1.08936,1.08906,1.08936,1352
2017.06.28,05:30,1.08935,1.08947,1.08922,1.08923,1176
2017.06.28,06:00,1.08924,1.08941,1.0892,1.08927,806
2017.06.28,06:30,1.08928,1.08937,1.08923,1.08928,538
2017.06.28,07:00,1.08929,1.08965,1.0892,1.08959,669
2017.06.28,07:30,1.0896,1.08977,1.08949,1.08962,774
2017.06.28,08:00,1.08962,1.08983,1.08947,1.08963,875
2017.06.28,08:30,1.08964,1.0904,1.0895,1.0901,1427
2017.06.28,09:00,1.0901,1.0909,1.09007,1.09035,2569
2017.06.28,09:30,1.09036,1.09083,1.08996,1.08996,2632
2017.06.28,10:00,1.08996,1.09064,1.08976,1.09055,3980
2017.06.28,10:30,1.09056,1.09241,1.09052,1.09165,3871
2017.06.28,11:00,1.09166,1.09236,1.09117,1.09188,4059
2017.06.28,11:30,1.09189,1.09225,1.09104,1.09107,3233
2017.06.28,12:00,1.09105,1.09131,1.09045,1.09104,3050
2017.06.28,12:30,1.09105,1.09135,1.091,1.0912,2133
