date,ignore,open,high,low,close,volume
2017.07.10,00:00,82.84,82.933,82.658,82.932,55
2017.07.10,00:30,82.899,82.979,82.824,82.904,1231
2017.07.10,01:00,82.904,82.965,82.884,82.955,1911
2017.07.10,01:30,82.955,82.966,82.906,82.929,655
2017.07.10,02:00,82.928,82.951,82.855,82.885,749
2017.07.10,02:30,82.886,82.94,82.881,82.94,659
2017.07.10,03:00,82.938,82.938,82.85,82.85,1403
2017.07.10,03:30,82.851,82.972,82.839,82.954,1748
2017.07.10,04:00,82.954,83.027,82.938,82.982,1697
2017.07.10,04:30,82.983,82.988,82.916,82.983,1001
2017.07.10,05:00,82.984,83.013,82.935,83.004,1304
2017.07.10,05:30,83.003,83.034,82.992,82.998,804
2017.07.10,06:00,82.999,83.031,82.983,83.018,829
2017.07.10,06:30,83.018,83.067,83.013,83.035,921
2017.07.10,07:00,83.035,83.047,82.992,83.022,927
2017.07.10,07:30,83.022,83.059,83.022,83.037,888
2017.07.10,08:00,83.037,83.105,83.009,83.071,1190
2017.07.10,08:30,83.07,83.111,83.037,83.08,1415
2017.07.10,09:00,83.082,83.143,83.061,83.094,2480
2017.07.10,09:30,83.095,83.15,83.058,83.114,2170
2017.07.10,10:00,83.112,83.125,83.053,83.096,2834
2017.07.10,10:30,83.096,83.117,83.064,83.093,2702
2017.07.10,11:00,83.094,83.122,83.04,83.081,2733
2017.07.10,11:30,83.082,83.124,83.036,83.044,2426
2017.07.10,12:00,83.043,83.069,82.992,83.018,2465
2017.07.10,12:30,83.017,83.034,82.964,82.998,2536
2017.07.10,13:00,83.001,83.033,82.985,82.992,1787
2017.07.10,13:30,82.994,83.027,82.982,82.988,1410
2017.07.10,14:00,82.989,83.024,82.971,82.986,2047
2017.07.10,14:30,82.985,83.025,82.931,82.951,2519
2017.07.10,15:00,82.951,83.059,82.943,83.049,2662
2017.07.10,15:30,83.05,83.054,82.981,83.0,2225
2017.07.10,16:00,83.0,83.017,82.967,82.997,2078
2017.07.10,16:30,82.998,83.071,82.97,83.057,3280
2017.07.10,17:00,83.058,83.074,82.999,83.006,3074
2017.07.10,17:30,83.009,83.015,82.928,82.98,3997
2017.07.10,18:00,82.978,82.996,82.898,82.92,3563
2017.07.10,18:30,82.921,82.932,82.862,82.91,2195
2017.07.10,19:00,82.911,82.965,82.907,82.931,1598
2017.07.10,19:30,82.93,82.954,82.928,82.939,1083
2017.07.10,20:00,82.939,82.974,82.934,82.953,1311
2017.07.10,20:30,82.952,82.998,82.95,82.982,849
2017.07.10,21:00,82.983,82.989,82.947,82.952,1058
2017.07.10,21:30,82.95,82.999,82.932,82.986,1326
2017.07.10,22:00,82.98,83.006,82.927,82.947,1733
2017.07.10,22:30,82.948,82.978,82.916,82.972,1449
2017.07.10,23:00,82.973,82.983,82.944,82.97,1350
2017.07.10,23:30,82.973,82.982,82.94,82.945,382
2017.07.11,00:00,82.926,82.968,82.924,82.954,655
2017.07.11,00:30,82.953,82.968,82.893,82.9,2515
2017.07.11,01:00,82.898,82.944,82.876,82.891,1111
2017.07.11,01:30,82.891,82.92,82.736,82.743,933
2017.07.11,02:00,82.751,82.775,82.664,82.735,1017
2017.07.11,02:30,82.734,82.749,82.712,82.717,901
2017.07.11,03:00,82.719,82.881,82.693,82.881,2420
2017.07.11,03:30,82.88,82.892,82.791,82.793,1994
2017.07.11,04:00,82.793,82.798,82.57,82.599,2691
2017.07.11,04:30,82.599,82.659,82.58,82.592,2043
2017.07.11,05:00,82.591,82.693,82.586,82.651,1609
2017.07.11,05:30,82.652,82.722,82.637,82.667,1499
2017.07.11,06:00,82.666,82.753,82.656,82.686,1127
2017.07.11,06:30,82.686,82.697,82.62,82.628,1350
2017.07.11,07:00,82.629,82.691,82.572,82.625,2032
2017.07.11,07:30,82.627,82.729,82.582,82.687,1649
2017.07.11,08:00,82.69,82.752,82.664,82.722,2354
2017.07.11,08:30,82.721,82.724,82.657,82.682,1797
2017.07.11,09:00,82.683,82.8,82.645,82.782,2316
2017.07.11,09:30,82.78,82.79,82.692,82.701,2014
2017.07.11,10:00,82.702,82.728,82.671,82.704,3072
2017.07.11,10:30,82.706,82.708,82.605,82.605,2650
2017.07.11,11:00,82.607,82.714,82.574,82.643,2801
2017.07.11,11:30,82.643,82.709,82.613,82.635,2396
2017.07.11,12:00,82.636,82.661,82.59,82.602,1936
2017.07.11,12:30,82.602,82.623,82.475,82.487,2350
2017.07.11,13:00,82.49,82.524,82.487,82.495,1342
2017.07.11,13:30,82.496,82.521,82.47,82.489,1701
2017.07.11,14:00,82.488,82.518,82.462,82.493,1438
2017.07.11,14:30,82.494,82.511,82.469,82.47,1327
2017.07.11,15:00,82.47,82.606,82.465,82.598,2440
2017.07.11,15:30,82.599,82.646,82.517,82.525,2594
2017.07.11,16:00,82.524,82.584,82.518,82.573,2753
2017.07.11,16:30,82.571,82.59,82.524,82.531,3034
2017.07.11,17:00,82.532,82.548,82.396,82.435,3573
2017.07.11,17:30,82.435,82.496,82.405,82.466,3124
2017.07.11,18:00,82.466,82.508,82.188,82.247,4980
2017.07.11,18:30,82.245,82.356,82.233,82.306,4023
2017.07.11,19:00,82.309,82.358,82.22,82.223,2893
2017.07.11,19:30,82.223,82.315,82.154,82.279,4115
2017.07.11,20:00,82.279,82.326,82.269,82.288,1641
2017.07.11,20:30,82.289,82.442,82.25,82.386,3900
2017.07.11,21:00,82.387,82.423,82.36,82.376,2127
2017.07.11,21:30,82.376,82.402,82.351,82.379,1765
2017.07.11,22:00,82.379,82.394,82.325,82.334,1551
2017.07.11,22:30,82.334,82.362,82.235,82.238,1965
2017.07.11,23:00,82.238,82.302,82.233,82.255,1333
2017.07.11,23:30,82.256,82.277,82.219,82.277,793
2017.07.12,00:00,82.28,82.32,82.245,82.304,691
2017.07.12,00:30,82.304,82.317,82.288,82.314,1512
2017.07.12,01:00,82.314,82.335,82.261,82.267,1239
2017.07.12,01:30,82.268,82.299,82.222,82.279,1176
2017.07.12,02:00,82.278,82.282,82.128,82.167,1047
2017.07.12,02:30,82.168,82.173,82.096,82.126,1006
2017.07.12,03:00,82.126,82.168,82.03,82.158,2403
2017.07.12,03:30,82.156,82.187,82.119,82.156,2042
2017.07.12,04:00,82.154,82.16,82.064,82.083,2585
2017.07.12,04:30,82.083,82.124,82.071,82.102,1810
2017.07.12,05:00,82.101,82.16,82.071,82.152,1789
2017.07.12,05:30,82.15,82.169,81.991,82.037,2140
2017.07.12,06:00,82.036,82.114,82.017,82.056,2832
2017.07.12,06:30,82.055,82.076,82.007,82.069,2150
