date,ignore,open,high,low,close,volume
2018.07.23,00:00,84.77,84.842,84.751,84.807,309
2018.07.23,00:30,84.807,84.841,84.7,84.749,1932
2018.07.23,01:00,84.742,84.893,84.742,84.851,3847
2018.07.23,01:30,84.85,84.866,84.779,84.827,732
2018.07.23,02:00,84.822,84.862,84.736,84.746,1754
2018.07.23,02:30,84.746,84.762,84.634,84.637,1816
2018.07.23,03:00,84.639,84.653,84.48,84.497,3685
2018.07.23,03:30,84.497,84.594,84.496,84.52,2763
2018.07.23,04:00,84.519,84.663,84.495,84.548,3732
2018.07.23,04:30,84.548,84.554,84.403,84.449,3737
2018.07.23,05:00,84.449,84.5,84.424,84.471,2403
2018.07.23,05:30,84.47,84.484,84.429,84.459,2167
2018.07.23,06:00,84.459,84.477,84.444,84.458,1681
2018.07.23,06:30,84.458,84.461,84.425,84.436,1867
2018.07.23,07:00,84.436,84.464,84.424,84.432,1325
2018.07.23,07:30,84.432,84.46,84.431,84.451,845
2018.07.23,08:00,84.451,84.509,84.432,84.461,1751
2018.07.23,08:30,84.461,84.503,84.457,84.466,1877
2018.07.23,09:00,84.465,84.507,84.439,84.477,2430
2018.07.23,09:30,84.476,84.505,84.434,84.505,2005
2018.07.23,10:00,84.505,84.555,84.457,84.462,3024
2018.07.23,10:30,84.462,84.462,84.404,84.439,2048
2018.07.23,11:00,84.438,84.495,84.42,84.493,1739
2018.07.23,11:30,84.493,84.546,84.473,84.495,2001
2018.07.23,12:00,84.495,84.495,84.429,84.468,1747
2018.07.23,12:30,84.47,84.534,84.453,84.483,1764
2018.07.23,13:00,84.483,84.572,84.474,84.563,1344
2018.07.23,13:30,84.563,84.594,84.536,84.546,1344
2018.07.23,14:00,84.546,84.596,84.516,84.537,1421
2018.07.23,14:30,84.538,84.577,84.505,84.573,989
2018.07.23,15:00,84.573,84.625,84.557,84.578,1457
2018.07.23,15:30,84.578,84.685,84.578,84.643,2294
2018.07.23,16:00,84.642,84.646,84.554,84.603,2752
2018.07.23,16:30,84.603,84.648,84.581,84.602,3579
2018.07.23,17:00,84.602,84.685,84.574,84.627,2895
2018.07.23,17:30,84.628,84.756,84.605,84.734,2649
2018.07.23,18:00,84.735,84.765,84.627,84.637,2576
2018.07.23,18:30,84.637,84.687,84.604,84.664,2370
2018.07.23,19:00,84.664,84.703,84.6,84.659,2122
2018.07.23,19:30,84.659,84.721,84.655,84.686,1513
2018.07.23,20:00,84.686,84.715,84.603,84.615,1698
2018.07.23,20:30,84.615,84.644,84.573,84.574,1855
2018.07.23,21:00,84.575,84.621,84.563,84.596,1777
2018.07.23,21:30,84.594,84.618,84.552,84.605,1837
2018.07.23,22:00,84.605,84.632,84.558,84.57,1459
2018.07.23,22:30,84.569,84.627,84.568,84.621,1427
2018.07.23,23:00,84.621,84.629,84.535,84.561,809
2018.07.23,23:30,84.561,84.58,84.503,84.527,977
2018.07.24,00:00,84.516,84.539,84.459,84.46,4203
2018.07.24,00:30,84.459,84.5,84.456,84.489,4810
2018.07.24,01:00,84.487,84.529,84.479,84.516,1339
2018.07.24,01:30,84.517,84.558,84.514,84.546,926
2018.07.24,02:00,84.544,84.635,84.544,84.602,1267
2018.07.24,02:30,84.602,84.639,84.578,84.617,1218
2018.07.24,03:00,84.618,84.618,84.447,84.493,1924
2018.07.24,03:30,84.491,84.494,84.4,84.421,1887
2018.07.24,04:00,84.42,84.423,84.253,84.315,2648
2018.07.24,04:30,84.315,84.442,84.314,84.43,2614
2018.07.24,05:00,84.43,84.47,84.425,84.431,1870
2018.07.24,05:30,84.431,84.461,84.417,84.438,1059
2018.07.24,06:00,84.438,84.483,84.431,84.475,1187
2018.07.24,06:30,84.475,84.51,84.463,84.463,1258
2018.07.24,07:00,84.463,84.492,84.443,84.482,914
2018.07.24,07:30,84.481,84.505,84.443,84.445,1067
2018.07.24,08:00,84.445,84.476,84.44,84.472,958
2018.07.24,08:30,84.472,84.482,84.448,84.454,697
2018.07.24,09:00,84.454,84.484,84.444,84.479,1488
2018.07.24,09:30,84.48,84.534,84.409,84.414,2451
2018.07.24,10:00,84.414,84.419,84.348,84.366,2721
2018.07.24,10:30,84.366,84.432,84.358,84.41,2580
2018.07.24,11:00,84.41,84.438,84.385,84.4,1914
2018.07.24,11:30,84.4,84.464,84.4,84.425,1339
2018.07.24,12:00,84.426,84.46,84.403,84.423,1670
2018.07.24,12:30,84.422,84.43,84.394,84.417,1003
2018.07.24,13:00,84.418,84.481,84.403,84.463,1662
2018.07.24,13:30,84.463,84.506,84.446,84.465,1404
2018.07.24,14:00,84.465,84.484,84.418,84.423,1457
2018.07.24,14:30,84.423,84.463,84.392,84.447,1742
2018.07.24,15:00,84.447,84.532,84.42,84.497,2265
2018.07.24,15:30,84.497,84.525,84.387,84.402,2406
2018.07.24,16:00,84.406,84.439,84.366,84.404,2305
2018.07.24,16:30,84.404,84.496,84.402,84.45,3425
2018.07.24,17:00,84.45,84.525,84.429,84.462,3225
2018.07.24,17:30,84.461,84.517,84.43,84.502,2500
2018.07.24,18:00,84.504,84.516,84.421,84.486,2912
2018.07.24,18:30,84.486,84.569,84.472,84.511,2348
2018.07.24,19:00,84.511,84.538,84.488,84.49,1683
2018.07.24,19:30,84.49,84.557,84.475,84.54,1750
2018.07.24,20:00,84.54,84.579,84.492,84.502,1953
2018.07.24,20:30,84.504,84.505,84.417,84.438,1821
2018.07.24,21:00,84.439,84.491,84.417,84.486,1478
2018.07.24,21:30,84.484,84.516,84.452,84.508,1959
2018.07.24,22:00,84.508,84.519,84.467,84.499,1503
2018.07.24,22:30,84.499,84.537,84.47,84.529,2146
2018.07.24,23:00,84.529,84.53,84.48,84.484,462
2018.07.24,23:30,84.484,84.53,84.481,84.524,699
2018.07.25,00:00,84.526,84.54,84.459,84.533,3832
2018.07.25,00:30,84.537,84.539,84.457,84.497,6076
2018.07.25,01:00,84.497,84.53,84.491,84.517,1252
2018.07.25,01:30,84.516,84.54,84.511,84.531,721
2018.07.25,02:00,84.53,84.56,84.53,84.557,593
2018.07.25,02:30,84.557,84.602,84.542,84.594,912
2018.07.25,03:00,84.594,84.652,84.561,84.568,1874
2018.07.25,03:30,84.568,84.648,84.513,84.617,2261
2018.07.25,04:00,84.616,84.709,84.593,84.663,2219
2018.07.25,04:30,84.663,84.685,84.541,84.601,2265
2018.07.25,05:00,84.601,84.606,84.536,84.554,1743
2018.07.25,05:30,84.555,84.578,84.541,84.571,1111
2018.07.25,06:00,84.57,84.57,84.522,84.535,1356
2018.07.25,06:30,84.535,84.574,84.528,84.556,869
2018.07.25,07:00,84.556,84.564,84.527,84.554,832
2018.07.25,07:30,84.555,84.555,84.518,84.519,711
2018.07.25,08:00,84.52,84.524,84.468,84.472,1078
2018.07.25,08:30,84.472,84.532,84.47,84.53,1302
2018.07.25,09:00,84.53,84.546,84.485,84.544,1567
2018.07.25,09:30,84.545,84.597,84.534,84.577,2217
2018.07.25,10:00,84.577,84.61,84.534,84.585,2043
2018.07.25,10:30,84.585,84.604,84.558,84.595,1570
2018.07.25,11:00,84.595,84.625,84.584,84.615,2079
2018.07.25,11:30,84.615,84.683,84.61,84.662,1808
2018.07.25,12:00,84.662,84.662,84.538,84.578,1972
2018.07.25,12:30,84.577,84.646,84.574,84.626,1714
2018.07.25,13:00,84.626,84.666,84.564,84.572,1362
2018.07.25,13:30,84.572,84.622,84.565,84.595,1685
2018.07.25,14:00,84.595,84.668,84.589,84.616,1938
2018.07.25,14:30,84.616,84.63,84.576,84.629,1729
2018.07.25,15:00,84.629,84.633,84.564,84.586,2174
2018.07.25,15:30,84.586,84.808,84.557,84.768,2245
2018.07.25,16:00,84.768,84.806,84.722,84.768,3183
2018.07.25,16:30,84.767,84.852,84.765,84.832,2823
2018.07.25,17:00,84.832,84.866,84.763,84.796,3196
2018.07.25,17:30,84.797,84.921,84.516,84.519,6124
2018.07.25,18:00,84.519,84.574,84.445,84.563,4508
2018.07.25,18:30,84.562,84.714,84.552,84.707,3367
2018.07.25,19:00,84.707,84.72,84.667,84.698,2420
2018.07.25,19:30,84.698,84.717,84.665,84.672,1621
2018.07.25,20:00,84.672,84.832,84.626,84.747,2314
2018.07.25,20:30,84.749,84.859,84.74,84.852,4303
2018.07.25,21:00,84.85,84.989,84.8,84.872,3666
2018.07.25,21:30,84.873,84.978,84.872,84.892,2506
