date,ignore,open,high,low,close,volume
2018.08.20,00:00,1.66401,1.66486,1.66313,1.66437,440
2018.08.20,00:30,1.66437,1.66508,1.66408,1.66409,758
2018.08.20,01:00,1.6641,1.66434,1.66368,1.66396,576
2018.08.20,01:30,1.66396,1.66433,1.66389,1.66432,399
2018.08.20,02:00,1.66432,1.66541,1.66416,1.66523,496
2018.08.20,02:30,1.66523,1.66523,1.6645,1.66458,1034
2018.08.20,03:00,1.66461,1.66528,1.66454,1.66524,1452
2018.08.20,03:30,1.66524,1.66553,1.66436,1.66448,1848
2018.08.20,04:00,1.66444,1.66525,1.66444,1.66497,1899
2018.08.20,04:30,1.66496,1.66502,1.66405,1.66405,1719
2018.08.20,05:00,1.66405,1.66439,1.6637,1.66377,1216
2018.08.20,05:30,1.66377,1.66483,1.66374,1.66454,1163
2018.08.20,06:00,1.66457,1.66478,1.66416,1.66455,1230
2018.08.20,06:30,1.66454,1.66474,1.66423,1.6646,1227
2018.08.20,07:00,1.6646,1.66495,1.66448,1.66465,757
2018.08.20,07:30,1.66465,1.66532,1.66454,1.66514,1512
2018.08.20,08:00,1.66514,1.66516,1.66441,1.66444,1359
2018.08.20,08:30,1.66447,1.66473,1.66424,1.66431,1428
2018.08.20,09:00,1.66431,1.66435,1.66358,1.66375,2172
2018.08.20,09:30,1.66375,1.66514,1.66359,1.66475,1632
2018.08.20,10:00,1.66475,1.66484,1.66396,1.66424,2640
2018.08.20,10:30,1.66424,1.66482,1.66411,1.66427,2159
2018.08.20,11:00,1.66428,1.66431,1.66312,1.66357,2191
2018.08.20,11:30,1.66358,1.66437,1.66344,1.66376,2005
2018.08.20,12:00,1.66376,1.6647,1.66361,1.66467,1598
2018.08.20,12:30,1.66467,1.66517,1.66454,1.66503,1444
2018.08.20,13:00,1.66503,1.66593,1.66438,1.66531,2213
2018.08.20,13:30,1.66532,1.66709,1.66463,1.66694,2619
2018.08.20,14:00,1.66693,1.66896,1.66675,1.66837,2922
2018.08.20,14:30,1.66834,1.66938,1.66814,1.669,1424
2018.08.20,15:00,1.669,1.67017,1.66785,1.66957,2460
2018.08.20,15:30,1.66957,1.67025,1.66923,1.66963,2710
2018.08.20,16:00,1.66963,1.67006,1.6688,1.66925,2923
2018.08.20,16:30,1.66923,1.66954,1.66798,1.66865,3085
2018.08.20,17:00,1.66865,1.66881,1.66776,1.66843,2788
2018.08.20,17:30,1.66843,1.66959,1.66764,1.66798,2770
2018.08.20,18:00,1.66798,1.66883,1.66675,1.66745,2797
2018.08.20,18:30,1.66745,1.67104,1.66659,1.67051,3776
2018.08.20,19:00,1.67055,1.67055,1.6682,1.6697,3183
2018.08.20,19:30,1.66969,1.67008,1.66933,1.66953,2030
2018.08.20,20:00,1.66953,1.67031,1.66926,1.66964,1618
2018.08.20,20:30,1.66964,1.67038,1.66889,1.66906,1470
2018.08.20,21:00,1.66906,1.66943,1.66854,1.66919,1187
2018.08.20,21:30,1.66919,1.6693,1.66853,1.66863,1206
2018.08.20,22:00,1.66863,1.66897,1.66832,1.66875,959
2018.08.20,22:30,1.66878,1.66902,1.66757,1.66797,1893
2018.08.20,23:00,1.66799,1.66899,1.66796,1.66861,1272
2018.08.20,23:30,1.66863,1.66936,1.66798,1.66905,1320
2018.08.21,00:00,1.66838,1.66916,1.66838,1.66886,587
2018.08.21,00:30,1.66886,1.66891,1.66793,1.66833,1350
2018.08.21,01:00,1.66833,1.66872,1.66823,1.66851,624
2018.08.21,01:30,1.6685,1.66922,1.6683,1.6692,767
2018.08.21,02:00,1.66919,1.66933,1.66846,1.6691,848
2018.08.21,02:30,1.6691,1.66985,1.66908,1.66974,793
2018.08.21,03:00,1.66974,1.67054,1.6694,1.66985,1572
2018.08.21,03:30,1.66985,1.67121,1.66922,1.67072,3386
2018.08.21,04:00,1.6707,1.67144,1.67045,1.67067,1877
2018.08.21,04:30,1.67067,1.67146,1.67015,1.67145,1874
2018.08.21,05:00,1.67143,1.67145,1.67082,1.67105,1276
