date,ignore,open,high,low,close,volume
2019.02.18,00:00,1.49631,1.49668,1.49581,1.49582,641
2019.02.18,00:30,1.49582,1.49634,1.49575,1.49591,469
2019.02.18,01:00,1.49591,1.49648,1.49529,1.49534,733
2019.02.18,01:30,1.49533,1.49554,1.49495,1.49542,598
2019.02.18,02:00,1.49542,1.49587,1.49521,1.49568,1158
2019.02.18,02:30,1.49568,1.496,1.49555,1.49576,600
2019.02.18,03:00,1.49576,1.49628,1.49539,1.49601,1070
2019.02.18,03:30,1.49601,1.49638,1.49585,1.4961,1081
2019.02.18,04:00,1.49609,1.49731,1.49604,1.49727,1771
2019.02.18,04:30,1.49727,1.49778,1.49701,1.49708,1266
2019.02.18,05:00,1.49705,1.49731,1.49695,1.49718,1087
2019.02.18,05:30,1.49717,1.49746,1.49687,1.4971,745
2019.02.18,06:00,1.4971,1.49722,1.49696,1.49717,596
2019.02.18,06:30,1.49716,1.49717,1.49655,1.49682,704
2019.02.18,07:00,1.49682,1.49683,1.49644,1.49656,919
2019.02.18,07:30,1.49656,1.49681,1.49612,1.4965,1195
2019.02.18,08:00,1.4965,1.49653,1.49599,1.49616,1132
2019.02.18,08:30,1.49616,1.49651,1.49587,1.49613,637
2019.02.18,09:00,1.49615,1.49674,1.49592,1.49628,1349
2019.02.18,09:30,1.49628,1.49692,1.49565,1.49607,1575
2019.02.18,10:00,1.49607,1.49639,1.49454,1.49495,2102
2019.02.18,10:30,1.49496,1.49586,1.49471,1.49573,1415
2019.02.18,11:00,1.49573,1.49694,1.49571,1.49679,777
2019.02.18,11:30,1.49686,1.49824,1.49665,1.49813,1354
2019.02.18,12:00,1.49813,1.49845,1.4972,1.49842,1116
2019.02.18,12:30,1.49842,1.49943,1.49809,1.49921,1125
2019.02.18,13:00,1.49921,1.49948,1.49863,1.49927,960
2019.02.18,13:30,1.49927,1.49999,1.49924,1.49969,883
2019.02.18,14:00,1.49969,1.50031,1.4994,1.49959,1010
2019.02.18,14:30,1.49959,1.49979,1.49906,1.49941,1176
2019.02.18,15:00,1.49941,1.49965,1.49812,1.49852,1323
2019.02.18,15:30,1.49852,1.49879,1.49794,1.49801,1002
2019.02.18,16:00,1.498,1.49841,1.49761,1.49821,1572
2019.02.18,16:30,1.49821,1.49827,1.49754,1.49778,780
2019.02.18,17:00,1.49778,1.49787,1.49654,1.49684,1255
2019.02.18,17:30,1.49683,1.49787,1.49631,1.49659,2016
2019.02.18,18:00,1.49659,1.49744,1.49637,1.49731,1727
2019.02.18,18:30,1.49731,1.49742,1.49606,1.4961,1053
2019.02.18,19:00,1.4961,1.49627,1.4956,1.49579,753
