date,ignore,open,high,low,close,volume
2020.04.20,00:00,110.769,111.087,110.769,111.037,662
2020.04.20,00:30,111.037,111.197,110.89,111.157,2170
2020.04.20,01:00,111.157,111.157,111.067,111.135,690
2020.04.20,01:30,111.134,111.221,111.125,111.214,590
2020.04.20,02:00,111.217,111.226,111.168,111.22,638
2020.04.20,02:30,111.214,111.248,111.207,111.233,592
2020.04.20,03:00,111.236,111.297,111.224,111.271,1027
2020.04.20,03:30,111.271,111.436,111.263,111.361,1143
2020.04.20,04:00,111.361,111.406,111.337,111.356,1040
2020.04.20,04:30,111.356,111.364,111.279,111.329,712
2020.04.20,05:00,111.331,111.386,111.313,111.362,645
2020.04.20,05:30,111.362,111.387,111.33,111.386,747
2020.04.20,06:00,111.385,111.386,111.317,111.351,596
2020.04.20,06:30,111.354,111.375,111.324,111.366,515
2020.04.20,07:00,111.366,111.406,111.345,111.398,851
2020.04.20,07:30,111.398,111.455,111.396,111.438,662
2020.04.20,08:00,111.441,111.446,111.373,111.387,698
2020.04.20,08:30,111.387,111.39,111.291,111.313,682
2020.04.20,09:00,111.312,111.325,111.222,111.264,1073
2020.04.20,09:30,111.264,111.375,111.259,111.358,941
2020.04.20,10:00,111.358,111.414,111.297,111.33,1422
2020.04.20,10:30,111.33,111.364,111.254,111.306,1275
2020.04.20,11:00,111.306,111.33,111.257,111.322,1258
2020.04.20,11:30,111.322,111.429,111.301,111.395,936
2020.04.20,12:00,111.393,111.471,111.386,111.397,1188
2020.04.20,12:30,111.397,111.401,111.329,111.361,933
2020.04.20,13:00,111.361,111.361,111.239,111.25,1014
2020.04.20,13:30,111.25,111.271,111.209,111.242,1010
2020.04.20,14:00,111.242,111.304,111.218,111.253,1037
2020.04.20,14:30,111.253,111.345,111.241,111.247,1109
2020.04.20,15:00,111.246,111.339,111.246,111.257,1106
2020.04.20,15:30,111.257,111.348,111.257,111.27,926
2020.04.20,16:00,111.27,111.325,111.241,111.315,1176
2020.04.20,16:30,111.318,111.368,111.283,111.354,1721
2020.04.20,17:00,111.354,111.415,111.305,111.371,1529
2020.04.20,17:30,111.371,111.494,111.342,111.387,1855
2020.04.20,18:00,111.384,111.433,111.348,111.348,1347
2020.04.20,18:30,111.348,111.38,111.33,111.356,981
2020.04.20,19:00,111.353,111.401,111.317,111.331,932
2020.04.20,19:30,111.329,111.345,111.265,111.294,855
2020.04.20,20:00,111.296,111.303,111.249,111.29,836
2020.04.20,20:30,111.289,111.331,111.274,111.31,694
2020.04.20,21:00,111.307,111.32,111.224,111.249,799
2020.04.20,21:30,111.249,111.267,111.196,111.208,896
2020.04.20,22:00,111.207,111.291,111.207,111.235,969
2020.04.20,22:30,111.236,111.281,111.194,111.259,1086
2020.04.20,23:00,111.259,111.282,111.221,111.25,520
2020.04.20,23:30,111.247,111.261,111.156,111.156,671
2020.04.21,00:00,111.17,111.21,111.106,111.155,517
2020.04.21,00:30,111.147,111.205,111.137,111.183,771
2020.04.21,01:00,111.171,111.246,111.151,111.233,603
2020.04.21,01:30,111.233,111.281,111.229,111.27,374
2020.04.21,02:00,111.269,111.304,111.238,111.245,501
2020.04.21,02:30,111.245,111.246,111.201,111.219,496
2020.04.21,03:00,111.219,111.233,111.064,111.133,919
2020.04.21,03:30,111.132,111.252,111.125,111.188,1059
2020.04.21,04:00,111.19,111.227,111.153,111.186,731
2020.04.21,04:30,111.188,111.197,111.057,111.059,846
2020.04.21,05:00,111.059,111.091,110.843,110.867,1190
2020.04.21,05:30,110.867,110.907,110.705,110.808,1593
2020.04.21,06:00,110.815,110.886,110.754,110.762,862
2020.04.21,06:30,110.762,110.851,110.748,110.833,840
2020.04.21,07:00,110.834,110.861,110.785,110.796,631
2020.04.21,07:30,110.796,110.832,110.739,110.758,748
2020.04.21,08:00,110.758,110.771,110.616,110.681,1005
2020.04.21,08:30,110.681,110.813,110.677,110.765,879
2020.04.21,09:00,110.765,110.826,110.737,110.81,1145
2020.04.21,09:30,110.81,110.842,110.754,110.778,965
2020.04.21,10:00,110.778,110.797,110.632,110.665,1377
