names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCAD,50,"['EURGBP', 'EURCAD', 'CHFJPY', 'EURAUD', 'EURCHF']",100.0,-0.18099999999999997,B
AUDCHF,10,['USDJPY'],80.0,0.99,S
NZDCHF,50,"['AUDCAD', 'EURCHF', 'AUDUSD', 'AUDJPY', 'GBPCAD']",80.0,-0.7977022977022973,B
GBPAUD,20,"['USDJPY', 'CHFJPY', 'AUDJPY', 'EURUSD', 'AUDUSD', 'EURCHF']",80.0,-0.12509595959595962,B
EURAUD,10,['AUDCAD'],80.0,0.4599285714285715,S
EURNZD,20,"['AUDCAD', 'EURCHF']",100.0,0.4739538778215253,S
CADJPY,30,"['EURCAD', 'CADCHF', 'EURJPY']",80.0,0.7924605394605395,S
NZDJPY,30,"['EURCHF', 'AUDCHF', 'USDCAD']",100.0,-0.43361072261072275,B
NZDCAD,20,"['EURCHF', 'AUDCHF', 'GBPAUD', 'EURAUD']",80.0,0.7397008547008547,S
AUDNZD,15,['USDCHF'],80.0,0.3407970362970364,S
