date,ignore,open,high,low,close,volume
2021.07.26,00:00,0.91854,0.91981,0.91854,0.9198,129
2021.07.26,00:30,0.91899,0.91995,0.91899,0.9198,180
2021.07.26,01:00,0.91978,0.92021,0.91941,0.91956,418
2021.07.26,01:30,0.91952,0.91966,0.91944,0.91946,148
2021.07.26,02:00,0.91946,0.91973,0.91946,0.91969,193
2021.07.26,02:30,0.91964,0.91965,0.91947,0.91955,223
2021.07.26,03:00,0.91955,0.92003,0.9195,0.91999,225
2021.07.26,03:30,0.91999,0.92024,0.91995,0.92001,409
2021.07.26,04:00,0.92001,0.92002,0.91954,0.91964,408
2021.07.26,04:30,0.91963,0.91977,0.91954,0.91954,510
2021.07.26,05:00,0.91954,0.91954,0.91906,0.9191,571
2021.07.26,05:30,0.9191,0.91921,0.919,0.91917,258
2021.07.26,06:00,0.91916,0.9193,0.91876,0.91892,312
2021.07.26,06:30,0.91892,0.91896,0.9188,0.91882,209
2021.07.26,07:00,0.91878,0.91893,0.91873,0.91883,382
2021.07.26,07:30,0.91878,0.91883,0.91859,0.91869,103
2021.07.26,08:00,0.91869,0.91885,0.91856,0.91858,201
2021.07.26,08:30,0.91858,0.91863,0.91832,0.91857,437
2021.07.26,09:00,0.9186,0.91891,0.91833,0.91863,961
2021.07.26,09:30,0.91862,0.91911,0.91837,0.91904,775
2021.07.26,10:00,0.91905,0.91909,0.91661,0.91694,1470
2021.07.26,10:30,0.91694,0.91818,0.91664,0.918,1538
2021.07.26,11:00,0.91802,0.91935,0.91784,0.91896,1868
2021.07.26,11:30,0.91896,0.91906,0.91808,0.91825,1076
2021.07.26,12:00,0.91825,0.91854,0.9178,0.91802,1268
2021.07.26,12:30,0.91801,0.91803,0.91738,0.91759,1022
2021.07.26,13:00,0.9176,0.91816,0.9174,0.918,1137
2021.07.26,13:30,0.91801,0.91813,0.91752,0.91808,866
2021.07.26,14:00,0.91808,0.91826,0.91753,0.9177,833
2021.07.26,14:30,0.9177,0.91815,0.91759,0.91804,997
2021.07.26,15:00,0.91803,0.91885,0.91795,0.91878,1288
2021.07.26,15:30,0.91878,0.91946,0.91863,0.91924,1332
2021.07.26,16:00,0.91925,0.9195,0.91876,0.91876,1388
2021.07.26,16:30,0.91876,0.91897,0.91657,0.91694,1908
2021.07.26,17:00,0.91695,0.91761,0.91601,0.91628,1745
2021.07.26,17:30,0.91623,0.91657,0.91581,0.91616,1822
2021.07.26,18:00,0.91617,0.91631,0.91534,0.91595,1265
2021.07.26,18:30,0.91595,0.91603,0.9157,0.91576,833
2021.07.26,19:00,0.91578,0.91591,0.91548,0.91566,729
2021.07.26,19:30,0.91566,0.9157,0.91542,0.91544,407
2021.07.26,20:00,0.91544,0.91554,0.91506,0.91512,513
2021.07.26,20:30,0.91512,0.91522,0.91486,0.91521,335
2021.07.26,21:00,0.91523,0.91552,0.91511,0.91551,348
2021.07.26,21:30,0.91551,0.9161,0.91551,0.91608,318
2021.07.26,22:00,0.91608,0.91609,0.91564,0.91589,344
2021.07.26,22:30,0.91589,0.91606,0.91564,0.91571,340
2021.07.26,23:00,0.9157,0.91579,0.91544,0.91556,334
2021.07.26,23:30,0.91555,0.91579,0.91551,0.91564,287
2021.07.27,00:00,0.91574,0.91605,0.91537,0.9158,395
2021.07.27,00:30,0.91539,0.91571,0.91497,0.91545,1182
2021.07.27,01:00,0.91539,0.91582,0.91519,0.91581,198
2021.07.27,01:30,0.9158,0.91593,0.91572,0.91591,130
2021.07.27,02:00,0.91589,0.91592,0.91563,0.91581,270
2021.07.27,02:30,0.9158,0.91582,0.91545,0.91556,264
2021.07.27,03:00,0.91556,0.91566,0.91473,0.91485,550
2021.07.27,03:30,0.91486,0.91525,0.91485,0.91515,290
2021.07.27,04:00,0.91521,0.91562,0.91517,0.91552,691
2021.07.27,04:30,0.91552,0.91594,0.91545,0.91565,1023
2021.07.27,05:00,0.91565,0.91587,0.91553,0.91585,530
2021.07.27,05:30,0.91585,0.91589,0.91565,0.91565,1000
2021.07.27,06:00,0.91566,0.91601,0.91566,0.91588,425
2021.07.27,06:30,0.91585,0.91591,0.91569,0.91573,951
2021.07.27,07:00,0.91575,0.91617,0.91561,0.91607,743
2021.07.27,07:30,0.91606,0.91625,0.91589,0.9159,611
2021.07.27,08:00,0.91589,0.91618,0.91586,0.91602,472
2021.07.27,08:30,0.91606,0.9163,0.91597,0.91612,654
2021.07.27,09:00,0.91611,0.91642,0.91585,0.91627,825
2021.07.27,09:30,0.91628,0.91662,0.91603,0.91657,664
2021.07.27,10:00,0.91657,0.9174,0.91632,0.91674,1746
2021.07.27,10:30,0.91674,0.91752,0.91643,0.91706,1577
2021.07.27,11:00,0.91706,0.9181,0.91705,0.91778,1683
2021.07.27,11:30,0.91778,0.9179,0.91711,0.91718,1005
2021.07.27,12:00,0.91719,0.91742,0.91665,0.91689,1268
2021.07.27,12:30,0.91689,0.91861,0.91682,0.91824,1289
2021.07.27,13:00,0.91824,0.91861,0.91741,0.91771,1109
2021.07.27,13:30,0.91772,0.91775,0.91694,0.91707,666
2021.07.27,14:00,0.9171,0.91732,0.91637,0.91657,1077
2021.07.27,14:30,0.91659,0.91665,0.91597,0.91605,1013
2021.07.27,15:00,0.91603,0.91604,0.91436,0.91487,1292
2021.07.27,15:30,0.91484,0.9151,0.91418,0.91421,1337
2021.07.27,16:00,0.91419,0.91458,0.9135,0.91397,1706
2021.07.27,16:30,0.91398,0.91559,0.9139,0.9147,2229
2021.07.27,17:00,0.91468,0.9158,0.91461,0.91574,1866
2021.07.27,17:30,0.91574,0.91575,0.914,0.91414,2040
2021.07.27,18:00,0.91414,0.91421,0.91325,0.91325,1737
2021.07.27,18:30,0.91325,0.91405,0.91317,0.91365,1102
2021.07.27,19:00,0.91365,0.91401,0.91326,0.91392,1023
2021.07.27,19:30,0.91393,0.91393,0.91324,0.91325,853
2021.07.27,20:00,0.91325,0.91345,0.91308,0.91314,708
2021.07.27,20:30,0.91314,0.91358,0.9129,0.91354,550
2021.07.27,21:00,0.91354,0.91374,0.91324,0.91365,387
2021.07.27,21:30,0.91365,0.91418,0.91364,0.91413,494
2021.07.27,22:00,0.91415,0.9145,0.91415,0.91431,333
2021.07.27,22:30,0.9143,0.91439,0.9141,0.91414,289
2021.07.27,23:00,0.91414,0.91437,0.91407,0.91415,338
2021.07.27,23:30,0.91414,0.91464,0.91412,0.91425,358
2021.07.28,00:00,0.91421,0.91452,0.91325,0.91409,176
2021.07.28,00:30,0.9142,0.91428,0.91329,0.91399,226
2021.07.28,01:00,0.91403,0.91445,0.91391,0.91442,275
2021.07.28,01:30,0.91445,0.91467,0.91441,0.91445,140
2021.07.28,02:00,0.91445,0.91452,0.9143,0.91441,106
2021.07.28,02:30,0.91441,0.91443,0.91426,0.91443,106
2021.07.28,03:00,0.91443,0.91475,0.91413,0.91473,202
2021.07.28,03:30,0.91473,0.91521,0.9147,0.91519,218
2021.07.28,04:00,0.91519,0.91525,0.9147,0.91471,156
2021.07.28,04:30,0.91471,0.9148,0.91452,0.91455,241
2021.07.28,05:00,0.91455,0.91482,0.91454,0.91464,308
2021.07.28,05:30,0.9146,0.91466,0.91447,0.91448,212
2021.07.28,06:00,0.91448,0.91453,0.91425,0.91429,218
2021.07.28,06:30,0.91429,0.91467,0.91428,0.91465,238
2021.07.28,07:00,0.91465,0.91491,0.9146,0.9148,492
2021.07.28,07:30,0.91481,0.91492,0.91463,0.91492,195
2021.07.28,08:00,0.91492,0.91532,0.91491,0.91513,207
2021.07.28,08:30,0.91513,0.91527,0.91488,0.91494,240
2021.07.28,09:00,0.91492,0.91535,0.91483,0.9153,487
2021.07.28,09:30,0.91531,0.91593,0.9153,0.91581,515
2021.07.28,10:00,0.91581,0.91588,0.9147,0.91476,970
2021.07.28,10:30,0.91476,0.9153,0.91475,0.91509,770
2021.07.28,11:00,0.91509,0.91523,0.91465,0.91495,523
2021.07.28,11:30,0.91495,0.9154,0.91318,0.91337,1050
2021.07.28,12:00,0.91337,0.91409,0.91336,0.91393,694
2021.07.28,12:30,0.91393,0.91479,0.91384,0.91471,923
2021.07.28,13:00,0.91468,0.91468,0.91395,0.91447,792
2021.07.28,13:30,0.91447,0.91477,0.91432,0.91455,849
2021.07.28,14:00,0.91456,0.91531,0.9144,0.91518,1074
2021.07.28,14:30,0.91515,0.91526,0.91445,0.91447,897
2021.07.28,15:00,0.91447,0.91588,0.91442,0.9157,1035
2021.07.28,15:30,0.9157,0.91638,0.91566,0.91585,1254
2021.07.28,16:00,0.91587,0.91652,0.91552,0.91619,1527
2021.07.28,16:30,0.91618,0.91673,0.91578,0.91638,1570
2021.07.28,17:00,0.91638,0.9165,0.91545,0.91587,1515
2021.07.28,17:30,0.91587,0.91622,0.91402,0.91427,1709
2021.07.28,18:00,0.91427,0.91435,0.91354,0.91369,1360
2021.07.28,18:30,0.91369,0.91374,0.91333,0.91336,985
2021.07.28,19:00,0.91337,0.91372,0.9132,0.91337,919
2021.07.28,19:30,0.91337,0.91337,0.91283,0.91295,361
2021.07.28,20:00,0.91295,0.91295,0.91263,0.9129,411
2021.07.28,20:30,0.9129,0.91325,0.91276,0.91284,630
2021.07.28,21:00,0.91282,0.91576,0.9128,0.91303,4675
2021.07.28,21:30,0.91302,0.91437,0.9108,0.91099,5549
2021.07.28,22:00,0.91097,0.91161,0.91036,0.91038,2187
2021.07.28,22:30,0.91038,0.91059,0.91006,0.91013,1048
2021.07.28,23:00,0.91013,0.91041,0.91001,0.91006,351
2021.07.28,23:30,0.91006,0.91033,0.90993,0.90993,331
2021.07.29,00:00,0.90993,0.91014,0.90985,0.91006,127
2021.07.29,00:30,0.90984,0.91005,0.90977,0.91001,119
2021.07.29,01:00,0.90999,0.91008,0.90987,0.91007,197
2021.07.29,01:30,0.91006,0.91009,0.90982,0.90992,193
2021.07.29,02:00,0.90988,0.90994,0.90976,0.90977,284
2021.07.29,02:30,0.90977,0.90992,0.9097,0.90975,178
2021.07.29,03:00,0.90975,0.90998,0.90966,0.90991,172
2021.07.29,03:30,0.90991,0.91008,0.90965,0.90982,553
2021.07.29,04:00,0.90982,0.90989,0.90967,0.9097,409
2021.07.29,04:30,0.9097,0.90983,0.90944,0.90947,273
2021.07.29,05:00,0.90948,0.90975,0.90934,0.9096,260
2021.07.29,05:30,0.90959,0.90967,0.90912,0.90922,723
2021.07.29,06:00,0.90923,0.90934,0.90888,0.90922,258
