date,ignore,open,high,low,close,volume
2021.09.20,00:00,150.816,151.114,150.816,151.095,228
2021.09.20,00:30,151.019,151.141,150.88,150.895,393
2021.09.20,01:00,150.894,151.035,150.837,150.941,976
2021.09.20,01:30,150.941,150.961,150.875,150.945,742
2021.09.20,02:00,150.948,150.971,150.918,150.944,404
2021.09.20,02:30,150.948,151.011,150.937,150.979,388
2021.09.20,03:00,150.979,151.044,150.964,151.042,887
2021.09.20,03:30,151.042,151.042,150.972,150.994,460
2021.09.20,04:00,150.994,151.0,150.862,150.893,684
2021.09.20,04:30,150.891,150.91,150.721,150.726,939
2021.09.20,05:00,150.724,150.741,150.591,150.648,730
2021.09.20,05:30,150.649,150.679,150.6,150.611,1310
2021.09.20,06:00,150.611,150.787,150.605,150.711,951
2021.09.20,06:30,150.71,150.744,150.684,150.711,891
2021.09.20,07:00,150.711,150.718,150.625,150.662,533
2021.09.20,07:30,150.662,150.672,150.621,150.641,544
2021.09.20,08:00,150.64,150.691,150.615,150.671,644
2021.09.20,08:30,150.671,150.726,150.657,150.693,882
2021.09.20,09:00,150.691,150.707,150.462,150.548,2450
2021.09.20,09:30,150.547,150.57,150.335,150.357,2597
2021.09.20,10:00,150.357,150.367,149.967,149.998,4527
2021.09.20,10:30,149.998,150.259,149.997,150.04,3247
2021.09.20,11:00,150.041,150.062,149.813,149.893,3232
2021.09.20,11:30,149.892,150.067,149.853,149.977,2900
2021.09.20,12:00,149.977,150.048,149.953,150.009,2562
2021.09.20,12:30,150.011,150.084,149.777,149.932,2896
2021.09.20,13:00,149.931,150.197,149.898,150.139,2525
2021.09.20,13:30,150.138,150.146,149.923,149.949,2543
2021.09.20,14:00,149.948,150.005,149.837,149.871,2789
2021.09.20,14:30,149.872,149.872,149.585,149.589,3063
2021.09.20,15:00,149.589,149.671,149.431,149.467,3348
2021.09.20,15:30,149.469,149.794,149.405,149.687,3885
2021.09.20,16:00,149.688,149.966,149.649,149.896,3429
2021.09.20,16:30,149.895,150.046,149.741,149.989,5093
2021.09.20,17:00,149.99,149.991,149.644,149.693,4703
2021.09.20,17:30,149.695,149.774,149.573,149.654,4683
2021.09.20,18:00,149.654,149.803,149.653,149.718,3690
2021.09.20,18:30,149.717,149.739,149.458,149.498,2580
2021.09.20,19:00,149.498,149.531,149.367,149.463,2600
2021.09.20,19:30,149.463,149.494,149.264,149.265,2657
2021.09.20,20:00,149.265,149.392,149.178,149.381,2366
2021.09.20,20:30,149.381,149.466,149.352,149.399,1707
2021.09.20,21:00,149.399,149.437,149.238,149.281,1246
2021.09.20,21:30,149.282,149.322,149.193,149.233,2183
2021.09.20,22:00,149.233,149.341,149.182,149.34,2778
2021.09.20,22:30,149.339,149.542,149.329,149.454,2286
2021.09.20,23:00,149.454,149.481,149.385,149.41,1271
2021.09.20,23:30,149.41,149.423,149.357,149.387,1412
2021.09.21,00:00,149.387,149.387,149.24,149.331,104
2021.09.21,00:30,149.331,149.447,149.318,149.387,213
