date,ignore,open,high,low,close,volume
2015.02.02,00:00,0.74904,0.74981,0.74895,0.74903,1175
2015.02.02,00:30,0.74903,0.7501,0.74899,0.74938,2077
2015.02.02,01:00,0.74939,0.75007,0.74938,0.74976,1505
2015.02.02,01:30,0.74972,0.74986,0.74941,0.74951,687
2015.02.02,02:00,0.7495,0.74996,0.74933,0.7499,837
2015.02.02,02:30,0.74989,0.75024,0.74983,0.75,791
2015.02.02,03:00,0.75002,0.7503,0.74979,0.75005,708
2015.02.02,03:30,0.75004,0.75047,0.75004,0.75037,740
2015.02.02,04:00,0.75038,0.75077,0.75029,0.75044,677
2015.02.02,04:30,0.75043,0.75055,0.75022,0.75035,662
2015.02.02,05:00,0.75035,0.75045,0.74981,0.74989,727
2015.02.02,05:30,0.7499,0.75002,0.74977,0.7499,400
2015.02.02,06:00,0.74989,0.75007,0.74987,0.75,393
2015.02.02,06:30,0.75,0.75013,0.74991,0.74995,500
2015.02.02,07:00,0.74993,0.75016,0.74993,0.75004,436
2015.02.02,07:30,0.75003,0.75018,0.74986,0.74995,467
2015.02.02,08:00,0.74993,0.74998,0.74904,0.7493,663
2015.02.02,08:30,0.74931,0.75018,0.74918,0.75009,926
2015.02.02,09:00,0.7501,0.75106,0.74994,0.75091,1698
2015.02.02,09:30,0.7509,0.75248,0.75078,0.75213,2161
2015.02.02,10:00,0.75212,0.75262,0.75092,0.75252,2495
2015.02.02,10:30,0.75252,0.75405,0.75223,0.75244,2569
2015.02.02,11:00,0.75243,0.75326,0.75196,0.75206,2323
2015.02.02,11:30,0.75205,0.75607,0.75083,0.75607,2639
2015.02.02,12:00,0.75611,0.75636,0.75496,0.75537,2304
2015.02.02,12:30,0.75541,0.75562,0.75451,0.75521,2025
2015.02.02,13:00,0.7552,0.75523,0.75358,0.75475,2058
2015.02.02,13:30,0.7547,0.75479,0.75385,0.75396,1585
2015.02.02,14:00,0.75395,0.75407,0.75343,0.75357,1888
2015.02.02,14:30,0.75361,0.75466,0.75317,0.75332,1687
2015.02.02,15:00,0.75335,0.75355,0.75231,0.75232,1951
2015.02.02,15:30,0.75232,0.7532,0.75222,0.75224,2037
2015.02.02,16:00,0.75224,0.75256,0.75207,0.75217,2025
2015.02.02,16:30,0.75216,0.75334,0.75195,0.75289,2482
2015.02.02,17:00,0.75291,0.75393,0.75273,0.75376,2998
2015.02.02,17:30,0.75377,0.7543,0.7533,0.75428,2612
2015.02.02,18:00,0.7543,0.75494,0.75401,0.75454,2391
2015.02.02,18:30,0.75455,0.75484,0.75418,0.75434,1776
2015.02.02,19:00,0.75434,0.75524,0.75415,0.75513,1825
2015.02.02,19:30,0.75512,0.75518,0.75379,0.75414,1486
2015.02.02,20:00,0.7541,0.75496,0.75407,0.7548,1244
2015.02.02,20:30,0.7548,0.75483,0.75376,0.75418,1441
2015.02.02,21:00,0.75419,0.75463,0.75402,0.75442,1255
2015.02.02,21:30,0.75443,0.75467,0.75424,0.75448,1239
2015.02.02,22:00,0.75449,0.75478,0.75435,0.75437,1167
2015.02.02,22:30,0.75437,0.75484,0.75428,0.75449,1330
2015.02.02,23:00,0.75447,0.75482,0.7542,0.75426,783
2015.02.02,23:30,0.75425,0.75442,0.75391,0.75398,1270
2015.02.03,00:00,0.75395,0.75421,0.75358,0.75373,1125
2015.02.03,00:30,0.75371,0.75444,0.75362,0.75424,1618
2015.02.03,01:00,0.75427,0.75466,0.75402,0.75436,1086
2015.02.03,01:30,0.75438,0.75463,0.75417,0.75451,485
2015.02.03,02:00,0.75451,0.75456,0.75432,0.75444,501
2015.02.03,02:30,0.75442,0.75469,0.75419,0.75464,768
2015.02.03,03:00,0.75464,0.75481,0.7543,0.75443,776
2015.02.03,03:30,0.75443,0.75468,0.75433,0.75446,682
2015.02.03,04:00,0.75446,0.75447,0.75412,0.75422,532
2015.02.03,04:30,0.75421,0.75432,0.75404,0.75431,497
2015.02.03,05:00,0.75432,0.75437,0.75395,0.75404,586
2015.02.03,05:30,0.75403,0.75435,0.75371,0.75409,1465
2015.02.03,06:00,0.75409,0.75419,0.7537,0.75378,871
2015.02.03,06:30,0.75378,0.75454,0.75375,0.75449,801
2015.02.03,07:00,0.75449,0.75462,0.75396,0.75398,783
2015.02.03,07:30,0.75397,0.75447,0.7539,0.7543,601
2015.02.03,08:00,0.75427,0.75445,0.75413,0.7543,680
2015.02.03,08:30,0.75431,0.75458,0.75414,0.75443,964
2015.02.03,09:00,0.75444,0.7552,0.75426,0.75488,1396
2015.02.03,09:30,0.75487,0.75591,0.75422,0.75538,1860
2015.02.03,10:00,0.75539,0.75542,0.75344,0.7547,2173
2015.02.03,10:30,0.75471,0.75567,0.75406,0.75446,2448
2015.02.03,11:00,0.75445,0.7551,0.75354,0.75503,2190
2015.02.03,11:30,0.75501,0.75536,0.75399,0.75455,2138
2015.02.03,12:00,0.75455,0.75482,0.75336,0.75455,1695
2015.02.03,12:30,0.75454,0.75459,0.75342,0.75383,1867
2015.02.03,13:00,0.75383,0.75385,0.75311,0.75338,1517
2015.02.03,13:30,0.75338,0.75368,0.75273,0.7529,1438
2015.02.03,14:00,0.75289,0.7533,0.75257,0.75268,1653
2015.02.03,14:30,0.75266,0.75319,0.75247,0.7528,1401
2015.02.03,15:00,0.7528,0.75482,0.75247,0.75436,2762
2015.02.03,15:30,0.75435,0.75772,0.75405,0.75771,3212
2015.02.03,16:00,0.75769,0.75791,0.75632,0.75684,2646
2015.02.03,16:30,0.75683,0.75802,0.75675,0.75759,2486
2015.02.03,17:00,0.7576,0.75794,0.75711,0.75757,2424
2015.02.03,17:30,0.75756,0.75819,0.75741,0.75759,1893
2015.02.03,18:00,0.75758,0.75837,0.75682,0.75802,3001
2015.02.03,18:30,0.75799,0.7586,0.75711,0.75752,2466
2015.02.03,19:00,0.75752,0.75781,0.75691,0.75737,1851
2015.02.03,19:30,0.75737,0.7582,0.7566,0.75665,1835
2015.02.03,20:00,0.75664,0.75916,0.75662,0.75906,2898
2015.02.03,20:30,0.75908,0.75911,0.7577,0.75789,2678
2015.02.03,21:00,0.75789,0.75813,0.75747,0.75803,1881
2015.02.03,21:30,0.75803,0.75814,0.75721,0.75737,1488
2015.02.03,22:00,0.75738,0.75752,0.75717,0.75724,1218
2015.02.03,22:30,0.75724,0.75736,0.75689,0.75697,1109
2015.02.03,23:00,0.75697,0.75744,0.75693,0.75738,812
2015.02.03,23:30,0.75737,0.75739,0.75636,0.75667,1850
2015.02.04,00:00,0.75666,0.75727,0.75645,0.75684,692
2015.02.04,00:30,0.75684,0.7572,0.75663,0.75692,1334
2015.02.04,01:00,0.75691,0.75691,0.75625,0.75652,1274
2015.02.04,01:30,0.75651,0.75683,0.75627,0.75659,656
2015.02.04,02:00,0.75659,0.75665,0.75631,0.75663,438
2015.02.04,02:30,0.75662,0.75675,0.7562,0.75634,357
2015.02.04,03:00,0.75632,0.75692,0.75624,0.75657,471
2015.02.04,03:30,0.75658,0.75669,0.75618,0.75654,357
2015.02.04,04:00,0.75654,0.75654,0.75597,0.75597,319
2015.02.04,04:30,0.75598,0.75631,0.7559,0.75622,318
2015.02.04,05:00,0.75621,0.7563,0.75601,0.75615,208
2015.02.04,05:30,0.75616,0.75666,0.75609,0.75632,408
2015.02.04,06:00,0.75629,0.75653,0.75629,0.75642,163
2015.02.04,06:30,0.75644,0.75648,0.75613,0.75632,270
2015.02.04,07:00,0.75631,0.75671,0.75616,0.75659,356
2015.02.04,07:30,0.75654,0.75676,0.75637,0.75655,413
2015.02.04,08:00,0.75653,0.7568,0.75623,0.75679,664
2015.02.04,08:30,0.75678,0.75741,0.75626,0.75691,1197
2015.02.04,09:00,0.7569,0.75719,0.75594,0.75628,1541
2015.02.04,09:30,0.75627,0.75707,0.75605,0.75627,1994
2015.02.04,10:00,0.75629,0.75653,0.75539,0.75572,2180
2015.02.04,10:30,0.75574,0.75625,0.75477,0.75555,2530
2015.02.04,11:00,0.75552,0.7563,0.75501,0.75555,2676
2015.02.04,11:30,0.75557,0.75578,0.75376,0.75376,2402
2015.02.04,12:00,0.75375,0.75455,0.75344,0.75373,2222
2015.02.04,12:30,0.75373,0.75397,0.75308,0.75321,2396
2015.02.04,13:00,0.75322,0.75374,0.75288,0.75337,2029
2015.02.04,13:30,0.75338,0.75363,0.7529,0.75347,1947
2015.02.04,14:00,0.75349,0.75353,0.75194,0.75255,2356
2015.02.04,14:30,0.75256,0.75259,0.75125,0.75197,2069
2015.02.04,15:00,0.75197,0.75197,0.7507,0.7507,2507
2015.02.04,15:30,0.7507,0.75161,0.75066,0.75136,2286
2015.02.04,16:00,0.75138,0.75153,0.7504,0.75103,2027
2015.02.04,16:30,0.75102,0.75106,0.74902,0.74925,2591
