date,ignore,open,high,low,close,volume
2015.02.09,0:00,1.52265,1.52365,1.52201,1.52333,1781
2015.02.09,0:30,1.52332,1.52348,1.52287,1.5234,2062
2015.02.09,1:00,1.5234,1.52502,1.52327,1.52458,1911
2015.02.09,1:30,1.52459,1.52459,1.52331,1.52386,1203
2015.02.09,2:00,1.52383,1.52475,1.52357,1.5247,1224
2015.02.09,2:30,1.52469,1.52474,1.52348,1.52394,1127
2015.02.09,3:00,1.52393,1.52495,1.52378,1.52484,1015
2015.02.09,3:30,1.52484,1.52539,1.52437,1.52527,788
2015.02.09,4:00,1.52524,1.52598,1.52502,1.52596,844
2015.02.09,4:30,1.52595,1.52613,1.52564,1.52603,725
2015.02.09,5:00,1.52602,1.52602,1.5254,1.52553,459
2015.02.09,5:30,1.52554,1.52563,1.52495,1.52546,500
2015.02.09,6:00,1.52547,1.52583,1.52543,1.52564,468
2015.02.09,6:30,1.52565,1.52594,1.5254,1.52552,475
2015.02.09,7:00,1.52553,1.52575,1.52541,1.52565,445
2015.02.09,7:30,1.52565,1.5263,1.52549,1.52613,604
2015.02.09,8:00,1.52613,1.52646,1.52554,1.52556,855
2015.02.09,8:30,1.52557,1.52577,1.52478,1.52481,750
2015.02.09,9:00,1.52481,1.52585,1.52457,1.52497,1537
2015.02.09,9:30,1.52501,1.52662,1.52479,1.52622,1690
2015.02.09,10:00,1.52621,1.52656,1.52431,1.52458,2297
2015.02.09,10:30,1.52457,1.52568,1.52359,1.5237,2181
2015.02.09,11:00,1.52371,1.52404,1.52269,1.52308,1922
2015.02.09,11:30,1.52308,1.52348,1.52215,1.52334,2086
2015.02.09,12:00,1.52337,1.52338,1.52051,1.52144,2231
2015.02.09,12:30,1.52145,1.52275,1.52136,1.52165,1932
2015.02.09,13:00,1.52164,1.52276,1.52097,1.52141,1978
2015.02.09,13:30,1.52141,1.52261,1.52058,1.52194,1899
2015.02.09,14:00,1.52191,1.52263,1.52142,1.52191,1952
2015.02.09,14:30,1.52191,1.52201,1.52,1.52053,2346
2015.02.09,15:00,1.52051,1.52162,1.52007,1.52062,2367
2015.02.09,15:30,1.52064,1.52189,1.52028,1.52156,2188
2015.02.09,16:00,1.52155,1.5226,1.52134,1.52209,2342
2015.02.09,16:30,1.52208,1.52388,1.52179,1.52278,2761
2015.02.09,17:00,1.52278,1.52379,1.52118,1.52243,2660
2015.02.09,17:30,1.52242,1.52432,1.52239,1.52399,2260
2015.02.09,18:00,1.52397,1.52418,1.52232,1.52235,2266
2015.02.09,18:30,1.52236,1.52266,1.52136,1.52147,2020
2015.02.09,19:00,1.52151,1.52211,1.52094,1.52172,1688
