names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,10,['GBPCHF'],80.0,0.2134285714285715,S
EURUSD,15,"['EURCHF', 'AUDCAD']",100.0,-1.0,B
AUDUSD,20,['USDJPY'],80.0,-0.5311725513049045,B
NZDUSD,10,"['AUDCHF', 'NZDCHF']",80.0,0.3690873015873015,S
GBPCHF,50,"['GBPCAD', 'EURAUD', 'EURCAD', 'GBPUSD', 'USDCHF', 'EURUSD', 'EURJPY', 'AUDUSD']",80.0,0.7054444444444445,S
EURCHF,10,"['AUDCAD', 'NZDJPY', 'EURCHF', 'CADJPY']",80.0,-0.06,B
CADCHF,10,"['GBPAUD', 'GBPCHF']",80.0,-0.23771428571428568,B
NZDCHF,50,"['AUDUSD', 'GBPAUD']",100.0,-0.32994159073628027,B
EURGBP,20,"['AUDCAD', 'USDCHF', 'CADJPY', 'AUDUSD']",100.0,-0.92,B
GBPJPY,10,"['GBPAUD', 'GBPCHF', 'EURCAD', 'EURAUD', 'GBPUSD']",100.0,-0.48,B
GBPCAD,10,"['EURGBP', 'AUDUSD']",80.0,-0.56,B
EURJPY,15,"['GBPCHF', 'GBPAUD', 'NZDCAD', 'AUDCAD']",100.0,-0.58,B
EURCAD,10,['EURGBP'],100.0,-0.9840000000000001,B
EURAUD,20,['EURCHF'],80.0,-0.6865375180375182,B
EURNZD,10,"['AUDCHF', 'NZDCHF']",100.0,-1.0,B
AUDJPY,10,"['GBPJPY', 'GBPCHF']",80.0,0.4739523809523811,S
NZDJPY,20,"['GBPUSD', 'USDCAD', 'GBPJPY']",100.0,0.2214112554112554,S
AUDCAD,10,['USDCHF'],80.0,0.45499206349206367,S
NZDCAD,10,"['NZDCHF', 'AUDCHF', 'CADCHF', 'NZDJPY', 'GBPCAD', 'GBPJPY']",80.0,0.94,S
