date,ignore,open,high,low,close,volume
2015.05.25,00:00,95.049,95.159,95.049,95.086,449
2015.05.25,00:30,95.084,95.102,94.912,94.927,792
2015.05.25,01:00,94.927,95.12,94.918,95.107,1229
2015.05.25,01:30,95.107,95.16,95.05,95.054,892
2015.05.25,02:00,95.054,95.083,94.994,95.002,1672
2015.05.25,02:30,95.003,95.029,94.924,94.949,1711
2015.05.25,03:00,94.949,95.07,94.94,95.046,2328
2015.05.25,03:30,95.047,95.091,94.987,95.014,2136
2015.05.25,04:00,95.014,95.092,95.013,95.073,1769
2015.05.25,04:30,95.075,95.119,95.062,95.084,1461
2015.05.25,05:00,95.085,95.166,95.07,95.163,1455
2015.05.25,05:30,95.161,95.222,95.126,95.191,1461
2015.05.25,06:00,95.189,95.24,95.154,95.204,1587
2015.05.25,06:30,95.203,95.222,95.159,95.173,1292
2015.05.25,07:00,95.176,95.285,95.142,95.247,1683
2015.05.25,07:30,95.25,95.251,95.175,95.234,1864
2015.05.25,08:00,95.232,95.248,95.086,95.116,1700
2015.05.25,08:30,95.117,95.161,95.058,95.131,1841
2015.05.25,09:00,95.131,95.206,95.093,95.159,2209
2015.05.25,09:30,95.157,95.215,95.126,95.211,1734
2015.05.25,10:00,95.209,95.243,95.161,95.177,1818
2015.05.25,10:30,95.178,95.25,95.143,95.208,2215
2015.05.25,11:00,95.208,95.233,95.155,95.172,1908
2015.05.25,11:30,95.172,95.246,95.134,95.195,2212
2015.05.25,12:00,95.196,95.237,95.184,95.19,2060
2015.05.25,12:30,95.193,95.242,95.178,95.188,1547
2015.05.25,13:00,95.188,95.205,95.16,95.165,1438
2015.05.25,13:30,95.165,95.216,95.156,95.191,1313
2015.05.25,14:00,95.192,95.217,95.177,95.179,1261
2015.05.25,14:30,95.184,95.197,95.139,95.149,1147
2015.05.25,15:00,95.151,95.163,95.109,95.118,1299
2015.05.25,15:30,95.119,95.128,95.079,95.097,1454
2015.05.25,16:00,95.098,95.158,95.078,95.144,1376
2015.05.25,16:30,95.144,95.144,95.039,95.056,1531
2015.05.25,17:00,95.057,95.117,95.033,95.061,1387
2015.05.25,17:30,95.06,95.118,95.043,95.097,1291
2015.05.25,18:00,95.087,95.158,95.08,95.153,1078
2015.05.25,18:30,95.153,95.163,95.106,95.107,1225
2015.05.25,19:00,95.106,95.113,95.081,95.086,789
2015.05.25,19:30,95.084,95.117,95.048,95.086,1372
2015.05.25,20:00,95.087,95.096,95.051,95.071,1918
2015.05.25,20:30,95.075,95.122,95.056,95.065,1634
2015.05.25,21:00,95.062,95.105,95.032,95.071,2019
2015.05.25,21:30,95.074,95.09,95.061,95.077,1519
2015.05.25,22:00,95.075,95.09,95.059,95.078,1235
2015.05.25,22:30,95.078,95.089,95.063,95.077,1904
2015.05.25,23:00,95.076,95.097,95.067,95.092,992
2015.05.25,23:30,95.098,95.116,95.053,95.08,1623
2015.05.26,00:00,95.074,95.093,95.045,95.079,751
2015.05.26,00:30,95.08,95.123,95.053,95.075,1559
2015.05.26,01:00,95.083,95.145,95.079,95.125,1748
2015.05.26,01:30,95.124,95.182,95.1,95.155,974
2015.05.26,02:00,95.157,95.183,95.113,95.158,823
2015.05.26,02:30,95.157,95.192,95.124,95.151,1162
2015.05.26,03:00,95.151,95.178,95.088,95.164,1772
2015.05.26,03:30,95.167,95.168,95.103,95.158,2062
2015.05.26,04:00,95.158,95.206,95.143,95.169,2060
2015.05.26,04:30,95.169,95.245,95.156,95.237,1640
2015.05.26,05:00,95.238,95.277,95.212,95.25,1498
2015.05.26,05:30,95.251,95.357,95.232,95.333,1333
2015.05.26,06:00,95.332,95.401,95.321,95.371,1002
2015.05.26,06:30,95.371,95.43,95.34,95.378,1249
2015.05.26,07:00,95.379,95.453,95.369,95.408,1237
2015.05.26,07:30,95.405,95.444,95.397,95.413,1508
2015.05.26,08:00,95.414,95.431,95.338,95.39,1602
2015.05.26,08:30,95.39,95.44,95.361,95.424,1555
2015.05.26,09:00,95.425,95.634,95.403,95.575,4088
2015.05.26,09:30,95.576,95.735,95.504,95.552,4242
2015.05.26,10:00,95.552,95.653,95.293,95.433,4434
2015.05.26,10:30,95.436,95.438,95.352,95.409,3188
2015.05.26,11:00,95.407,95.433,95.368,95.42,2755
2015.05.26,11:30,95.42,95.574,95.416,95.558,3057
2015.05.26,12:00,95.554,95.76,95.547,95.721,3179
2015.05.26,12:30,95.725,95.725,95.622,95.683,2481
2015.05.26,13:00,95.679,95.698,95.566,95.683,2045
2015.05.26,13:30,95.69,95.694,95.621,95.646,2657
2015.05.26,14:00,95.646,95.658,95.558,95.654,2705
2015.05.26,14:30,95.653,95.699,95.592,95.617,2168
2015.05.26,15:00,95.617,95.671,95.551,95.569,3142
2015.05.26,15:30,95.565,95.738,95.497,95.542,4975
2015.05.26,16:00,95.541,95.602,95.531,95.583,3845
2015.05.26,16:30,95.584,95.604,95.411,95.438,3769
2015.05.26,17:00,95.428,95.475,95.333,95.383,4737
2015.05.26,17:30,95.383,95.411,95.264,95.272,3734
2015.05.26,18:00,95.27,95.278,95.15,95.226,3883
2015.05.26,18:30,95.227,95.332,95.205,95.212,2919
2015.05.26,19:00,95.213,95.232,95.177,95.21,2472
2015.05.26,19:30,95.211,95.236,95.15,95.169,1918
2015.05.26,20:00,95.169,95.242,95.143,95.21,2265
2015.05.26,20:30,95.209,95.236,95.179,95.183,1578
2015.05.26,21:00,95.185,95.239,95.169,95.221,1360
2015.05.26,21:30,95.22,95.233,95.102,95.107,1457
2015.05.26,22:00,95.104,95.173,95.081,95.173,1580
2015.05.26,22:30,95.173,95.193,95.139,95.18,1580
2015.05.26,23:00,95.183,95.247,95.156,95.244,1203
2015.05.26,23:30,95.242,95.253,95.184,95.197,2395
2015.05.27,00:00,95.193,95.216,95.103,95.204,773
2015.05.27,00:30,95.205,95.226,95.109,95.172,778
2015.05.27,01:00,95.171,95.239,95.167,95.229,1290
2015.05.27,01:30,95.228,95.271,95.207,95.237,818
2015.05.27,02:00,95.236,95.239,95.174,95.209,951
2015.05.27,02:30,95.21,95.297,95.172,95.244,927
2015.05.27,03:00,95.243,95.318,95.218,95.303,1585
2015.05.27,03:30,95.301,95.31,95.241,95.28,1767
2015.05.27,04:00,95.277,95.306,95.233,95.246,2607
2015.05.27,04:30,95.248,95.324,95.185,95.269,2422
2015.05.27,05:00,95.268,95.372,95.253,95.361,1835
2015.05.27,05:30,95.361,95.424,95.266,95.299,2057
2015.05.27,06:00,95.3,95.364,95.29,95.322,1324
2015.05.27,06:30,95.323,95.401,95.321,95.364,1604
2015.05.27,07:00,95.365,95.422,95.344,95.358,1440
2015.05.27,07:30,95.357,95.395,95.346,95.38,1436
2015.05.27,08:00,95.375,95.421,95.351,95.392,2053
2015.05.27,08:30,95.392,95.401,95.272,95.318,2542
2015.05.27,09:00,95.317,95.496,95.31,95.448,2946
2015.05.27,09:30,95.45,95.481,95.419,95.464,3136
