date,ignore,open,high,low,close,volume
2015.11.16,00:00,79.975,80.122,79.969,80.075,956
2015.11.16,00:30,80.075,80.119,79.892,79.95,1262
2015.11.16,01:00,79.95,80.078,79.81,79.882,3001
2015.11.16,01:30,79.882,79.914,79.789,79.895,2120
2015.11.16,02:00,79.897,80.032,79.892,80.012,2251
2015.11.16,02:30,80.012,80.035,79.873,79.941,1713
2015.11.16,03:00,79.94,80.111,79.937,80.074,2122
2015.11.16,03:30,80.072,80.076,79.956,79.979,1627
2015.11.16,04:00,79.978,79.993,79.911,79.984,1347
2015.11.16,04:30,79.985,80.029,79.983,79.993,1105
2015.11.16,05:00,79.992,80.009,79.966,79.997,810
2015.11.16,05:30,79.998,80.0,79.912,79.924,930
2015.11.16,06:00,79.927,79.964,79.905,79.957,1097
2015.11.16,06:30,79.954,79.986,79.934,79.967,985
2015.11.16,07:00,79.967,80.018,79.948,79.976,1130
2015.11.16,07:30,79.974,79.993,79.95,79.981,920
2015.11.16,08:00,79.981,80.042,79.979,80.031,1018
2015.11.16,08:30,80.031,80.055,79.997,80.017,918
2015.11.16,09:00,80.015,80.179,79.995,80.124,2741
2015.11.16,09:30,80.124,80.225,80.106,80.199,2426
2015.11.16,10:00,80.198,80.306,80.163,80.287,2988
2015.11.16,10:30,80.285,80.324,80.154,80.155,2253
2015.11.16,11:00,80.157,80.185,80.103,80.136,2955
2015.11.16,11:30,80.138,80.194,80.095,80.131,2173
2015.11.16,12:00,80.132,80.151,79.704,79.712,2718
2015.11.16,12:30,79.712,79.881,79.71,79.734,2237
2015.11.16,13:00,79.735,79.898,79.729,79.843,2158
2015.11.16,13:30,79.842,79.865,79.718,79.787,2160
2015.11.16,14:00,79.787,79.809,79.731,79.774,2147
2015.11.16,14:30,79.776,79.807,79.715,79.806,1983
2015.11.16,15:00,79.807,79.807,79.694,79.722,2110
2015.11.16,15:30,79.717,79.742,79.649,79.661,2695
2015.11.16,16:00,79.662,79.685,79.611,79.679,2312
2015.11.16,16:30,79.68,79.751,79.622,79.636,3346
2015.11.16,17:00,79.635,79.781,79.611,79.773,3904
2015.11.16,17:30,79.773,79.819,79.708,79.796,2989
2015.11.16,18:00,79.796,79.846,79.756,79.776,3070
2015.11.16,18:30,79.776,79.9,79.766,79.842,1916
