date,ignore,open,high,low,close,volume
2016.02.01,00:00,1.39681,1.39787,1.3964,1.39757,172
2016.02.01,00:30,1.39757,1.39848,1.39754,1.39842,510
2016.02.01,01:00,1.3984,1.39887,1.39698,1.39776,2367
2016.02.01,01:30,1.39772,1.3983,1.39724,1.39732,1515
2016.02.01,02:00,1.39735,1.39898,1.397,1.39839,1944
2016.02.01,02:30,1.3984,1.4005,1.39796,1.40035,2628
2016.02.01,03:00,1.40037,1.40055,1.39858,1.40027,3092
2016.02.01,03:30,1.40026,1.4007,1.3991,1.40053,2228
2016.02.01,04:00,1.40045,1.40118,1.39972,1.40038,2274
2016.02.01,04:30,1.40038,1.40045,1.39945,1.39975,1994
2016.02.01,05:00,1.39978,1.40062,1.39961,1.40054,1875
2016.02.01,05:30,1.40058,1.40142,1.40044,1.40056,2877
2016.02.01,06:00,1.40056,1.40102,1.40028,1.40093,1540
2016.02.01,06:30,1.40093,1.40099,1.39985,1.40011,1568
2016.02.01,07:00,1.40011,1.40023,1.39884,1.39889,2463
2016.02.01,07:30,1.39889,1.39985,1.39862,1.39958,2298
2016.02.01,08:00,1.39958,1.40102,1.39954,1.40098,2268
2016.02.01,08:30,1.40095,1.40232,1.40012,1.40107,1940
2016.02.01,09:00,1.40107,1.40266,1.40036,1.40252,3063
2016.02.01,09:30,1.40252,1.40344,1.40201,1.4025,3407
2016.02.01,10:00,1.40251,1.40478,1.40234,1.40347,5259
2016.02.01,10:30,1.40346,1.40397,1.4025,1.4027,4444
2016.02.01,11:00,1.40269,1.40549,1.40258,1.40344,4859
2016.02.01,11:30,1.40344,1.40471,1.40225,1.40471,4771
2016.02.01,12:00,1.40471,1.4056,1.40393,1.40414,4114
2016.02.01,12:30,1.40416,1.40474,1.40357,1.40375,5131
2016.02.01,13:00,1.40375,1.40398,1.40259,1.4039,3882
2016.02.01,13:30,1.4039,1.40452,1.40316,1.40416,3191
2016.02.01,14:00,1.40416,1.40578,1.40339,1.40576,4134
2016.02.01,14:30,1.40576,1.40618,1.40394,1.40394,4797
2016.02.01,15:00,1.40393,1.40395,1.3997,1.40033,6014
2016.02.01,15:30,1.40029,1.40321,1.40025,1.4027,5113
2016.02.01,16:00,1.40268,1.4029,1.39995,1.40001,5227
2016.02.01,16:30,1.4,1.4049,1.39974,1.40389,7929
2016.02.01,17:00,1.40388,1.40578,1.40158,1.40242,8502
2016.02.01,17:30,1.40242,1.40248,1.40014,1.40064,7283
2016.02.01,18:00,1.40064,1.40181,1.39829,1.39911,6707
2016.02.01,18:30,1.39911,1.40077,1.39815,1.40046,4824
2016.02.01,19:00,1.40045,1.40142,1.39961,1.401,4223
2016.02.01,19:30,1.401,1.4017,1.40002,1.40064,3836
2016.02.01,20:00,1.4007,1.40093,1.39888,1.39938,3977
2016.02.01,20:30,1.39938,1.4003,1.39586,1.39609,3436
2016.02.01,21:00,1.3961,1.39662,1.39123,1.39187,5435
2016.02.01,21:30,1.39192,1.39392,1.39187,1.39341,3949
2016.02.01,22:00,1.39341,1.39395,1.39221,1.39243,3277
2016.02.01,22:30,1.39243,1.39305,1.39076,1.39301,4113
2016.02.01,23:00,1.39303,1.39366,1.39277,1.39282,2172
2016.02.01,23:30,1.39282,1.39477,1.39238,1.39447,1818
2016.02.02,00:00,1.3941,1.39481,1.3934,1.39455,1478
2016.02.02,00:30,1.39461,1.39517,1.39446,1.39506,600
2016.02.02,01:00,1.39508,1.39544,1.39386,1.39419,2635
2016.02.02,01:30,1.39419,1.3955,1.39409,1.39549,1948
2016.02.02,02:00,1.39547,1.39604,1.39507,1.39578,1263
2016.02.02,02:30,1.39578,1.39655,1.39574,1.39634,1528
2016.02.02,03:00,1.39634,1.39722,1.39626,1.3968,2102
2016.02.02,03:30,1.3968,1.39698,1.39554,1.39601,2082
2016.02.02,04:00,1.39601,1.39603,1.39512,1.39547,1391
2016.02.02,04:30,1.39548,1.3963,1.39528,1.39605,1530
2016.02.02,05:00,1.39608,1.39674,1.39591,1.3966,1683
2016.02.02,05:30,1.3966,1.39946,1.39588,1.39879,3610
2016.02.02,06:00,1.39879,1.40057,1.39873,1.40053,2159
2016.02.02,06:30,1.40051,1.40077,1.3994,1.39945,3301
2016.02.02,07:00,1.39945,1.40069,1.39927,1.40017,2829
2016.02.02,07:30,1.40015,1.40057,1.39985,1.39988,2472
2016.02.02,08:00,1.39989,1.40157,1.39989,1.40121,3035
2016.02.02,08:30,1.40122,1.40167,1.40034,1.40141,2469
2016.02.02,09:00,1.40141,1.40218,1.40078,1.40191,2686
2016.02.02,09:30,1.40192,1.40199,1.40056,1.40095,3110
2016.02.02,10:00,1.40095,1.40276,1.40081,1.40265,4536
2016.02.02,10:30,1.40269,1.4039,1.40264,1.4037,4856
2016.02.02,11:00,1.40374,1.40391,1.40221,1.40347,3682
2016.02.02,11:30,1.40346,1.4039,1.40231,1.40316,3988
2016.02.02,12:00,1.40316,1.40354,1.40103,1.40127,4260
2016.02.02,12:30,1.40127,1.40136,1.39996,1.40079,3840
2016.02.02,13:00,1.40079,1.40239,1.40048,1.40084,3444
2016.02.02,13:30,1.40084,1.40157,1.3998,1.40041,3678
2016.02.02,14:00,1.40041,1.40101,1.39872,1.39901,4056
2016.02.02,14:30,1.39901,1.39983,1.39798,1.39884,3660
2016.02.02,15:00,1.39884,1.40241,1.39876,1.40231,4620
2016.02.02,15:30,1.40231,1.40699,1.40214,1.40655,6284
2016.02.02,16:00,1.40651,1.40786,1.40393,1.40411,6674
2016.02.02,16:30,1.40411,1.40816,1.40392,1.40584,8011
2016.02.02,17:00,1.40586,1.40731,1.40513,1.40618,7140
2016.02.02,17:30,1.40619,1.40726,1.40408,1.40707,6424
2016.02.02,18:00,1.40707,1.40767,1.40335,1.40336,6537
2016.02.02,18:30,1.40337,1.40428,1.4023,1.40387,5409
2016.02.02,19:00,1.40388,1.40554,1.40308,1.40467,4271
2016.02.02,19:30,1.40466,1.40529,1.4023,1.40261,4050
2016.02.02,20:00,1.40264,1.40359,1.40073,1.40073,3519
2016.02.02,20:30,1.40073,1.40222,1.4001,1.40214,4100
2016.02.02,21:00,1.40214,1.40412,1.40133,1.40392,4660
2016.02.02,21:30,1.40394,1.40399,1.40171,1.40234,3423
2016.02.02,22:00,1.40232,1.40297,1.40161,1.40198,5255
2016.02.02,22:30,1.40198,1.40302,1.40149,1.40277,5019
2016.02.02,23:00,1.40278,1.40386,1.40196,1.40385,2338
2016.02.02,23:30,1.40384,1.40542,1.40306,1.40529,3590
2016.02.03,00:00,1.40525,1.40546,1.40458,1.40513,828
2016.02.03,00:30,1.40519,1.40544,1.40401,1.40474,1806
2016.02.03,01:00,1.40474,1.40604,1.40474,1.4054,2893
2016.02.03,01:30,1.40539,1.40671,1.40502,1.40671,1130
2016.02.03,02:00,1.4067,1.40726,1.40609,1.40706,2212
2016.02.03,02:30,1.40707,1.40935,1.4068,1.40865,2577
2016.02.03,03:00,1.40865,1.40978,1.40796,1.40926,2008
2016.02.03,03:30,1.40928,1.40976,1.40864,1.40936,2368
2016.02.03,04:00,1.40935,1.40979,1.4087,1.40928,2002
2016.02.03,04:30,1.40926,1.40965,1.40828,1.40879,1885
2016.02.03,05:00,1.40881,1.40995,1.40876,1.40971,1644
2016.02.03,05:30,1.40968,1.41025,1.40775,1.40783,1958
2016.02.03,06:00,1.40784,1.40836,1.40777,1.4081,2389
2016.02.03,06:30,1.40808,1.40935,1.40805,1.40919,1394
2016.02.03,07:00,1.40919,1.40986,1.40891,1.40962,1334
