date,ignore,open,high,low,close,volume
2017.02.27,00:00,0.7247,0.72527,0.72455,0.72508,396
2017.02.27,00:30,0.72504,0.72532,0.72467,0.72499,434
2017.02.27,01:00,0.72502,0.72536,0.72496,0.72524,955
2017.02.27,01:30,0.72521,0.7253,0.72448,0.72506,773
2017.02.27,02:00,0.72506,0.72506,0.72443,0.72472,1032
2017.02.27,02:30,0.72472,0.7251,0.72446,0.72478,926
2017.02.27,03:00,0.72475,0.72492,0.72377,0.72456,1163
2017.02.27,03:30,0.72456,0.72487,0.72405,0.7245,858
2017.02.27,04:00,0.72449,0.72475,0.72432,0.7246,846
2017.02.27,04:30,0.7246,0.72469,0.72416,0.72443,764
2017.02.27,05:00,0.72445,0.72479,0.7243,0.7246,751
2017.02.27,05:30,0.7246,0.7251,0.72453,0.72505,679
2017.02.27,06:00,0.72505,0.72525,0.72497,0.72516,679
2017.02.27,06:30,0.72517,0.72594,0.72491,0.72542,904
2017.02.27,07:00,0.72542,0.7255,0.72504,0.72536,923
2017.02.27,07:30,0.72536,0.72542,0.72501,0.72539,760
2017.02.27,08:00,0.72539,0.72573,0.7252,0.72554,865
2017.02.27,08:30,0.72555,0.72606,0.72555,0.72584,870
2017.02.27,09:00,0.72585,0.72608,0.72552,0.72557,1098
2017.02.27,09:30,0.72558,0.72565,0.72501,0.7253,1172
2017.02.27,10:00,0.72533,0.72609,0.72502,0.72562,1503
2017.02.27,10:30,0.72561,0.7262,0.72534,0.72556,1526
2017.02.27,11:00,0.72556,0.72621,0.72554,0.72564,1335
2017.02.27,11:30,0.72564,0.72567,0.72419,0.72441,1359
2017.02.27,12:00,0.72443,0.72456,0.7237,0.72403,1145
2017.02.27,12:30,0.72404,0.72462,0.72398,0.72418,989
2017.02.27,13:00,0.72419,0.72441,0.72396,0.72412,950
2017.02.27,13:30,0.72414,0.72441,0.72389,0.72413,820
2017.02.27,14:00,0.72414,0.72464,0.724,0.7245,753
2017.02.27,14:30,0.7245,0.7252,0.72437,0.72515,1097
2017.02.27,15:00,0.72514,0.72538,0.72467,0.72492,1211
2017.02.27,15:30,0.72493,0.72541,0.72473,0.72501,1645
2017.02.27,16:00,0.72501,0.72557,0.72475,0.72553,1273
2017.02.27,16:30,0.72553,0.72572,0.72498,0.72498,1408
2017.02.27,17:00,0.72502,0.72565,0.72473,0.72545,2624
2017.02.27,17:30,0.72545,0.72621,0.72526,0.72538,1802
2017.02.27,18:00,0.7254,0.72589,0.72492,0.72555,1975
2017.02.27,18:30,0.72556,0.72599,0.72536,0.72579,1390
2017.02.27,19:00,0.72578,0.72612,0.72565,0.72578,1172
2017.02.27,19:30,0.72578,0.72606,0.72542,0.72555,970
2017.02.27,20:00,0.72554,0.72606,0.72533,0.72576,1057
2017.02.27,20:30,0.72574,0.72622,0.72571,0.72616,1264
2017.02.27,21:00,0.72617,0.72621,0.7257,0.72574,953
2017.02.27,21:30,0.72573,0.72647,0.72564,0.72644,914
2017.02.27,22:00,0.72641,0.72641,0.72577,0.72597,897
2017.02.27,22:30,0.72597,0.72598,0.72546,0.72548,848
2017.02.27,23:00,0.72548,0.72589,0.72544,0.72581,652
2017.02.27,23:30,0.72582,0.72584,0.72509,0.72514,506
2017.02.28,00:00,0.72528,0.72552,0.72443,0.72515,343
2017.02.28,00:30,0.72513,0.72546,0.72479,0.72508,432
2017.02.28,01:00,0.72512,0.72553,0.72479,0.72479,518
2017.02.28,01:30,0.72478,0.72511,0.72455,0.72475,539
2017.02.28,02:00,0.72479,0.72522,0.72472,0.72496,970
2017.02.28,02:30,0.72499,0.72529,0.72466,0.72489,1043
2017.02.28,03:00,0.72487,0.72525,0.72461,0.72517,863
2017.02.28,03:30,0.72517,0.72538,0.72478,0.7249,832
2017.02.28,04:00,0.72492,0.72496,0.72457,0.72482,830
2017.02.28,04:30,0.72483,0.72485,0.72388,0.72395,786
2017.02.28,05:00,0.72394,0.7243,0.72373,0.72419,764
2017.02.28,05:30,0.72421,0.72444,0.72392,0.72444,555
2017.02.28,06:00,0.72444,0.72474,0.72436,0.72458,707
2017.02.28,06:30,0.72458,0.72473,0.72424,0.72471,665
2017.02.28,07:00,0.72471,0.72515,0.72464,0.72493,744
2017.02.28,07:30,0.72493,0.72506,0.72413,0.72425,849
2017.02.28,08:00,0.72426,0.72432,0.72394,0.72408,915
2017.02.28,08:30,0.72408,0.72427,0.72386,0.72406,843
2017.02.28,09:00,0.72406,0.72425,0.72315,0.72323,1224
2017.02.28,09:30,0.72321,0.72366,0.72321,0.72334,1439
2017.02.28,10:00,0.72333,0.72423,0.72332,0.72385,1384
2017.02.28,10:30,0.72385,0.72423,0.72339,0.72359,1429
2017.02.28,11:00,0.72359,0.72405,0.7235,0.724,1248
2017.02.28,11:30,0.724,0.72421,0.72265,0.72265,1155
2017.02.28,12:00,0.72262,0.723,0.72226,0.72239,1140
2017.02.28,12:30,0.72238,0.72272,0.72191,0.72255,1214
2017.02.28,13:00,0.72254,0.7232,0.72245,0.72315,1232
2017.02.28,13:30,0.72315,0.72359,0.72301,0.72316,977
2017.02.28,14:00,0.72316,0.72394,0.72299,0.72368,1156
2017.02.28,14:30,0.72369,0.72414,0.72356,0.72406,1161
2017.02.28,15:00,0.72404,0.72404,0.72278,0.72279,1448
2017.02.28,15:30,0.72278,0.72396,0.72278,0.72394,2069
2017.02.28,16:00,0.72394,0.72431,0.72381,0.72393,1443
2017.02.28,16:30,0.72392,0.72425,0.72353,0.72381,1676
2017.02.28,17:00,0.72386,0.72508,0.72386,0.72506,2057
2017.02.28,17:30,0.72503,0.72534,0.72372,0.72387,2223
2017.02.28,18:00,0.72391,0.72423,0.72338,0.72421,2260
2017.02.28,18:30,0.72421,0.72472,0.72404,0.72415,1382
2017.02.28,19:00,0.72415,0.72464,0.72392,0.72437,1623
2017.02.28,19:30,0.72438,0.72497,0.72413,0.72464,1472
2017.02.28,20:00,0.72461,0.72475,0.72371,0.72371,1070
2017.02.28,20:30,0.72373,0.72422,0.72368,0.72404,1142
2017.02.28,21:00,0.72404,0.72418,0.72389,0.72416,1163
2017.02.28,21:30,0.72415,0.72429,0.72388,0.72409,1134
2017.02.28,22:00,0.7241,0.7241,0.72309,0.72323,1323
2017.02.28,22:30,0.72323,0.72336,0.72287,0.7232,1185
2017.02.28,23:00,0.7232,0.72321,0.72239,0.72291,1325
2017.02.28,23:30,0.72291,0.72333,0.72267,0.72293,706
2017.03.01,00:00,0.72304,0.7235,0.72249,0.72327,382
2017.03.01,00:30,0.72324,0.72345,0.72238,0.7224,412
2017.03.01,01:00,0.7224,0.72278,0.72222,0.72238,771
2017.03.01,01:30,0.72236,0.72237,0.72121,0.72169,801
2017.03.01,02:00,0.72169,0.72195,0.72124,0.72151,1156
2017.03.01,02:30,0.7215,0.72227,0.7201,0.72027,1401
2017.03.01,03:00,0.72027,0.72093,0.72018,0.72029,1374
2017.03.01,03:30,0.7203,0.72083,0.71998,0.72081,1532
2017.03.01,04:00,0.7208,0.72237,0.72077,0.72232,1936
2017.03.01,04:30,0.72233,0.72256,0.72099,0.72126,1482
2017.03.01,05:00,0.72125,0.72132,0.72033,0.72076,1477
2017.03.01,05:30,0.72075,0.72086,0.72026,0.72039,1317
2017.03.01,06:00,0.72041,0.72071,0.72021,0.72035,881
2017.03.01,06:30,0.72034,0.72065,0.72013,0.72021,842
2017.03.01,07:00,0.7202,0.72029,0.71919,0.71919,882
2017.03.01,07:30,0.71919,0.72024,0.71919,0.71977,1000
2017.03.01,08:00,0.71977,0.72045,0.71976,0.72031,1022
2017.03.01,08:30,0.72031,0.72033,0.71946,0.71946,808
2017.03.01,09:00,0.71949,0.71977,0.71683,0.71732,2164
2017.03.01,09:30,0.71733,0.71885,0.71692,0.71871,1946
2017.03.01,10:00,0.71872,0.71975,0.71872,0.71974,1958
2017.03.01,10:30,0.71978,0.72045,0.71935,0.72009,1391
2017.03.01,11:00,0.72005,0.72028,0.71931,0.72001,1612
2017.03.01,11:30,0.72001,0.72063,0.71957,0.7197,1584
2017.03.01,12:00,0.71968,0.72051,0.71956,0.72047,1178
2017.03.01,12:30,0.72044,0.72047,0.71955,0.71962,1182
2017.03.01,13:00,0.71962,0.71975,0.718,0.71846,1358
2017.03.01,13:30,0.71846,0.71986,0.71838,0.71941,1562
2017.03.01,14:00,0.71941,0.71977,0.71889,0.71916,1453
2017.03.01,14:30,0.71911,0.71984,0.71902,0.71967,1338
2017.03.01,15:00,0.71967,0.72009,0.71936,0.71937,1707
2017.03.01,15:30,0.71935,0.72013,0.71908,0.72012,2156
2017.03.01,16:00,0.7201,0.72081,0.72004,0.72032,1619
2017.03.01,16:30,0.72033,0.72095,0.72003,0.72034,1627
2017.03.01,17:00,0.72034,0.72103,0.71974,0.72049,2495
2017.03.01,17:30,0.72051,0.72072,0.71838,0.7184,2131
2017.03.01,18:00,0.71841,0.71918,0.71785,0.71794,1565
2017.03.01,18:30,0.71794,0.71884,0.71774,0.71796,1591
2017.03.01,19:00,0.71794,0.71884,0.71792,0.71856,1491
2017.03.01,19:30,0.71857,0.71886,0.71839,0.71886,1036
2017.03.01,20:00,0.7188,0.71901,0.71857,0.71899,881
2017.03.01,20:30,0.71899,0.71987,0.71894,0.7196,1055
2017.03.01,21:00,0.7196,0.72037,0.71953,0.72021,1275
2017.03.01,21:30,0.72021,0.72088,0.7199,0.7202,1257
2017.03.01,22:00,0.72017,0.72262,0.72017,0.72146,1644
2017.03.01,22:30,0.72152,0.72155,0.72055,0.72067,1048
2017.03.01,23:00,0.72068,0.72081,0.72036,0.72068,540
2017.03.01,23:30,0.72064,0.72084,0.71991,0.71992,432
2017.03.02,00:00,0.71975,0.72103,0.71975,0.72077,445
2017.03.02,00:30,0.72084,0.72102,0.72046,0.72063,572
2017.03.02,01:00,0.72061,0.72083,0.71927,0.71972,1004
2017.03.02,01:30,0.71971,0.71983,0.71817,0.71877,947
2017.03.02,02:00,0.71875,0.71955,0.71854,0.71939,912
2017.03.02,02:30,0.71939,0.72104,0.7192,0.72092,1181
2017.03.02,03:00,0.72092,0.72103,0.71998,0.72054,1238
2017.03.02,03:30,0.72054,0.72141,0.72038,0.7208,914
2017.03.02,04:00,0.72082,0.72143,0.72019,0.72143,914
2017.03.02,04:30,0.72144,0.72153,0.72065,0.72067,699
2017.03.02,05:00,0.72067,0.72118,0.72044,0.72101,772
2017.03.02,05:30,0.72101,0.72143,0.7205,0.72058,719
2017.03.02,06:00,0.72058,0.72068,0.72038,0.72048,607
2017.03.02,06:30,0.72048,0.72084,0.72028,0.72044,807
2017.03.02,07:00,0.72045,0.72094,0.72038,0.7209,577
2017.03.02,07:30,0.72088,0.72089,0.72003,0.72043,670
2017.03.02,08:00,0.72044,0.72051,0.7198,0.71991,779
2017.03.02,08:30,0.71993,0.72055,0.71949,0.71985,1014
2017.03.02,09:00,0.71981,0.72076,0.71972,0.72065,1261
2017.03.02,09:30,0.72064,0.72082,0.72031,0.72063,1360
2017.03.02,10:00,0.72063,0.72094,0.71804,0.7182,1400
2017.03.02,10:30,0.71818,0.71876,0.71802,0.71855,1663
2017.03.02,11:00,0.71854,0.71892,0.71782,0.71797,1337
2017.03.02,11:30,0.71797,0.71818,0.71725,0.71767,1608
2017.03.02,12:00,0.71765,0.71813,0.71718,0.71779,1414
2017.03.02,12:30,0.71779,0.71817,0.7177,0.71806,1194
2017.03.02,13:00,0.71803,0.71819,0.71764,0.71769,1066
2017.03.02,13:30,0.7177,0.71847,0.71748,0.71835,1165
2017.03.02,14:00,0.71833,0.71876,0.71777,0.71785,1737
2017.03.02,14:30,0.71785,0.71875,0.71782,0.71822,1517
2017.03.02,15:00,0.7182,0.71846,0.71767,0.71777,1700
2017.03.02,15:30,0.71782,0.71846,0.71766,0.71777,1673
2017.03.02,16:00,0.71776,0.71834,0.71695,0.71722,1768
2017.03.02,16:30,0.7172,0.71723,0.7158,0.71599,2256
2017.03.02,17:00,0.71599,0.71647,0.71574,0.71627,2039
2017.03.02,17:30,0.71625,0.71641,0.71531,0.7154,1928
2017.03.02,18:00,0.71539,0.71595,0.71487,0.71504,1594
2017.03.02,18:30,0.71504,0.71527,0.7148,0.71527,1487
2017.03.02,19:00,0.71527,0.71527,0.7146,0.71495,1301
2017.03.02,19:30,0.71494,0.71538,0.71453,0.71494,923
2017.03.02,20:00,0.71489,0.71492,0.71438,0.71466,883
2017.03.02,20:30,0.71468,0.71511,0.71459,0.71504,832
2017.03.02,21:00,0.71503,0.71548,0.71486,0.71541,903
2017.03.02,21:30,0.71542,0.71597,0.71498,0.71586,1025
2017.03.02,22:00,0.71583,0.71613,0.71551,0.71568,908
2017.03.02,22:30,0.71567,0.71632,0.71549,0.71598,985
2017.03.02,23:00,0.71598,0.71607,0.71531,0.71531,581
2017.03.02,23:30,0.71539,0.71552,0.71499,0.71499,489
2017.03.03,00:00,0.71536,0.71556,0.7149,0.71528,419
2017.03.03,00:30,0.71528,0.71558,0.71506,0.71521,566
2017.03.03,01:00,0.71519,0.71549,0.71463,0.715,575
2017.03.03,01:30,0.71498,0.71532,0.71495,0.71505,562
2017.03.03,02:00,0.71505,0.71505,0.71414,0.71501,898
2017.03.03,02:30,0.71504,0.71537,0.71466,0.71496,785
2017.03.03,03:00,0.71496,0.71498,0.71316,0.71393,1132
2017.03.03,03:30,0.71393,0.71477,0.71375,0.71378,841
2017.03.03,04:00,0.71375,0.71391,0.71289,0.71312,1027
2017.03.03,04:30,0.71311,0.7135,0.71257,0.71293,1017
2017.03.03,05:00,0.71295,0.71295,0.71236,0.71289,784
2017.03.03,05:30,0.71289,0.71296,0.71198,0.71257,810
2017.03.03,06:00,0.71259,0.71267,0.71194,0.71241,701
2017.03.03,06:30,0.71242,0.71277,0.71199,0.71202,791
2017.03.03,07:00,0.71204,0.71215,0.71167,0.71199,792
2017.03.03,07:30,0.71199,0.71235,0.71177,0.71222,857
2017.03.03,08:00,0.71222,0.71236,0.71183,0.71217,858
2017.03.03,08:30,0.71218,0.71277,0.71216,0.71247,905
2017.03.03,09:00,0.71248,0.71279,0.71165,0.71174,1167
2017.03.03,09:30,0.71175,0.71182,0.71079,0.71137,1289
2017.03.03,10:00,0.71138,0.71252,0.71095,0.71221,1667
2017.03.03,10:30,0.7122,0.71263,0.71156,0.7123,1202
2017.03.03,11:00,0.7123,0.71278,0.71192,0.71198,1047
2017.03.03,11:30,0.71198,0.71235,0.71123,0.71187,1418
2017.03.03,12:00,0.71188,0.71203,0.71125,0.71144,1164
2017.03.03,12:30,0.71143,0.71151,0.71008,0.71014,1438
2017.03.03,13:00,0.71015,0.7106,0.70958,0.71056,1350
2017.03.03,13:30,0.71057,0.71071,0.70995,0.7104,1141
2017.03.03,14:00,0.7104,0.71048,0.70951,0.7101,1186
2017.03.03,14:30,0.7101,0.71082,0.71006,0.71082,1695
2017.03.03,15:00,0.71082,0.71157,0.71072,0.71145,1986
2017.03.03,15:30,0.71146,0.71167,0.71076,0.71093,1629
2017.03.03,16:00,0.71095,0.7111,0.70858,0.70871,1636
2017.03.03,16:30,0.7087,0.70933,0.70854,0.70864,1750
2017.03.03,17:00,0.70872,0.70909,0.70841,0.70861,2039
2017.03.03,17:30,0.70864,0.70876,0.70779,0.70846,1956
2017.03.03,18:00,0.70846,0.70941,0.7084,0.70928,1555
2017.03.03,18:30,0.70929,0.70944,0.70872,0.7091,1123
2017.03.03,19:00,0.70908,0.7093,0.70879,0.70908,905
2017.03.03,19:30,0.70908,0.70985,0.70901,0.70926,1462
2017.03.03,20:00,0.70928,0.71025,0.70871,0.71022,2199
2017.03.03,20:30,0.71021,0.71135,0.70994,0.7105,1764
2017.03.03,21:00,0.71051,0.71119,0.70967,0.70977,2065
2017.03.03,21:30,0.70977,0.71047,0.70973,0.70978,1178
2017.03.03,22:00,0.70977,0.7109,0.70962,0.71078,1175
2017.03.03,22:30,0.71081,0.711,0.70976,0.70982,1132
2017.03.03,23:00,0.70984,0.71053,0.70982,0.7104,664
2017.03.03,23:30,0.71041,0.71041,0.70645,0.70645,992
