date,ignore,open,high,low,close,volume
2017.04.10,00:00,82.794,82.855,82.765,82.815,542
2017.04.10,00:30,82.816,82.871,82.804,82.835,983
2017.04.10,01:00,82.836,83.013,82.817,83.003,2368
2017.04.10,01:30,83.002,83.044,82.966,83.005,1717
2017.04.10,02:00,83.005,83.051,82.932,82.94,2279
2017.04.10,02:30,82.94,82.968,82.917,82.942,1799
2017.04.10,03:00,82.941,83.092,82.937,83.087,3014
2017.04.10,03:30,83.085,83.115,83.026,83.048,3541
2017.04.10,04:00,83.049,83.161,83.042,83.076,3698
2017.04.10,04:30,83.076,83.102,83.033,83.068,2829
2017.04.10,05:00,83.068,83.118,83.032,83.039,2676
2017.04.10,05:30,83.039,83.042,83.006,83.03,1637
2017.04.10,06:00,83.029,83.053,83.015,83.025,1063
2017.04.10,06:30,83.025,83.043,83.009,83.029,1234
2017.04.10,07:00,83.029,83.034,82.991,83.009,1586
2017.04.10,07:30,83.01,83.036,82.999,83.024,1419
2017.04.10,08:00,83.024,83.042,82.984,82.99,1781
2017.04.10,08:30,82.989,83.072,82.989,83.061,2215
2017.04.10,09:00,83.06,83.064,82.929,82.944,2875
2017.04.10,09:30,82.944,82.99,82.934,82.96,2628
2017.04.10,10:00,82.96,82.981,82.912,82.943,3557
2017.04.10,10:30,82.942,83.075,82.935,83.034,3351
2017.04.10,11:00,83.034,83.035,82.978,83.032,2534
2017.04.10,11:30,83.031,83.105,83.016,83.037,2253
2017.04.10,12:00,83.037,83.09,83.022,83.046,2188
2017.04.10,12:30,83.045,83.118,83.003,83.035,2593
2017.04.10,13:00,83.033,83.044,82.967,83.006,2667
2017.04.10,13:30,83.006,83.074,83.004,83.064,2081
2017.04.10,14:00,83.065,83.196,83.062,83.171,2693
2017.04.10,14:30,83.171,83.217,83.161,83.176,2555
2017.04.10,15:00,83.176,83.293,83.157,83.269,3604
2017.04.10,15:30,83.27,83.295,83.228,83.27,3716
2017.04.10,16:00,83.27,83.282,83.221,83.224,3756
2017.04.10,16:30,83.224,83.367,83.211,83.302,5341
2017.04.10,17:00,83.302,83.37,83.188,83.195,5076
2017.04.10,17:30,83.197,83.287,83.161,83.171,4766
2017.04.10,18:00,83.17,83.305,83.135,83.279,4658
2017.04.10,18:30,83.28,83.295,83.094,83.113,4353
2017.04.10,19:00,83.113,83.131,82.952,83.045,4053
2017.04.10,19:30,83.046,83.178,83.03,83.168,3100
2017.04.10,20:00,83.168,83.201,83.111,83.174,3285
2017.04.10,20:30,83.175,83.24,83.174,83.189,2825
2017.04.10,21:00,83.189,83.2,83.129,83.163,3303
2017.04.10,21:30,83.163,83.238,83.151,83.222,3097
2017.04.10,22:00,83.226,83.279,83.201,83.242,2679
2017.04.10,22:30,83.242,83.261,83.176,83.218,2848
2017.04.10,23:00,83.217,83.339,83.201,83.272,2861
2017.04.10,23:30,83.273,83.273,83.171,83.217,2162
2017.04.11,00:00,83.195,83.232,83.162,83.166,663
2017.04.11,00:30,83.165,83.179,83.137,83.16,953
2017.04.11,01:00,83.163,83.225,83.161,83.202,1108
2017.04.11,01:30,83.201,83.212,83.065,83.123,2255
2017.04.11,02:00,83.125,83.165,83.12,83.14,962
2017.04.11,02:30,83.139,83.14,83.059,83.08,1704
2017.04.11,03:00,83.078,83.162,83.049,83.133,3331
2017.04.11,03:30,83.135,83.178,83.125,83.139,2557
2017.04.11,04:00,83.138,83.185,83.129,83.157,2472
2017.04.11,04:30,83.156,83.206,83.143,83.143,2486
2017.04.11,05:00,83.144,83.15,83.035,83.062,2757
2017.04.11,05:30,83.061,83.067,82.986,83.035,2888
2017.04.11,06:00,83.037,83.049,82.956,83.045,2295
2017.04.11,06:30,83.048,83.082,83.035,83.058,1523
2017.04.11,07:00,83.059,83.067,82.975,83.002,1983
2017.04.11,07:30,83.002,83.041,83.0,83.035,1612
2017.04.11,08:00,83.033,83.077,83.017,83.043,1840
2017.04.11,08:30,83.044,83.092,83.014,83.082,2313
2017.04.11,09:00,83.084,83.101,83.063,83.081,2593
2017.04.11,09:30,83.079,83.08,82.956,82.986,3148
2017.04.11,10:00,82.987,83.009,82.934,82.975,4180
2017.04.11,10:30,82.976,83.032,82.968,83.014,3174
2017.04.11,11:00,83.014,83.086,83.01,83.045,3350
2017.04.11,11:30,83.046,83.097,83.039,83.047,3046
2017.04.11,12:00,83.048,83.091,83.013,83.071,2464
2017.04.11,12:30,83.07,83.072,82.988,83.038,2017
2017.04.11,13:00,83.036,83.039,82.971,83.001,2636
2017.04.11,13:30,83.002,83.047,82.983,83.046,1879
2017.04.11,14:00,83.046,83.062,83.012,83.035,2255
2017.04.11,14:30,83.036,83.062,83.016,83.016,2210
2017.04.11,15:00,83.016,83.029,82.958,82.989,3438
2017.04.11,15:30,82.989,83.004,82.85,82.856,3653
2017.04.11,16:00,82.855,82.896,82.746,82.766,4488
2017.04.11,16:30,82.764,82.8,82.562,82.665,7559
2017.04.11,17:00,82.665,82.7,82.517,82.624,6901
2017.04.11,17:30,82.626,82.627,82.113,82.208,9139
2017.04.11,18:00,82.207,82.322,82.157,82.239,8462
2017.04.11,18:30,82.239,82.314,82.192,82.293,5713
2017.04.11,19:00,82.293,82.452,82.255,82.436,4720
2017.04.11,19:30,82.435,82.463,82.355,82.357,4283
2017.04.11,20:00,82.357,82.468,82.346,82.385,4766
2017.04.11,20:30,82.382,82.409,82.223,82.253,3892
2017.04.11,21:00,82.253,82.304,82.187,82.29,3893
2017.04.11,21:30,82.29,82.352,82.257,82.265,3379
2017.04.11,22:00,82.264,82.283,82.183,82.242,3055
2017.04.11,22:30,82.242,82.298,82.224,82.283,3119
2017.04.11,23:00,82.283,82.293,82.253,82.254,1504
2017.04.11,23:30,82.254,82.298,82.222,82.24,1591
2017.04.12,00:00,82.231,82.254,82.195,82.201,406
2017.04.12,00:30,82.201,82.239,82.167,82.232,825
2017.04.12,01:00,82.23,82.293,82.215,82.256,4423
2017.04.12,01:30,82.259,82.294,82.232,82.267,1209
2017.04.12,02:00,82.268,82.326,82.261,82.309,1288
2017.04.12,02:30,82.311,82.313,82.199,82.203,1804
2017.04.12,03:00,82.202,82.332,82.178,82.284,3727
2017.04.12,03:30,82.286,82.329,82.038,82.077,3815
2017.04.12,04:00,82.077,82.11,82.009,82.08,4885
2017.04.12,04:30,82.081,82.161,82.032,82.15,3269
2017.04.12,05:00,82.149,82.153,82.072,82.082,2089
2017.04.12,05:30,82.081,82.113,82.055,82.103,2432
2017.04.12,06:00,82.102,82.141,82.037,82.124,2062
2017.04.12,06:30,82.123,82.142,82.105,82.121,1493
2017.04.12,07:00,82.121,82.172,82.071,82.113,1930
2017.04.12,07:30,82.113,82.126,82.044,82.063,1752
2017.04.12,08:00,82.064,82.07,82.022,82.057,1816
2017.04.12,08:30,82.057,82.126,82.051,82.11,2465
2017.04.12,09:00,82.112,82.211,82.087,82.207,3298
2017.04.12,09:30,82.208,82.295,82.197,82.271,2877
2017.04.12,10:00,82.272,82.386,82.223,82.372,4393
2017.04.12,10:30,82.373,82.394,82.283,82.296,3123
2017.04.12,11:00,82.296,82.359,82.236,82.315,2839
2017.04.12,11:30,82.316,82.347,82.283,82.325,2980
2017.04.12,12:00,82.325,82.402,82.311,82.386,2887
2017.04.12,12:30,82.385,82.387,82.293,82.302,2852
2017.04.12,13:00,82.302,82.371,82.234,82.243,3080
2017.04.12,13:30,82.243,82.298,82.211,82.291,2730
2017.04.12,14:00,82.291,82.347,82.238,82.271,3055
2017.04.12,14:30,82.272,82.299,82.237,82.285,2897
2017.04.12,15:00,82.285,82.356,82.271,82.304,3909
2017.04.12,15:30,82.306,82.316,82.212,82.244,3833
2017.04.12,16:00,82.244,82.363,82.204,82.337,3998
2017.04.12,16:30,82.339,82.464,82.281,82.398,7009
2017.04.12,17:00,82.4,82.691,82.398,82.589,8594
2017.04.12,17:30,82.59,82.659,82.457,82.515,7098
2017.04.12,18:00,82.513,82.622,82.254,82.445,7023
2017.04.12,18:30,82.445,82.54,82.224,82.334,5551
2017.04.12,19:00,82.334,82.392,82.304,82.354,3921
2017.04.12,19:30,82.355,82.392,82.334,82.354,2765
2017.04.12,20:00,82.355,82.37,82.316,82.334,3764
2017.04.12,20:30,82.334,82.564,82.294,82.555,5567
2017.04.12,21:00,82.556,82.559,82.42,82.464,3962
2017.04.12,21:30,82.464,82.49,82.329,82.369,3789
2017.04.12,22:00,82.368,82.368,82.115,82.229,8413
2017.04.12,22:30,82.229,82.318,82.21,82.237,7606
2017.04.12,23:00,82.235,82.343,82.22,82.33,2982
2017.04.12,23:30,82.33,82.378,82.213,82.231,3176
2017.04.13,00:00,82.244,82.31,82.175,82.219,1416
2017.04.13,00:30,82.217,82.262,82.186,82.261,1374
2017.04.13,01:00,82.256,82.308,82.246,82.264,1877
2017.04.13,01:30,82.263,82.31,82.263,82.31,1481
2017.04.13,02:00,82.311,82.341,82.263,82.289,1710
2017.04.13,02:30,82.288,82.288,82.182,82.206,2869
2017.04.13,03:00,82.207,82.274,82.158,82.215,4226
2017.04.13,03:30,82.215,82.237,82.13,82.165,3985
2017.04.13,04:00,82.165,82.21,82.116,82.176,4059
2017.04.13,04:30,82.177,82.295,82.147,82.181,4712
2017.04.13,05:00,82.181,82.245,82.17,82.196,3593
2017.04.13,05:30,82.197,82.243,82.159,82.232,3493
2017.04.13,06:00,82.232,82.287,82.219,82.27,2818
2017.04.13,06:30,82.271,82.282,82.205,82.239,2195
2017.04.13,07:00,82.24,82.26,82.223,82.227,1490
2017.04.13,07:30,82.228,82.269,82.218,82.268,1643
2017.04.13,08:00,82.268,82.314,82.254,82.308,2158
