date,ignore,open,high,low,close,volume
2017.04.10,00:00,1.65832,1.65898,1.65777,1.6583,2259
2017.04.10,00:30,1.6583,1.65872,1.65752,1.6583,692
2017.04.10,01:00,1.65822,1.65871,1.65766,1.6578,1790
2017.04.10,01:30,1.65779,1.65872,1.65742,1.65828,2034
2017.04.10,02:00,1.6582,1.65907,1.65742,1.65861,2124
2017.04.10,02:30,1.65863,1.6592,1.65863,1.65878,839
2017.04.10,03:00,1.65878,1.65909,1.65817,1.65889,1203
2017.04.10,03:30,1.65891,1.65986,1.6587,1.65981,1594
2017.04.10,04:00,1.65983,1.66109,1.6598,1.6606,2760
2017.04.10,04:30,1.6606,1.66139,1.66054,1.66101,2059
2017.04.10,05:00,1.66101,1.66136,1.66033,1.66134,2125
2017.04.10,05:30,1.66131,1.66157,1.66075,1.66076,1191
2017.04.10,06:00,1.66079,1.66154,1.66079,1.66113,1081
2017.04.10,06:30,1.66115,1.66133,1.66085,1.66126,1123
2017.04.10,07:00,1.66124,1.66182,1.66122,1.66173,1610
2017.04.10,07:30,1.66172,1.66207,1.66145,1.66191,1043
2017.04.10,08:00,1.66191,1.66191,1.66129,1.66156,1197
2017.04.10,08:30,1.66156,1.66208,1.66143,1.66186,1427
2017.04.10,09:00,1.66185,1.66289,1.66156,1.6624,2408
2017.04.10,09:30,1.66246,1.66288,1.66149,1.66229,2733
2017.04.10,10:00,1.6623,1.66294,1.66114,1.66182,4081
2017.04.10,10:30,1.66176,1.66335,1.66136,1.66173,3812
2017.04.10,11:00,1.66171,1.66307,1.66171,1.66248,2882
2017.04.10,11:30,1.66249,1.66262,1.66102,1.66167,2739
2017.04.10,12:00,1.66167,1.66176,1.65984,1.66061,2220
2017.04.10,12:30,1.66063,1.66069,1.65892,1.66011,2866
2017.04.10,13:00,1.6601,1.66138,1.65995,1.6607,2865
2017.04.10,13:30,1.66069,1.66179,1.6599,1.66108,2674
2017.04.10,14:00,1.66107,1.66112,1.65863,1.65896,3065
2017.04.10,14:30,1.65896,1.65978,1.65804,1.65847,2898
2017.04.10,15:00,1.65846,1.65879,1.65702,1.65728,3008
2017.04.10,15:30,1.65727,1.65852,1.6567,1.65699,3437
2017.04.10,16:00,1.65701,1.65841,1.65642,1.65833,3963
2017.04.10,16:30,1.65833,1.6587,1.65744,1.65813,4659
2017.04.10,17:00,1.65813,1.65813,1.65634,1.65748,4562
