date,ignore,open,high,low,close,volume
2017.11.13,00:00,0.99539,0.99604,0.99527,0.9956,297
2017.11.13,00:30,0.9956,0.99652,0.99531,0.99633,636
2017.11.13,01:00,0.99637,0.99652,0.99616,0.99638,956
2017.11.13,01:30,0.99638,0.99667,0.99632,0.99662,741
2017.11.13,02:00,0.99663,0.99765,0.9964,0.99697,1474
2017.11.13,02:30,0.99699,0.99706,0.99667,0.99672,574
2017.11.13,03:00,0.99672,0.99703,0.9966,0.99677,503
2017.11.13,03:30,0.99677,0.997,0.99659,0.99672,422
2017.11.13,04:00,0.99673,0.99688,0.99661,0.99674,460
2017.11.13,04:30,0.99671,0.99697,0.99651,0.99689,640
2017.11.13,05:00,0.99688,0.99697,0.99655,0.99661,312
2017.11.13,05:30,0.9966,0.99668,0.99631,0.99648,373
2017.11.13,06:00,0.99653,0.99661,0.99643,0.99658,321
2017.11.13,06:30,0.99658,0.99704,0.99646,0.99701,280
2017.11.13,07:00,0.99702,0.99708,0.99674,0.99681,345
2017.11.13,07:30,0.9968,0.99685,0.99614,0.99626,507
2017.11.13,08:00,0.99626,0.99648,0.99597,0.99646,700
2017.11.13,08:30,0.99644,0.99665,0.99616,0.99649,956
2017.11.13,09:00,0.99649,0.99667,0.99626,0.99648,803
2017.11.13,09:30,0.99649,0.99694,0.99591,0.99693,1383
2017.11.13,10:00,0.99692,0.99732,0.99652,0.99701,2215
2017.11.13,10:30,0.99701,0.99701,0.99607,0.99637,1733
2017.11.13,11:00,0.99637,0.99702,0.99633,0.99647,933
2017.11.13,11:30,0.9964,0.99759,0.99638,0.99753,1387
2017.11.13,12:00,0.99752,0.9987,0.99739,0.998,1559
2017.11.13,12:30,0.998,0.998,0.99551,0.99558,1537
2017.11.13,13:00,0.99558,0.99569,0.99483,0.99494,1647
2017.11.13,13:30,0.99493,0.99542,0.99484,0.99518,1146
2017.11.13,14:00,0.99518,0.99533,0.99363,0.99388,1854
2017.11.13,14:30,0.99393,0.99429,0.99375,0.99404,1202
2017.11.13,15:00,0.99404,0.99478,0.9938,0.99386,1948
2017.11.13,15:30,0.99387,0.99448,0.99385,0.99421,1523
2017.11.13,16:00,0.9942,0.99447,0.99377,0.99439,1801
2017.11.13,16:30,0.99439,0.99594,0.99435,0.99589,2214
2017.11.13,17:00,0.99588,0.99597,0.99499,0.99519,2162
2017.11.13,17:30,0.99519,0.99601,0.99474,0.99541,2248
2017.11.13,18:00,0.99543,0.99663,0.99524,0.99658,1838
2017.11.13,18:30,0.99657,0.99749,0.99637,0.99749,1570
2017.11.13,19:00,0.9975,0.99764,0.99685,0.99695,621
2017.11.13,19:30,0.99696,0.99705,0.99632,0.99636,804
2017.11.13,20:00,0.99635,0.99643,0.99568,0.99616,1115
2017.11.13,20:30,0.99614,0.99622,0.99567,0.99587,537
2017.11.13,21:00,0.99583,0.99595,0.99538,0.99584,959
2017.11.13,21:30,0.99584,0.99593,0.99541,0.9957,850
2017.11.13,22:00,0.99575,0.99627,0.99575,0.9962,870
2017.11.13,22:30,0.99621,0.99633,0.99569,0.99602,471
2017.11.13,23:00,0.99602,0.99611,0.99599,0.99611,109
2017.11.13,23:30,0.9961,0.9963,0.99604,0.9963,280
2017.11.14,00:00,0.99628,0.99628,0.9959,0.99604,129
2017.11.14,00:30,0.99607,0.99631,0.99604,0.99621,388
2017.11.14,01:00,0.99621,0.99661,0.99621,0.99657,329
2017.11.14,01:30,0.99656,0.99662,0.9961,0.99648,264
2017.11.14,02:00,0.99647,0.99673,0.99615,0.99627,705
2017.11.14,02:30,0.99625,0.99633,0.99571,0.9961,652
2017.11.14,03:00,0.99611,0.99668,0.99597,0.99641,830
2017.11.14,03:30,0.99641,0.99651,0.99618,0.99633,671
2017.11.14,04:00,0.99634,0.99683,0.9961,0.99618,530
2017.11.14,04:30,0.99618,0.99633,0.99615,0.9963,303
2017.11.14,05:00,0.99627,0.99652,0.9961,0.99651,236
2017.11.14,05:30,0.9965,0.99676,0.99624,0.99652,622
2017.11.14,06:00,0.9965,0.99663,0.99625,0.99639,431
2017.11.14,06:30,0.99639,0.99651,0.99621,0.99644,450
2017.11.14,07:00,0.99645,0.99668,0.99634,0.99661,365
2017.11.14,07:30,0.99657,0.99664,0.9964,0.99647,313
2017.11.14,08:00,0.9965,0.99691,0.99641,0.99668,611
2017.11.14,08:30,0.99663,0.99707,0.99657,0.99703,541
2017.11.14,09:00,0.99702,0.99702,0.99609,0.99654,1619
2017.11.14,09:30,0.99654,0.9967,0.99598,0.99617,1857
2017.11.14,10:00,0.99611,0.99649,0.99568,0.99593,2172
2017.11.14,10:30,0.99592,0.99605,0.99478,0.99491,1474
2017.11.14,11:00,0.99495,0.99525,0.9947,0.99495,1534
2017.11.14,11:30,0.995,0.99525,0.99449,0.99482,1660
2017.11.14,12:00,0.99481,0.99498,0.99401,0.99448,1689
2017.11.14,12:30,0.99446,0.99494,0.99422,0.99475,1261
2017.11.14,13:00,0.99475,0.99477,0.99371,0.99423,1238
