date,ignore,open,high,low,close,volume
2018.02.26,00:00,1.15008,1.15126,1.14966,1.15074,883
2018.02.26,00:30,1.15076,1.15129,1.15063,1.15127,767
2018.02.26,01:00,1.15129,1.15186,1.1509,1.15106,2542
2018.02.26,01:30,1.15106,1.15182,1.15096,1.15162,2450
2018.02.26,02:00,1.15163,1.15175,1.1505,1.15053,1801
2018.02.26,02:30,1.15052,1.15068,1.14993,1.1504,1911
2018.02.26,03:00,1.15039,1.15085,1.15024,1.15067,2316
2018.02.26,03:30,1.15068,1.15074,1.14968,1.14994,2255
2018.02.26,04:00,1.14995,1.15011,1.14953,1.14999,2048
2018.02.26,04:30,1.14999,1.15032,1.14977,1.15017,2380
2018.02.26,05:00,1.15018,1.15047,1.15007,1.15026,1328
2018.02.26,05:30,1.15026,1.15062,1.15019,1.15035,1177
2018.02.26,06:00,1.15035,1.15068,1.15032,1.15053,1020
2018.02.26,06:30,1.15052,1.15064,1.1504,1.15064,970
2018.02.26,07:00,1.15065,1.15083,1.15049,1.15058,1581
2018.02.26,07:30,1.15059,1.15091,1.15049,1.15078,2121
2018.02.26,08:00,1.15077,1.15096,1.15036,1.15045,3276
2018.02.26,08:30,1.15045,1.15057,1.15007,1.15042,1757
2018.02.26,09:00,1.15041,1.1505,1.14983,1.14988,2934
2018.02.26,09:30,1.14988,1.1512,1.1498,1.15086,3234
2018.02.26,10:00,1.15087,1.15163,1.15083,1.15093,2922
2018.02.26,10:30,1.15094,1.15149,1.15076,1.15138,2183
2018.02.26,11:00,1.15138,1.15173,1.1512,1.1516,2254
2018.02.26,11:30,1.1516,1.15221,1.1513,1.15175,2820
2018.02.26,12:00,1.15174,1.152,1.15174,1.15194,1839
2018.02.26,12:30,1.15194,1.15333,1.15191,1.15254,2426
2018.02.26,13:00,1.15254,1.15284,1.15229,1.15229,1624
2018.02.26,13:30,1.1523,1.15332,1.1523,1.15316,1888
2018.02.26,14:00,1.15316,1.15353,1.15258,1.15265,1960
2018.02.26,14:30,1.15265,1.1529,1.15233,1.15242,1765
2018.02.26,15:00,1.15243,1.15343,1.15236,1.15309,2844
2018.02.26,15:30,1.15309,1.15368,1.15261,1.15346,3157
2018.02.26,16:00,1.1535,1.15419,1.15342,1.15389,4091
2018.02.26,16:30,1.15387,1.15429,1.15301,1.15303,3539
2018.02.26,17:00,1.15303,1.15372,1.15255,1.15349,5109
2018.02.26,17:30,1.15349,1.15396,1.15256,1.15291,4512
2018.02.26,18:00,1.15293,1.1541,1.15272,1.154,4268
2018.02.26,18:30,1.154,1.15467,1.15395,1.15439,2125
2018.02.26,19:00,1.15438,1.15443,1.15395,1.15427,1947
2018.02.26,19:30,1.15428,1.15441,1.15396,1.15414,1687
