date,ignore,open,high,low,close,volume
2018.08.20,00:00,1.26788,1.26869,1.26756,1.26825,176
2018.08.20,00:30,1.26823,1.2688,1.26812,1.26854,451
2018.08.20,01:00,1.26867,1.26884,1.26813,1.26819,659
2018.08.20,01:30,1.26819,1.26843,1.26813,1.26835,272
2018.08.20,02:00,1.26837,1.26887,1.26837,1.26876,400
2018.08.20,02:30,1.26876,1.26891,1.26841,1.26846,556
2018.08.20,03:00,1.26846,1.26868,1.26825,1.26866,948
2018.08.20,03:30,1.26866,1.2687,1.26748,1.26751,1355
2018.08.20,04:00,1.2675,1.26774,1.26678,1.2672,1208
2018.08.20,04:30,1.26722,1.26734,1.26668,1.26674,1561
2018.08.20,05:00,1.26675,1.26711,1.26664,1.26706,969
2018.08.20,05:30,1.26706,1.26716,1.26673,1.26696,919
2018.08.20,06:00,1.26697,1.26737,1.26694,1.26732,837
2018.08.20,06:30,1.26731,1.26765,1.26729,1.26759,664
2018.08.20,07:00,1.26759,1.26773,1.26748,1.26771,390
2018.08.20,07:30,1.2677,1.26787,1.26754,1.26767,1191
2018.08.20,08:00,1.26767,1.26785,1.26737,1.2676,804
2018.08.20,08:30,1.2676,1.26778,1.2674,1.26764,722
2018.08.20,09:00,1.26764,1.2677,1.26648,1.26672,1952
2018.08.20,09:30,1.26672,1.26788,1.26671,1.26741,1955
2018.08.20,10:00,1.26741,1.26781,1.26666,1.26751,3184
2018.08.20,10:30,1.2675,1.2687,1.26735,1.26814,2417
2018.08.20,11:00,1.26814,1.26818,1.26709,1.26781,2372
2018.08.20,11:30,1.26781,1.26875,1.26763,1.2686,2285
2018.08.20,12:00,1.2686,1.26921,1.26851,1.2692,1796
2018.08.20,12:30,1.2692,1.26935,1.26876,1.26892,1444
2018.08.20,13:00,1.26893,1.26919,1.26812,1.26876,2400
2018.08.20,13:30,1.26874,1.2699,1.26852,1.26986,2481
2018.08.20,14:00,1.26986,1.27108,1.26972,1.27005,2738
2018.08.20,14:30,1.27005,1.27049,1.26976,1.27031,1786
2018.08.20,15:00,1.27033,1.27047,1.26923,1.26931,2128
2018.08.20,15:30,1.2693,1.26964,1.26865,1.26876,2408
2018.08.20,16:00,1.26876,1.26977,1.26835,1.26885,2744
2018.08.20,16:30,1.26888,1.26917,1.26851,1.26876,2674
2018.08.20,17:00,1.26876,1.26898,1.26819,1.26853,2119
2018.08.20,17:30,1.26855,1.2689,1.26807,1.26858,2535
2018.08.20,18:00,1.26858,1.26934,1.2681,1.2692,2672
2018.08.20,18:30,1.2692,1.26973,1.2689,1.26904,2342
2018.08.20,19:00,1.26903,1.26987,1.26869,1.26971,2537
2018.08.20,19:30,1.26971,1.26988,1.26912,1.26976,1480
2018.08.20,20:00,1.26976,1.26978,1.26897,1.26927,1037
2018.08.20,20:30,1.26927,1.26946,1.26867,1.26879,1219
2018.08.20,21:00,1.26879,1.26905,1.26819,1.26847,889
2018.08.20,21:30,1.26847,1.2687,1.26802,1.26813,1365
2018.08.20,22:00,1.26811,1.26855,1.26796,1.26817,900
2018.08.20,22:30,1.26817,1.26853,1.26772,1.26796,1393
2018.08.20,23:00,1.26797,1.26852,1.26778,1.26789,872
2018.08.20,23:30,1.26789,1.26856,1.26754,1.26854,934
2018.08.21,00:00,1.26866,1.26924,1.26783,1.26811,689
2018.08.21,00:30,1.26811,1.26835,1.2678,1.26826,1022
2018.08.21,01:00,1.26826,1.26827,1.26783,1.26789,840
2018.08.21,01:30,1.2679,1.26814,1.26769,1.26809,513
2018.08.21,02:00,1.26812,1.26812,1.26733,1.26763,679
2018.08.21,02:30,1.26763,1.26813,1.26749,1.26793,811
2018.08.21,03:00,1.26792,1.26799,1.26654,1.26667,1536
2018.08.21,03:30,1.26667,1.26686,1.26529,1.26654,2753
2018.08.21,04:00,1.26651,1.26755,1.26633,1.26709,1790
2018.08.21,04:30,1.26708,1.26735,1.26696,1.26731,1208
2018.08.21,05:00,1.26732,1.26732,1.26694,1.2672,729
2018.08.21,05:30,1.2672,1.26755,1.26702,1.26724,1744
2018.08.21,06:00,1.26724,1.26774,1.26714,1.26763,1277
2018.08.21,06:30,1.26763,1.26859,1.26756,1.2685,975
2018.08.21,07:00,1.2685,1.26862,1.26811,1.26849,885
2018.08.21,07:30,1.26849,1.2687,1.26812,1.26813,941
