date,ignore,open,high,low,close,volume
2019.04.29,00:00,109.46,109.525,109.379,109.484,121
2019.04.29,00:30,109.484,109.535,109.446,109.48,182
2019.04.29,01:00,109.507,109.527,109.471,109.5,421
2019.04.29,01:30,109.5,109.529,109.499,109.525,144
2019.04.29,02:00,109.525,109.533,109.518,109.521,397
2019.04.29,02:30,109.521,109.533,109.515,109.524,419
2019.04.29,03:00,109.525,109.537,109.493,109.511,1286
2019.04.29,03:30,109.511,109.548,109.505,109.519,720
2019.04.29,04:00,109.519,109.527,109.494,109.497,691
2019.04.29,04:30,109.497,109.538,109.492,109.538,689
2019.04.29,05:00,109.538,109.582,109.527,109.561,893
2019.04.29,05:30,109.561,109.591,109.545,109.587,986
2019.04.29,06:00,109.587,109.6,109.56,109.571,779
2019.04.29,06:30,109.571,109.586,109.563,109.568,374
2019.04.29,07:00,109.568,109.584,109.562,109.571,670
2019.04.29,07:30,109.574,109.584,109.555,109.571,544
2019.04.29,08:00,109.571,109.584,109.553,109.584,541
2019.04.29,08:30,109.584,109.618,109.561,109.573,374
2019.04.29,09:00,109.573,109.627,109.555,109.588,1183
2019.04.29,09:30,109.587,109.598,109.53,109.558,1054
2019.04.29,10:00,109.558,109.683,109.554,109.664,1902
2019.04.29,10:30,109.666,109.677,109.631,109.65,1242
2019.04.29,11:00,109.65,109.669,109.624,109.659,1268
2019.04.29,11:30,109.659,109.692,109.601,109.679,1452
2019.04.29,12:00,109.679,109.728,109.663,109.708,1306
2019.04.29,12:30,109.708,109.731,109.678,109.722,1127
2019.04.29,13:00,109.718,109.741,109.671,109.675,708
2019.04.29,13:30,109.676,109.69,109.527,109.604,1526
2019.04.29,14:00,109.602,109.622,109.562,109.59,1009
2019.04.29,14:30,109.59,109.61,109.553,109.557,936
2019.04.29,15:00,109.557,109.571,109.511,109.531,1018
2019.04.29,15:30,109.533,109.573,109.488,109.558,1405
2019.04.29,16:00,109.559,109.624,109.549,109.601,1730
2019.04.29,16:30,109.601,109.661,109.57,109.646,2190
2019.04.29,17:00,109.652,109.685,109.601,109.63,1584
2019.04.29,17:30,109.63,109.724,109.62,109.683,1803
2019.04.29,18:00,109.683,109.744,109.657,109.676,1602
