date,ignore,open,high,low,close,volume
2019.09.23,00:00,1.46008,1.46104,1.46007,1.46063,238
2019.09.23,00:30,1.46062,1.46097,1.46037,1.46097,335
2019.09.23,01:00,1.461,1.46188,1.46077,1.46143,686
2019.09.23,01:30,1.46143,1.46203,1.46138,1.46196,282
2019.09.23,02:00,1.46196,1.46238,1.46186,1.46206,617
2019.09.23,02:30,1.46206,1.46211,1.46162,1.46184,358
2019.09.23,03:00,1.46184,1.46186,1.46139,1.46164,520
2019.09.23,03:30,1.46164,1.46245,1.46164,1.46223,958
2019.09.23,04:00,1.46223,1.46279,1.46212,1.46268,928
2019.09.23,04:30,1.46271,1.46333,1.46268,1.46305,1046
2019.09.23,05:00,1.46304,1.46338,1.46283,1.46331,955
2019.09.23,05:30,1.46331,1.46344,1.46312,1.46318,572
2019.09.23,06:00,1.4632,1.46341,1.46315,1.46324,443
2019.09.23,06:30,1.46324,1.46329,1.46293,1.46302,626
2019.09.23,07:00,1.46303,1.46319,1.46271,1.46286,633
2019.09.23,07:30,1.46285,1.46319,1.4628,1.46318,467
2019.09.23,08:00,1.46318,1.46331,1.46291,1.46314,959
2019.09.23,08:30,1.46316,1.46326,1.46277,1.46298,843
2019.09.23,09:00,1.46298,1.46319,1.46274,1.46282,1340
2019.09.23,09:30,1.46282,1.46286,1.46201,1.46214,1740
2019.09.23,10:00,1.46215,1.4624,1.46008,1.46085,2830
2019.09.23,10:30,1.46035,1.46065,1.45794,1.45875,3917
2019.09.23,11:00,1.45876,1.46026,1.4586,1.46021,2386
2019.09.23,11:30,1.46021,1.46036,1.4594,1.45956,2233
2019.09.23,12:00,1.45957,1.45972,1.45843,1.45848,1963
2019.09.23,12:30,1.45849,1.46065,1.45849,1.46044,1642
2019.09.23,13:00,1.46044,1.46071,1.45992,1.46038,1171
2019.09.23,13:30,1.46038,1.46101,1.46002,1.46002,600
2019.09.23,14:00,1.45998,1.46006,1.45859,1.45947,710
2019.09.23,14:30,1.45947,1.45983,1.45828,1.45873,604
2019.09.23,15:00,1.45874,1.45979,1.45835,1.45968,815
2019.09.23,15:30,1.45968,1.45969,1.45774,1.458,1257
2019.09.23,16:00,1.458,1.45846,1.45682,1.45729,1197
2019.09.23,16:30,1.45729,1.45905,1.45637,1.45835,1981
2019.09.23,17:00,1.45835,1.45956,1.45761,1.45918,1189
2019.09.23,17:30,1.45922,1.4607,1.45843,1.45985,1753
2019.09.23,18:00,1.45982,1.46013,1.45851,1.45922,1489
2019.09.23,18:30,1.45922,1.45991,1.45832,1.45848,906
2019.09.23,19:00,1.45848,1.45896,1.45841,1.45875,946
2019.09.23,19:30,1.45875,1.45886,1.45784,1.45834,764
