date,ignore,open,high,low,close,volume
2020.03.09,00:00,1.79489,1.79842,1.79122,1.79308,2282
2020.03.09,00:30,1.79308,1.80037,1.7914,1.80014,2685
2020.03.09,01:00,1.80017,1.80213,1.79676,1.80129,2683
2020.03.09,01:30,1.80111,1.80224,1.79673,1.79969,1824
2020.03.09,02:00,1.79969,1.79969,1.79291,1.79316,2061
2020.03.09,02:30,1.79311,1.79489,1.79284,1.79387,1213
2020.03.09,03:00,1.79359,1.79937,1.79308,1.7992,1270
2020.03.09,03:30,1.7992,1.8979,1.79857,1.83809,3547
2020.03.09,04:00,1.83846,1.84229,1.8181,1.82775,6301
2020.03.09,04:30,1.82773,1.82789,1.80782,1.81582,5319
2020.03.09,05:00,1.81576,1.81791,1.80694,1.80988,4666
2020.03.09,05:30,1.80985,1.82729,1.80952,1.82494,4634
2020.03.09,06:00,1.82496,1.82667,1.81806,1.821,3300
2020.03.09,06:30,1.821,1.82442,1.81979,1.82072,2853
2020.03.09,07:00,1.82095,1.82247,1.81462,1.82036,2669
2020.03.09,07:30,1.82038,1.8206,1.81567,1.81643,2356
2020.03.09,08:00,1.8164,1.81938,1.81574,1.81615,3594
2020.03.09,08:30,1.81616,1.82006,1.8151,1.81753,2899
2020.03.09,09:00,1.81753,1.82527,1.81753,1.82432,5384
2020.03.09,09:30,1.82433,1.82762,1.82201,1.82401,7908
2020.03.09,10:00,1.82403,1.82416,1.81988,1.82042,5881
2020.03.09,10:30,1.82042,1.8207,1.80109,1.80334,6602
2020.03.09,11:00,1.80335,1.80623,1.79267,1.79714,5474
2020.03.09,11:30,1.79714,1.80117,1.79595,1.80043,4931
2020.03.09,12:00,1.8004,1.80509,1.8003,1.80093,5165
2020.03.09,12:30,1.80093,1.80304,1.8004,1.80195,4335
2020.03.09,13:00,1.80198,1.80376,1.80029,1.80376,4405
2020.03.09,13:30,1.80381,1.80612,1.80063,1.80142,5461
2020.03.09,14:00,1.80143,1.80243,1.79705,1.7975,5066
2020.03.09,14:30,1.79751,1.79948,1.79523,1.7981,5895
2020.03.09,15:00,1.7981,1.80212,1.79702,1.80197,6505
2020.03.09,15:30,1.80197,1.80787,1.78978,1.79446,10058
