date,ignore,open,high,low,close,volume
2020.06.15,00:00,0.64397,0.64535,0.64245,0.64487,484
2020.06.15,00:30,0.64493,0.64493,0.64333,0.64335,342
2020.06.15,01:00,0.64333,0.64381,0.64122,0.64255,1153
2020.06.15,01:30,0.64256,0.6429,0.64198,0.64243,899
2020.06.15,02:00,0.64243,0.64265,0.64138,0.64168,956
2020.06.15,02:30,0.64168,0.64309,0.64145,0.64172,1270
2020.06.15,03:00,0.64175,0.64327,0.64174,0.64225,1819
2020.06.15,03:30,0.64225,0.64284,0.64066,0.64072,1478
2020.06.15,04:00,0.64072,0.64176,0.64052,0.64154,1328
2020.06.15,04:30,0.64154,0.64274,0.64151,0.64253,1205
2020.06.15,05:00,0.64249,0.64322,0.64171,0.64263,1454
2020.06.15,05:30,0.64263,0.64266,0.64153,0.64173,1039
2020.06.15,06:00,0.64173,0.64231,0.64162,0.64193,720
2020.06.15,06:30,0.64193,0.64214,0.64151,0.64202,754
2020.06.15,07:00,0.64202,0.64207,0.64133,0.64182,589
2020.06.15,07:30,0.64182,0.64214,0.64121,0.64163,721
2020.06.15,08:00,0.64163,0.64166,0.64032,0.64065,1436
2020.06.15,08:30,0.64065,0.64071,0.639,0.63955,1911
2020.06.15,09:00,0.63954,0.63995,0.6381,0.63871,3155
2020.06.15,09:30,0.63872,0.63966,0.6386,0.6395,2513
2020.06.15,10:00,0.6395,0.64145,0.63947,0.64076,2823
2020.06.15,10:30,0.64076,0.64239,0.64035,0.64174,2105
2020.06.15,11:00,0.64174,0.64355,0.64156,0.64294,2196
2020.06.15,11:30,0.64294,0.64342,0.64241,0.64324,1715
2020.06.15,12:00,0.64324,0.64377,0.64263,0.64366,1361
2020.06.15,12:30,0.64366,0.64366,0.64261,0.64332,1421
2020.06.15,13:00,0.64332,0.64333,0.64214,0.64234,1127
2020.06.15,13:30,0.64234,0.643,0.64164,0.64184,1459
2020.06.15,14:00,0.64184,0.64336,0.64168,0.64315,1219
2020.06.15,14:30,0.64315,0.64504,0.64261,0.64416,1468
2020.06.15,15:00,0.64419,0.64478,0.64374,0.64462,1845
2020.06.15,15:30,0.64462,0.64485,0.64367,0.64382,1662
2020.06.15,16:00,0.64381,0.64445,0.64339,0.64369,1517
2020.06.15,16:30,0.64369,0.6456,0.64301,0.64522,4038
2020.06.15,17:00,0.64522,0.64607,0.64394,0.64399,2590
2020.06.15,17:30,0.64399,0.64559,0.64358,0.64425,2489
2020.06.15,18:00,0.64428,0.64496,0.64295,0.64299,2249
2020.06.15,18:30,0.64299,0.64378,0.64256,0.64342,1907
2020.06.15,19:00,0.64341,0.64501,0.64329,0.64469,1658
2020.06.15,19:30,0.64471,0.64528,0.64409,0.64523,1343
2020.06.15,20:00,0.64523,0.64563,0.64494,0.6452,927
2020.06.15,20:30,0.64519,0.64619,0.64497,0.64566,1216
2020.06.15,21:00,0.64566,0.64826,0.64566,0.64778,3093
2020.06.15,21:30,0.64782,0.64841,0.64743,0.64773,1859
2020.06.15,22:00,0.64777,0.6484,0.64703,0.64709,1512
2020.06.15,22:30,0.64709,0.64752,0.64669,0.64725,2117
2020.06.15,23:00,0.64724,0.64749,0.64689,0.64702,544
2020.06.15,23:30,0.64701,0.64744,0.64701,0.64728,414
2020.06.16,00:00,0.64729,0.64729,0.64508,0.64685,286
2020.06.16,00:30,0.64685,0.6474,0.64668,0.64735,309
2020.06.16,01:00,0.64735,0.64931,0.64732,0.64923,745
2020.06.16,01:30,0.64923,0.6496,0.64849,0.64932,504
2020.06.16,02:00,0.64932,0.64957,0.64859,0.64952,633
2020.06.16,02:30,0.64951,0.65002,0.64919,0.64998,659
2020.06.16,03:00,0.64998,0.65021,0.64913,0.64913,1023
2020.06.16,03:30,0.64913,0.65001,0.64876,0.64904,1025
2020.06.16,04:00,0.64904,0.64969,0.64791,0.64824,1035
2020.06.16,04:30,0.64824,0.64861,0.6477,0.64811,938
2020.06.16,05:00,0.64811,0.64882,0.64809,0.64842,587
2020.06.16,05:30,0.64842,0.65065,0.64842,0.65032,1370
2020.06.16,06:00,0.65032,0.65063,0.64963,0.65001,797
2020.06.16,06:30,0.65001,0.65001,0.64864,0.64882,885
2020.06.16,07:00,0.64882,0.64914,0.64841,0.6487,764
2020.06.16,07:30,0.6487,0.6487,0.6481,0.64833,557
2020.06.16,08:00,0.64833,0.64888,0.64833,0.64862,606
2020.06.16,08:30,0.64862,0.64866,0.64753,0.64755,757
2020.06.16,09:00,0.64755,0.64793,0.6469,0.64717,1716
2020.06.16,09:30,0.64717,0.64749,0.64526,0.64691,2573
2020.06.16,10:00,0.64692,0.647,0.64514,0.64568,2543
2020.06.16,10:30,0.64568,0.64588,0.64422,0.64448,2299
2020.06.16,11:00,0.64448,0.64526,0.64356,0.64476,2128
2020.06.16,11:30,0.64476,0.64652,0.64461,0.64621,1508
2020.06.16,12:00,0.64623,0.64674,0.64568,0.64579,1188
2020.06.16,12:30,0.64579,0.64728,0.6457,0.64715,1271
2020.06.16,13:00,0.64712,0.64718,0.64616,0.64713,1104
2020.06.16,13:30,0.64714,0.64726,0.64595,0.6471,1274
2020.06.16,14:00,0.6471,0.64719,0.64619,0.64658,990
2020.06.16,14:30,0.64658,0.64664,0.64576,0.64626,982
2020.06.16,15:00,0.64627,0.64798,0.64606,0.64732,1344
2020.06.16,15:30,0.64732,0.64919,0.64727,0.64859,2619
2020.06.16,16:00,0.64859,0.6487,0.64604,0.64659,2336
2020.06.16,16:30,0.64659,0.64801,0.64608,0.64793,2452
2020.06.16,17:00,0.6479,0.64831,0.64602,0.64699,2882
2020.06.16,17:30,0.64699,0.64712,0.64128,0.64175,4559
2020.06.16,18:00,0.64175,0.64419,0.64116,0.64417,4331
2020.06.16,18:30,0.64417,0.64528,0.64369,0.6449,2498
2020.06.16,19:00,0.6449,0.64567,0.64437,0.64527,1821
2020.06.16,19:30,0.64527,0.64605,0.64518,0.64563,1269
2020.06.16,20:00,0.64563,0.64569,0.64505,0.6452,936
2020.06.16,20:30,0.64522,0.6453,0.64436,0.64466,861
2020.06.16,21:00,0.64466,0.64555,0.64397,0.64496,1339
2020.06.16,21:30,0.64494,0.64538,0.64446,0.64469,1093
2020.06.16,22:00,0.64471,0.64526,0.64381,0.64446,1063
2020.06.16,22:30,0.64446,0.64519,0.64419,0.64518,1261
2020.06.16,23:00,0.64518,0.64535,0.64481,0.64505,497
