names,week,needed_features,accuracy
USDCHF,10,"['EURJPY', 'NZDJPY', 'CADJPY']",100.0
EURUSD,10,"['CHFJPY', 'EURJPY']",80.0
USDJPY,10,['EURJPY'],80.0
AUDUSD,30,"['EURGBP', 'EURJPY', 'EURCHF', 'NZDJPY']",80.0
EURCHF,20,"['USDJPY', 'GBPCHF']",80.0
CHFJPY,20,"['EURCHF', 'EURJPY']",80.0
CADCHF,30,"['EURJPY', 'EURCAD', 'NZDCAD', 'AUDCAD']",100.0
NZDCHF,50,['AUDUSD'],80.0
GBPJPY,20,"['NZDCAD', 'GBPCAD', 'AUDCAD', 'EURNZD']",100.0
GBPCAD,15,['AUDCAD'],80.0
EURCAD,20,"['EURJPY', 'USDJPY', 'NZDJPY']",80.0
EURNZD,10,"['EURCAD', 'AUDNZD', 'EURUSD', 'EURAUD', 'AUDCHF']",80.0
CADJPY,10,"['GBPCAD', 'GBPCHF']",80.0
AUDJPY,10,"['CHFJPY', 'AUDUSD']",80.0
NZDJPY,10,"['GBPCAD', 'GBPCHF']",80.0
NZDCAD,10,['GBPUSD'],100.0
