date,ignore,open,high,low,close,volume
2021.10.04,00:00,0.67494,0.67644,0.6731,0.67571,161
2021.10.04,00:30,0.67556,0.6767,0.67451,0.67483,192
2021.10.04,01:00,0.67484,0.67671,0.67484,0.67644,550
2021.10.04,01:30,0.67642,0.67655,0.67609,0.6762,458
2021.10.04,02:00,0.67618,0.67665,0.67618,0.67659,456
2021.10.04,02:30,0.67658,0.67671,0.6761,0.67617,312
2021.10.04,03:00,0.67615,0.67665,0.67599,0.67601,668
2021.10.04,03:30,0.67603,0.67635,0.67552,0.67566,701
2021.10.04,04:00,0.67564,0.67592,0.67517,0.67577,525
2021.10.04,04:30,0.67575,0.67609,0.6748,0.67516,1060
2021.10.04,05:00,0.67514,0.67547,0.67468,0.67542,753
2021.10.04,05:30,0.67543,0.67592,0.67531,0.67575,579
2021.10.04,06:00,0.67574,0.67604,0.67538,0.67595,541
2021.10.04,06:30,0.67591,0.67613,0.67571,0.67582,454
2021.10.04,07:00,0.67583,0.67644,0.67565,0.67642,463
2021.10.04,07:30,0.67643,0.67683,0.67637,0.67678,540
2021.10.04,08:00,0.67678,0.67728,0.67671,0.67696,630
2021.10.04,08:30,0.67697,0.67697,0.67618,0.67633,547
2021.10.04,09:00,0.67635,0.67639,0.67523,0.67587,1122
2021.10.04,09:30,0.67586,0.67637,0.67525,0.67531,946
2021.10.04,10:00,0.67533,0.67594,0.67483,0.67534,2236
2021.10.04,10:30,0.67533,0.67579,0.67479,0.67566,1371
2021.10.04,11:00,0.67565,0.67592,0.67445,0.6745,1113
2021.10.04,11:30,0.67449,0.67487,0.67402,0.6747,1210
2021.10.04,12:00,0.67469,0.6759,0.67466,0.6753,1197
2021.10.04,12:30,0.67533,0.67546,0.67481,0.67517,939
2021.10.04,13:00,0.6752,0.67589,0.67486,0.67501,974
2021.10.04,13:30,0.67503,0.67563,0.67485,0.67536,986
2021.10.04,14:00,0.67535,0.6755,0.67439,0.67502,1119
2021.10.04,14:30,0.67501,0.67513,0.67445,0.67488,1046
2021.10.04,15:00,0.67489,0.67512,0.67411,0.67415,1210
2021.10.04,15:30,0.67415,0.67468,0.67377,0.67445,1140
2021.10.04,16:00,0.67446,0.67458,0.67388,0.67444,942
2021.10.04,16:30,0.67443,0.67501,0.67412,0.67474,1932
2021.10.04,17:00,0.67477,0.67499,0.67266,0.67328,2257
2021.10.04,17:30,0.67326,0.67337,0.67224,0.6726,2327
2021.10.04,18:00,0.67256,0.67316,0.67198,0.67269,1570
2021.10.04,18:30,0.67268,0.67361,0.67241,0.67343,1379
2021.10.04,19:00,0.6734,0.67387,0.67332,0.67375,890
2021.10.04,19:30,0.67375,0.67378,0.67302,0.67349,853
2021.10.04,20:00,0.67347,0.67386,0.67335,0.67367,754
2021.10.04,20:30,0.67368,0.67388,0.67348,0.67356,663
2021.10.04,21:00,0.67357,0.67379,0.67329,0.67339,997
2021.10.04,21:30,0.67341,0.67405,0.67332,0.67393,800
2021.10.04,22:00,0.67391,0.67405,0.67338,0.67341,871
2021.10.04,22:30,0.6734,0.67382,0.67321,0.67361,1134
2021.10.04,23:00,0.67361,0.67394,0.67352,0.67386,277
2021.10.04,23:30,0.67386,0.67386,0.67359,0.67364,300
2021.10.05,00:00,0.67364,0.6742,0.67314,0.67354,164
2021.10.05,00:30,0.67353,0.67372,0.67309,0.6734,227
2021.10.05,01:00,0.6734,0.67375,0.67299,0.67342,324
2021.10.05,01:30,0.67342,0.67392,0.6734,0.67381,308
2021.10.05,02:00,0.67418,0.67434,0.67376,0.67378,227
2021.10.05,02:30,0.67377,0.67443,0.67365,0.67421,374
2021.10.05,03:00,0.67417,0.67448,0.6733,0.6738,948
2021.10.05,03:30,0.6738,0.67382,0.67316,0.67348,858
2021.10.05,04:00,0.67347,0.67365,0.67212,0.67253,1070
2021.10.05,04:30,0.67253,0.67287,0.67217,0.67261,891
2021.10.05,05:00,0.67263,0.67284,0.67238,0.67282,830
2021.10.05,05:30,0.67282,0.67345,0.67277,0.67336,547
2021.10.05,06:00,0.67335,0.67362,0.67326,0.67338,409
2021.10.05,06:30,0.67336,0.6735,0.67254,0.67312,909
2021.10.05,07:00,0.67312,0.67331,0.67286,0.67286,348
2021.10.05,07:30,0.67284,0.67318,0.67256,0.67314,489
2021.10.05,08:00,0.67313,0.67317,0.67272,0.6729,570
2021.10.05,08:30,0.6729,0.6729,0.67214,0.67238,827
2021.10.05,09:00,0.67241,0.67293,0.67147,0.67227,1018
2021.10.05,09:30,0.67225,0.67267,0.67185,0.67236,823
2021.10.05,10:00,0.67237,0.67382,0.67212,0.67366,1512
2021.10.05,10:30,0.67366,0.67371,0.67325,0.67331,1173
2021.10.05,11:00,0.67331,0.67447,0.67329,0.67401,1079
2021.10.05,11:30,0.67401,0.67435,0.67383,0.67434,832
2021.10.05,12:00,0.67435,0.67459,0.674,0.67423,574
2021.10.05,12:30,0.67423,0.67457,0.67415,0.67457,548
2021.10.05,13:00,0.67455,0.67456,0.67402,0.6742,460
2021.10.05,13:30,0.67422,0.67471,0.67371,0.67383,667
2021.10.05,14:00,0.67388,0.67409,0.67338,0.67408,688
2021.10.05,14:30,0.67408,0.67468,0.67402,0.6745,748
